ams,fuel,year,ceiling_vol_pct,ceiling_energy_pct,canon_floor_vol_pct,canon_floor_energy_pct,inversion_vs_canon_floor_energy_pp,inverted_vs_canon,postdelta_floor_vol_pct,postdelta_floor_energy_pct,inversion_vs_postdelta_floor_energy_pp,inverted_vs_postdelta,wrapped_ceiling_energy_pct
Brunei,Biodiesel,2025,0,0,0,0,0,,0,0,0,,0
Brunei,Biodiesel,2026,3,2.7081,0,0,-2.7081,,0,0,-2.7081,,2.7081
Brunei,Biodiesel,2027,6,5.4326,0,0,-5.4326,,0,0,-5.4326,,5.4326
Brunei,Biodiesel,2028,8,7.2581,0,0,-7.2581,,0,0,-7.2581,,7.2581
Brunei,Biodiesel,2029,10,9.0909,0,0,-9.0909,,0,0,-9.0909,,9.0909
Brunei,Biodiesel,2030,12,10.9312,0,0,-10.9312,,0,0,-10.9312,,10.9312
Brunei,Biodiesel,2031,13.6,12.4088,0,0,-12.4088,,0,0,-12.4088,,12.4088
Brunei,Biodiesel,2032,15.2,13.8911,0,0,-13.8911,,0,0,-13.8911,,13.8911
Brunei,Biodiesel,2033,16.8,15.3784,0,0,-15.3784,,0,0,-15.3784,,15.3784
Brunei,Biodiesel,2034,18.4,16.8704,0,0,-16.8704,,0,0,-16.8704,,16.8704
Brunei,Biodiesel,2035,20,18.3673,0,0,-18.3673,,0,0,-18.3673,,18.3673
Brunei,Biodiesel,2036,22,20.2454,0,0,-20.2454,,0,0,-20.2454,,20.2454
Brunei,Biodiesel,2037,24,22.1311,0,0,-22.1311,,0,0,-22.1311,,22.1311
Brunei,Biodiesel,2038,26,24.0246,0,0,-24.0246,,0,0,-24.0246,,24.0246
Brunei,Biodiesel,2039,28,25.9259,0,0,-25.9259,,0,0,-25.9259,,25.9259
Brunei,Biodiesel,2040,30,27.8351,0,0,-27.8351,,0,0,-27.8351,,27.8351
Brunei,Biodiesel,2041,32,29.7521,0,0,-29.7521,,0,0,-29.7521,,29.7521
Brunei,Biodiesel,2042,34,31.677,0,0,-31.677,,0,0,-31.677,,31.677
Brunei,Biodiesel,2043,36,33.61,0,0,-33.61,,0,0,-33.61,,33.61
Brunei,Biodiesel,2044,38,35.5509,0,0,-35.5509,,0,0,-35.5509,,35.5509
Brunei,Biodiesel,2045,40,37.5,0,0,-37.5,,0,0,-37.5,,37.5
Brunei,Biodiesel,2046,42,39.4572,0,0,-39.4572,,0,0,-39.4572,,39.4572
Brunei,Biodiesel,2047,44,41.4226,0,0,-41.4226,,0,0,-41.4226,,41.4226
Brunei,Biodiesel,2048,46,43.3962,0,0,-43.3962,,0,0,-43.3962,,43.3962
Brunei,Biodiesel,2049,48,45.3782,0,0,-45.3782,,0,0,-45.3782,,45.3782
Brunei,Biodiesel,2050,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
Brunei,Biodiesel,2051,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
Brunei,Biodiesel,2052,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
Brunei,Biodiesel,2053,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
Brunei,Biodiesel,2054,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
Brunei,Biodiesel,2055,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
Brunei,Biodiesel,2056,50,47.3684,0,0,-47.3684,,0,0,-47.3684,,47.3684
