ams,fuel,process,unit,team_max_capacity_2025,canon_share_2023,canon_implied_installed_2023,conflict
Brunei,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,0,0,0,
Brunei,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Brunei,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Cambodia,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,3.8997,0,0,
Cambodia,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Cambodia,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Indonesia,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,623.952,1,508.91085,
Indonesia,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Indonesia,Biodiesel,POME Biodiesel,Million Gigajoules/Year,5.8495,0,0,
Laos,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,0,0,0,
Laos,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Laos,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Malaysia,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,140.3892,1,111.14145,
Malaysia,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Malaysia,Biodiesel,POME Biodiesel,Million Gigajoules/Year,5.8495,0,0,
Myanmar,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,3.8997,0,0,
Myanmar,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Myanmar,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Philippines,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,0,1,15.5988,CAP BELOW EXISTING FLEET
Philippines,Biodiesel,CME Biodiesel,Million Gigajoules/Year,19.4985,0,0,
Philippines,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Singapore,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,19.4985,0,0,
Singapore,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Singapore,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Thailand,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,93.5928,1,77.994,
Thailand,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Thailand,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Vietnam,Biodiesel,FAME Biodiesel,Million Gigajoules/Year,15.5988,0,0,
Vietnam,Biodiesel,CME Biodiesel,Million Gigajoules/Year,0,0,0,
Vietnam,Biodiesel,POME Biodiesel,Million Gigajoules/Year,0,0,0,
Brunei,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0,0,0,
Brunei,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Brunei,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0,0,
Brunei,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0,0,0,
Cambodia,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0.0913,0,0,
Cambodia,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Cambodia,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0,0,
Cambodia,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0.0913,0,0,
Indonesia,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0.1095,0,0,
Indonesia,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Indonesia,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0.1369,1,0.08213,
Indonesia,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0.1095,0,0,
Laos,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0.0913,0,0,
Laos,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Laos,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0,0,
