ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,scenario
Brunei,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 2.7081, 2027, 5.4326, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Cambodia,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 2.7081, 2027, 5.4326, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Indonesia,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 31.7735, 2026, 47.3684, 2027, 47.3684, 2030, 47.3684, 2035, 47.3684, 2040, 47.3684, 2045, 47.3684, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Laos,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 2.7081, 2027, 5.4326, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Malaysia,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 10.9312, 2026, 13.7056, 2027, 13.7056, 2030, 13.7056, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Myanmar,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 2.7081, 2027, 5.4326, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Philippines,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 2.9798, 2026, 5.7059, 2027, 8.1736, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Singapore,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 2.7081, 2027, 5.4326, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Thailand,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 7.441, 2026, 7.441, 2027, 8.1736, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Vietnam,Transformation\Diesel Blending\Processes\Biodiesel,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 2.7081, 2027, 5.4326, 2030, 10.9312, 2035, 18.3673, 2040, 27.8351, 2045, 37.5, 2050, 47.3684, 2055, 47.3684, 2060, 47.3684))",%,Biodiesel,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
