region,process,unit,installed_2023_team,installed_2023_used,rebased_for_B4,alpha,one_train_floor,first_feasible_year,alpha_x_installed,allowance_per_yr,binder,series
Brunei,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Cambodia,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Indonesia,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Laos,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Malaysia,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Myanmar,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Philippines,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Singapore,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Thailand,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Vietnam,CME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Brunei,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Cambodia,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Indonesia,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Laos,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Malaysia,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
