region,fuel,year,ceiling_vol_pct,floor_vol_pct,ceiling_energy_pct,authored
Brunei,Biodiesel,2026,3.0,0.0,2.708124,yes
Brunei,Biodiesel,2027,6.0,0.0,5.432596,yes
Brunei,Biodiesel,2030,15.0,0.0,13.705584,yes
Brunei,Biodiesel,2035,30.0,0.0,27.835052,yes
Brunei,Biodiesel,2040,45.0,0.0,42.408377,yes
Brunei,Biodiesel,2045,50.0,0.0,47.368421,yes
Brunei,Biodiesel,2050,50.0,0.0,47.368421,yes
Brunei,Biodiesel,2055,50.0,0.0,47.368421,yes
Brunei,Biodiesel,2060,50.0,0.0,47.368421,yes
Cambodia,Biodiesel,2026,3.0,0.0,2.708124,yes
Cambodia,Biodiesel,2027,6.0,0.0,5.432596,yes
Cambodia,Biodiesel,2030,15.0,0.0,13.705584,yes
Cambodia,Biodiesel,2035,30.0,0.0,27.835052,yes
Cambodia,Biodiesel,2040,45.0,0.0,42.408377,yes
Cambodia,Biodiesel,2045,50.0,0.0,47.368421,yes
Cambodia,Biodiesel,2050,50.0,0.0,47.368421,yes
Cambodia,Biodiesel,2055,50.0,0.0,47.368421,yes
Cambodia,Biodiesel,2060,50.0,0.0,47.368421,yes
Laos,Biodiesel,2025,1.7,1.67,1.532605,yes
Laos,Biodiesel,2026,4.7,3.33,4.249975,yes
Laos,Biodiesel,2027,7.7,5.0,6.983775,yes
Laos,Biodiesel,2030,16.7,10.0,15.285264,yes
Laos,Biodiesel,2035,31.7,10.0,29.464009,yes
Laos,Biodiesel,2040,46.7,10.0,44.088954,yes
Laos,Biodiesel,2045,50.0,10.0,47.368421,yes
Laos,Biodiesel,2050,50.0,10.0,47.368421,yes
Laos,Biodiesel,2055,50.0,10.0,47.368421,yes
Laos,Biodiesel,2060,50.0,10.0,47.368421,yes
Malaysia,Biodiesel,2025,7.0,5.0,6.344411,yes
Malaysia,Biodiesel,2027,18.0,15.0,16.496945,yes
Malaysia,Biodiesel,2035,45.0,30.0,42.408377,yes
Malaysia,Biodiesel,2040,50.0,30.0,47.368421,yes
Malaysia,Biodiesel,2045,50.0,30.0,47.368421,yes
Malaysia,Biodiesel,2050,50.0,30.0,47.368421,yes
Malaysia,Biodiesel,2055,50.0,30.0,47.368421,yes
Malaysia,Biodiesel,2060,50.0,30.0,47.368421,yes
Myanmar,Biodiesel,2026,3.0,0.0,2.708124,yes
Myanmar,Biodiesel,2027,6.0,0.0,5.432596,yes
Myanmar,Biodiesel,2030,15.0,0.0,13.705584,yes
Myanmar,Biodiesel,2035,30.0,0.0,27.835052,yes
Myanmar,Biodiesel,2040,45.0,0.0,42.408377,yes
Myanmar,Biodiesel,2045,50.0,0.0,47.368421,yes
Myanmar,Biodiesel,2050,50.0,0.0,47.368421,yes
Myanmar,Biodiesel,2055,50.0,0.0,47.368421,yes
Myanmar,Biodiesel,2060,50.0,0.0,47.368421,yes
Philippines,Biodiesel,2026,7.0,5.0,6.344411,yes
Philippines,Biodiesel,2027,10.0,5.0,9.090909,yes
Philippines,Biodiesel,2030,19.0,5.0,17.431193,yes
Philippines,Biodiesel,2035,34.0,5.0,31.677019,yes
Philippines,Biodiesel,2040,49.0,5.0,46.37224,yes
Philippines,Biodiesel,2045,50.0,5.0,47.368421,yes
Philippines,Biodiesel,2050,50.0,5.0,47.368421,yes
Philippines,Biodiesel,2055,50.0,5.0,47.368421,yes
Philippines,Biodiesel,2060,50.0,5.0,47.368421,yes
Singapore,Biodiesel,2026,3.0,0.0,2.708124,yes
Singapore,Biodiesel,2027,6.0,0.0,5.432596,yes
Singapore,Biodiesel,2030,15.0,0.0,13.705584,yes
Singapore,Biodiesel,2035,30.0,0.0,27.835052,yes
Singapore,Biodiesel,2040,45.0,0.0,42.408377,yes
Singapore,Biodiesel,2045,50.0,0.0,47.368421,yes
Singapore,Biodiesel,2050,50.0,0.0,47.368421,yes
Singapore,Biodiesel,2055,50.0,0.0,47.368421,yes
Singapore,Biodiesel,2060,50.0,0.0,47.368421,yes
Thailand,Biodiesel,2025,8.2,7.0,7.441016,yes
Thailand,Biodiesel,2026,11.2,7.0,10.194175,yes
Thailand,Biodiesel,2027,14.2,7.0,12.96409,yes
Thailand,Biodiesel,2030,23.2,11.54,21.375921,yes
Thailand,Biodiesel,2035,38.2,21.15,35.745477,yes
Thailand,Biodiesel,2040,50.0,25.0,47.368421,yes
Thailand,Biodiesel,2045,50.0,25.0,47.368421,yes
Thailand,Biodiesel,2050,50.0,25.0,47.368421,yes
Thailand,Biodiesel,2055,50.0,25.0,47.368421,yes
Thailand,Biodiesel,2060,50.0,25.0,47.368421,yes
Vietnam,Biodiesel,2025,1.5,1.48,1.352028,yes
Vietnam,Biodiesel,2026,4.5,2.22,4.068307,yes
Vietnam,Biodiesel,2027,7.5,2.96,6.801008,yes
Vietnam,Biodiesel,2030,16.5,5.19,15.099136,yes
Vietnam,Biodiesel,2035,31.5,8.89,29.27207,yes
Vietnam,Biodiesel,2040,46.5,12.59,43.890928,yes
Vietnam,Biodiesel,2045,50.0,16.3,47.368421,yes
Vietnam,Biodiesel,2050,50.0,20.0,47.368421,yes
Vietnam,Biodiesel,2055,50.0,20.0,47.368421,yes
Vietnam,Biodiesel,2060,50.0,20.0,47.368421,yes
Brunei,Bioethanol,2026,3.0,0.0,1.812812,yes
Brunei,Bioethanol,2027,6.0,0.0,3.670547,yes
Brunei,Bioethanol,2030,15.0,0.0,9.530643,yes
Brunei,Bioethanol,2035,20.0,0.0,12.986054,yes
Brunei,Bioethanol,2040,20.0,0.0,12.986054,yes
Brunei,Bioethanol,2045,20.0,0.0,12.986054,yes
Brunei,Bioethanol,2050,20.0,0.0,12.986054,yes
Brunei,Bioethanol,2055,20.0,0.0,12.986054,yes
Brunei,Bioethanol,2060,20.0,0.0,12.986054,yes
Cambodia,Bioethanol,2026,3.0,0.0,1.812812,yes
Cambodia,Bioethanol,2027,6.0,0.0,3.670547,yes
Cambodia,Bioethanol,2030,15.0,0.0,9.530643,yes
Cambodia,Bioethanol,2035,20.0,0.0,12.986054,yes
Cambodia,Bioethanol,2040,20.0,0.0,12.986054,yes
Cambodia,Bioethanol,2045,20.0,0.0,12.986054,yes
Cambodia,Bioethanol,2050,20.0,0.0,12.986054,yes
Cambodia,Bioethanol,2055,20.0,0.0,12.986054,yes
Cambodia,Bioethanol,2060,20.0,0.0,12.986054,yes
Indonesia,Bioethanol,2026,3.0,0.8,1.812812,yes
Indonesia,Bioethanol,2027,6.0,1.6,3.670547,yes
Indonesia,Bioethanol,2030,15.0,4.0,9.530643,yes
Indonesia,Bioethanol,2035,20.0,8.0,12.986054,yes
Indonesia,Bioethanol,2040,20.0,12.0,12.986054,yes
Indonesia,Bioethanol,2045,20.0,16.0,12.986054,yes
Laos,Bioethanol,2025,1.7,1.67,1.021841,yes
Laos,Bioethanol,2026,4.7,3.33,2.859906,yes
Laos,Bioethanol,2027,7.7,5.0,4.743844,yes
Laos,Bioethanol,2030,16.7,10.0,10.68873,yes
Laos,Bioethanol,2035,20.0,10.0,12.986054,yes
Laos,Bioethanol,2040,20.0,10.0,12.986054,yes
Laos,Bioethanol,2045,20.0,10.0,12.986054,yes
Laos,Bioethanol,2050,20.0,10.0,12.986054,yes
Laos,Bioethanol,2055,20.0,10.0,12.986054,yes
Laos,Bioethanol,2060,20.0,10.0,12.986054,yes
Malaysia,Bioethanol,2026,3.0,0.0,1.812812,yes
Malaysia,Bioethanol,2027,6.0,0.0,3.670547,yes
Malaysia,Bioethanol,2030,15.0,0.0,9.530643,yes
Malaysia,Bioethanol,2035,20.0,0.0,12.986054,yes
Malaysia,Bioethanol,2040,20.0,0.0,12.986054,yes
Malaysia,Bioethanol,2045,20.0,0.0,12.986054,yes
Malaysia,Bioethanol,2050,20.0,0.0,12.986054,yes
Malaysia,Bioethanol,2055,20.0,0.0,12.986054,yes
Malaysia,Bioethanol,2060,20.0,0.0,12.986054,yes
Myanmar,Bioethanol,2026,3.0,0.0,1.812812,yes
Myanmar,Bioethanol,2027,6.0,0.0,3.670547,yes
Myanmar,Bioethanol,2030,15.0,0.0,9.530643,yes
Myanmar,Bioethanol,2035,20.0,0.0,12.986054,yes
Myanmar,Bioethanol,2040,20.0,0.0,12.986054,yes
Myanmar,Bioethanol,2045,20.0,0.0,12.986054,yes
Myanmar,Bioethanol,2050,20.0,0.0,12.986054,yes
Myanmar,Bioethanol,2055,20.0,0.0,12.986054,yes
Myanmar,Bioethanol,2060,20.0,0.0,12.986054,yes
Philippines,Bioethanol,2026,13.0,10.0,8.189628,yes
Philippines,Bioethanol,2027,15.0,10.0,9.530643,yes
Philippines,Bioethanol,2030,17.0,10.0,10.894866,yes
Philippines,Bioethanol,2035,20.0,10.0,12.986054,yes
Philippines,Bioethanol,2040,20.0,10.0,12.986054,yes
Philippines,Bioethanol,2045,20.0,10.0,12.986054,yes
Philippines,Bioethanol,2050,20.0,10.0,12.986054,yes
Philippines,Bioethanol,2055,20.0,10.0,12.986054,yes
Philippines,Bioethanol,2060,20.0,10.0,12.986054,yes
Singapore,Bioethanol,2026,3.0,0.0,1.812812,yes
Singapore,Bioethanol,2027,6.0,0.0,3.670547,yes
Singapore,Bioethanol,2030,15.0,0.0,9.530643,yes
Singapore,Bioethanol,2035,20.0,0.0,12.986054,yes
Singapore,Bioethanol,2040,20.0,0.0,12.986054,yes
Singapore,Bioethanol,2045,20.0,0.0,12.986054,yes
Singapore,Bioethanol,2050,20.0,0.0,12.986054,yes
Singapore,Bioethanol,2055,20.0,0.0,12.986054,yes
Singapore,Bioethanol,2060,20.0,0.0,12.986054,yes
Thailand,Bioethanol,2025,13.7,0.77,8.65638,yes
Thailand,Bioethanol,2026,15.0,1.54,9.530643,yes
Vietnam,Bioethanol,2025,9.7,1.48,6.026142,yes
Vietnam,Bioethanol,2026,12.7,10.0,7.990441,yes
Vietnam,Bioethanol,2027,15.0,11.0,9.530643,yes
Vietnam,Bioethanol,2030,17.0,14.0,10.894866,yes
Vietnam,Bioethanol,2035,20.0,15.0,12.986054,yes
Vietnam,Bioethanol,2040,20.0,15.0,12.986054,yes
Vietnam,Bioethanol,2045,20.0,16.3,12.986054,yes
