region,fuel,year,ceiling_vol_pct,floor_vol_pct,reason
Brunei,Biodiesel,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Cambodia,Biodiesel,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2025,40.0,40.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2026,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2027,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2030,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2035,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2040,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2045,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2050,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2055,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Biodiesel,2060,50.0,50.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Malaysia,Biodiesel,2026,15.0,15.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Malaysia,Biodiesel,2030,30.0,30.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Myanmar,Biodiesel,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Philippines,Biodiesel,2025,4.0,4.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Singapore,Biodiesel,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Brunei,Bioethanol,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Cambodia,Bioethanol,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Bioethanol,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Bioethanol,2050,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Bioethanol,2055,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Indonesia,Bioethanol,2060,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Malaysia,Bioethanol,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Myanmar,Bioethanol,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Philippines,Bioethanol,2025,10.0,10.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Singapore,Bioethanol,2025,0.0,0.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2027,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2030,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2035,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2040,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2045,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2050,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2055,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Thailand,Bioethanol,2060,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Vietnam,Bioethanol,2050,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Vietnam,Bioethanol,2055,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
Vietnam,Bioethanol,2060,20.0,20.0,ceiling<=floor -> canon default 100 left standing (B3: do not create the pin)
