ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 1515, 2030, 1553, 2035, 1593, 2040, 1633, 2045, 1674, 2050, 1716)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Cambodia,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 1.66654e+07, 2030, 1.70862e+07, 2035, 1.75177e+07, 2040, 1.796e+07, 2045, 1.84135e+07, 2050, 1.88785e+07)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Indonesia,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 8.1812e+07, 2030, 8.38779e+07, 2035, 8.59959e+07, 2040, 8.81674e+07, 2045, 9.03937e+07, 2050, 9.26763e+07)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Laos,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 5.30263e+06, 2030, 5.43653e+06, 2035, 5.57381e+06, 2040, 5.71455e+06, 2045, 5.85885e+06, 2050, 6.0068e+06)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Malaysia,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 4.54511e+06, 2030, 4.65988e+06, 2035, 4.77755e+06, 2040, 4.89819e+06, 2045, 5.02188e+06, 2050, 5.14868e+06)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Myanmar,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 3.78759e+07, 2030, 3.88324e+07, 2035, 3.98129e+07, 2040, 4.08182e+07, 2045, 4.1849e+07, 2050, 4.29057e+07)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Philippines,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 2.87857e+07, 2030, 2.95126e+07, 2035, 3.02578e+07, 2040, 3.10219e+07, 2045, 3.18052e+07, 2050, 3.26083e+07)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Singapore,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Thailand,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 4.84812e+07, 2030, 4.97054e+07, 2035, 5.09605e+07, 2040, 5.22474e+07, 2045, 5.35667e+07, 2050, 5.49193e+07)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
Vietnam,Resources\Primary\Rice Straw,Maximum Production,"Interp(2025, 6.51466e+07, 2030, 6.67916e+07, 2035, 6.84782e+07, 2040, 7.02074e+07, 2045, 7.19802e+07, 2050, 7.37978e+07)",Tonne,,Geospatial pipeline 07_resource_potential.py Tier 3 'rice_husks_straw' — SRR + competing-use-fraction deducted per config.RESIDUE_RATIOS/WASTE_PARAMS,"Collection + baling + transport, 2025 anchor. Source: Searle & Malins (2013) ICCT White Paper $30-60/t dry; NREL (2011) TP-5100-47764. Consumed by Cellulosic Rice Straw.",Bioenergy/Geospatial Bioenergy/data/processed/resource_potential.csv,residue_resource,Medium
