ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Cambodia,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Indonesia,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Laos,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Malaysia,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Myanmar,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Philippines,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.5, 2030, 0.75, 2035, 1.0, 2040, 1.25, 2045, 1.5, 2050, 1.75, 2055, 2.0, 2060, 2.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.4 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=2.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Medium-High
Singapore,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Thailand,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Vietnam,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
