branch_path,variable,scenario,region,expression,units,scale,per
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Base Template,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Brunei,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Cambodia,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Indonesia,"InterpFSY(2023, 35, 2025, 40, 2050, 50) ? 1st 1o1 Country Consultation Workshop for RE LTRM: Indonesia",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Laos,"InterpFSY(2030, 10) ? _x000D_
_x000D_
Biofuels to meet 10% of transport fuels _x000D_
_x000D_
_x000D_
source: Nationally Determined Contribution (2021) , p.7",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Malaysia,"InterpFSY(2030, 30) ?_x000D_
_x000D_
_x000D_
Maintain DTN’s biodiesel blending targets to B30 by 2030_x000D_
_x000D_
source: National Energy Transition Roadmap",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Myanmar,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Philippines,"InterpFSY(2024, 3, 2025, 4, 2026, 5) ? https://doe.gov.ph/press-releases/doe-mandates-higher-biodiesel-blend-beginning-october-2024",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Singapore,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Thailand,"InterpFSY(2037, 25) ? _x000D_
_x000D_
Biofuel share: 6% in TFEC by 2037_x000D_
Biofuel share: 20-25% in transportation sector_x000D_
_x000D_
source: Alternative Energy Development Plan (AEDP) 2015-2036",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Timor Leste,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,AMS Target Scenario,Vietnam,"Interp(2023,0, 2050, 20) ?_x000D_
_x000D_
(percentage to be recalculated)_x000D_
_x000D_
The use of biofuels is to reach about 0.28 million tonnes of oil equivalent by 2030 and 13 million tonnes of oil equivalent by 2050_x000D_
_x000D_
_x000D_
source: Decision No. 893/QD-TTg dated July 26, 2023 approving EMP​:",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Base Template,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Brunei,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Cambodia,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Indonesia,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Laos,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Malaysia,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Myanmar,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Philippines,"InterpFSY(2025, 2.5%)",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Singapore,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Thailand,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Timor Leste,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Baseline Simulation,Vietnam,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Current Accounts,ALL (12 regions),0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Base Template,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Brunei,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Cambodia,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Indonesia,"InterpFSY(2023, 35, 2025, 40, 2050, 50) ? 1st 1o1 Country Consultation Workshop for RE LTRM: Indonesia",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Laos,"InterpFSY(2030, 10) ? _x000D_
_x000D_
Biofuels to meet 10% of transport fuels _x000D_
_x000D_
_x000D_
source: Nationally Determined Contribution (2021) , p.7",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Malaysia,"InterpFSY(2030, 30) ?_x000D_
_x000D_
_x000D_
Maintain DTN’s biodiesel blending targets to B30 by 2030_x000D_
_x000D_
source: National Energy Transition Roadmap",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Myanmar,0 ? No existing mandate,Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Philippines,"InterpFSY(2024, 3, 2025, 4, 2026, 5) ? https://doe.gov.ph/press-releases/doe-mandates-higher-biodiesel-blend-beginning-october-2024",Volume %,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Regional Aspiration Scenario,Singapore,0 ? No existing mandate,Volume %,,
