branch_path,variable,scenario,region,expression,units,scale,per
Transformation\Ammonia Production for Energy Use,Optimize,AMS Target Scenario,ALL (12 regions),No,None,,
Transformation\Ammonia Production for Energy Use,Optimize,Baseline Simulation,ALL (12 regions),No,None,,
Transformation\Ammonia Production for Energy Use,Use Addition Size,Regional Aspiration Scenario,ALL (12 regions),No,None,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Export Target,AMS Target Scenario,ALL (12 regions),0,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Export Target,Baseline Simulation,ALL (12 regions),0,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Export Target,Current Accounts,ALL (12 regions),0,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Import Target,AMS Target Scenario,ALL (12 regions),0,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Import Target,Baseline Simulation,ALL (12 regions),0,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Import Target,Current Accounts,ALL (12 regions),0,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Output Share,Regional Aspiration Scenario,ALL (12 regions),100,Share,%,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Dispatch Rule,AMS Target Scenario,ALL (12 regions),PercentShare,None,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Dispatch Rule,Baseline Simulation,ALL (12 regions),PercentShare,None,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Dispatch Rule,Current Accounts,ALL (12 regions),PercentShare,None,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Lifetime,Regional Aspiration Scenario,ALL (12 regions),30,Years,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Maximum Production,Regional Aspiration Scenario,ALL (12 regions),Unlimited,Gigajoule,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Maximum_Share_of_Production,AMS Target Scenario,ALL (12 regions),100,%,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Maximum_Share_of_Production,Baseline Simulation,ALL (12 regions),100,%,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Maximum_Share_of_Production,Regional Aspiration Scenario,ALL (12 regions),100,%,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Minimum Production,Regional Aspiration Scenario,ALL (12 regions),0,Gigajoule,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Minimum Share of Production,Regional Aspiration Scenario,ALL (12 regions),0,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Optimized New Capacity,Regional Aspiration Scenario,ALL (12 regions),0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX),Megawatt,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Efficiency,AMS Target Scenario,ALL (12 regions),1000 * 18.6 / 178 / 119.789 * 100 ? Nallapaneni and Sood (2022). See Notes.,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Efficiency,Baseline Simulation,ALL (12 regions),1000 * 18.6 / 178 / 119.789 * 100 ? Nallapaneni and Sood (2022). See Notes.,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Efficiency,Current Accounts,ALL (12 regions),1000 * 18.6 / 178 / 119.789 * 100 ? Nallapaneni and Sood (2022). See Notes.,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Efficiency,Regional Aspiration Scenario,ALL (12 regions),1000 * 18.6 / 178 / 119.789 * 100 ? Nallapaneni and Sood (2022). See Notes.,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Share,AMS Target Scenario,ALL (12 regions),0,Share,%,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Share,Baseline Simulation,ALL (12 regions),0,Share,%,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Share,Current Accounts,ALL (12 regions),0,Share,%,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,AMS Target Scenario,ALL (12 regions),"2.7 / 18.6 ? Nallapaneni and Sood (2022), for N2 separation from AIR",Gigajoule,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,Baseline Simulation,ALL (12 regions),"2.7 / 18.6 ? Nallapaneni and Sood (2022), for N2 separation from AIR",Gigajoule,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,Current Accounts,ALL (12 regions),"2.7 / 18.6 ? Nallapaneni and Sood (2022), for N2 separation from AIR",Gigajoule,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,Regional Aspiration Scenario,ALL (12 regions),"2.7 / 18.6 ? Nallapaneni and Sood (2022), for N2 separation from AIR",Gigajoule,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Fuel Source,Regional Aspiration Scenario,ALL (12 regions),SourceBelow,2020 USD,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Base Template,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Brunei,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Cambodia,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Indonesia,100,U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Laos,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Malaysia,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Myanmar,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Philippines,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Singapore,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Thailand,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Timor Leste,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,AMS Target Scenario,Vietnam,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,Baseline Simulation,Base Template,Remainder(100),U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,Baseline Simulation,Brunei,Remainder(100),U.S. Dollar,,Gigajoule
