branch_path,variable,units,scale,per
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Volume %,,
Key\Biofuel Blending Targets\Bioethanol,Activity Level,Volume %,,
Key\Optimized Trade\Brunei_Cambodia Biodiesel,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Biodiesel,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Biodiesel,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Biodiesel,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Biodiesel,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Cassava,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Cassava,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Cassava,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Cassava,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Cassava,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Coconut Oil,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Coconut Oil,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Coconut Oil,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Coconut Oil,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Coconut Oil,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Corn,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Corn,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Corn,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Corn,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Corn,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Ethanol,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Ethanol,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Ethanol,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Ethanol,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Ethanol,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Molasses,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Molasses,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Molasses,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Molasses,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Molasses,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil Mill Effluent,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil Mill Effluent,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil Mill Effluent,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil Mill Effluent,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Palm Oil Mill Effluent,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Sugarcane,Activity Level,1 or 0,,
Key\Optimized Trade\Brunei_Cambodia Sugarcane,Trade LEAP Fuel,ID,,
Key\Optimized Trade\Brunei_Cambodia Sugarcane,Trade Region 1,ID,,
Key\Optimized Trade\Brunei_Cambodia Sugarcane,Trade Region 2,ID,,
Key\Optimized Trade\Brunei_Cambodia Sugarcane,Trade_NEMO Fuel,ID,,
Key\Optimized Trade\Brunei_Indonesia Biodiesel,Activity Level,1 or 0,,
