branch_path,variable,units,scale,per
Transformation\Ammonia Production for Energy Use,Optimize,None,,
Transformation\Ammonia Production for Energy Use,Use Addition Size,None,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Export Target,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Import Target,Tonnes of Oil Equivalent,,
Transformation\Ammonia Production for Energy Use\Output Fuels\Ammonia,Output Share,Share,%,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Dispatch Rule,None,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Lifetime,Years,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Maximum Production,Gigajoule,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Maximum_Share_of_Production,%,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Minimum Production,Gigajoule,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Minimum Share of Production,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Optimized New Capacity,Megawatt,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Efficiency,Percent,,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen,Process Share,Share,%,
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,Gigajoule,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Auxiliary Fuels\Electricity,Fuel Source,2020 USD,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Ammonia Production for Energy Use\Processes\Hydrogen\Feedstock Fuels\Hydrogen,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production,Module Costs,2020 USD,,
Transformation\Biodiesel Production,Optimize,None,,
Transformation\Biodiesel Production,Peak Load Ratio,Percent,,
Transformation\Biodiesel Production,Planning Reserve Margin,Percent,,
Transformation\Biodiesel Production,Renewable Target,Percent,,
Transformation\Biodiesel Production,Use Addition Size,None,,
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Export Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Import Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Output Price,U.S. Dollar,,Kilowatt-Hour
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Output Share,Share,%,
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Shortfall Rule,None,,
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Surplus Rule,None,,
Transformation\Biodiesel Production\Output Fuels\Biodiesel,Usage Rule,None,,
Transformation\Biodiesel Production\Output Fuels\Biodiesel\Land Use,Avg Environmental Loading,Hectare,,Gigajoule
Transformation\Biodiesel Production\Output Fuels\Biodiesel\Land Use,BioProdYield,litre/tonne,,
Transformation\Biodiesel Production\Output Fuels\Biodiesel\Land Use,CropYield,tonne/ha,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Capacity Credit,Percent,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Capital Cost,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\CME Biodiesel,Dispatch Rule,None,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Dispatchable,Yes/No,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Endogenous Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Exogenous Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,First Simulation Year,Years,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Fixed OM Cost,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\CME Biodiesel,Historical Production,Tonnes of Oil Equivalent,Thousand,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Interest Rate,Percent,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Lifetime,Years,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Availability,Percent,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Production,Gigajoule,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum_Share_of_Production,%,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Merit Order,Merit Order,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Minimum Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Minimum Capacity Addition,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Minimum Production,Gigajoule,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Minimum Share of Production,Percent,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Minimum Utilization,Percent,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Optimized New Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Process Efficiency,Percent,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Process Share,Share,%,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Renewable Qualified,Percent,,
