ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Timor Leste,Resources\Secondary\Ethanol,Import Cost,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",2020 USD/Liter,Ethanol,compute_leap_import_cost_update.py,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,import_cost,Low
Timor Leste,Resources\Secondary\Biodiesel,Import Cost,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",2020 USD/Liter,Biodiesel,compute_leap_import_cost_update.py,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,import_cost,Low
Timor Leste,Resources\Secondary\Methanol,Import Cost,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",2020 USD/Metric Tonne,Methanol,compute_leap_import_cost_update.py,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,import_cost,Low
Timor Leste,Resources\Primary\Palm Oil,Maximum Production,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Metric Tonne,,Geospatial Bioenergy pipeline 01-10,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,feedstock_resource,Low
Timor Leste,Resources\Primary\Coconut Oil,Maximum Production,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Metric Tonne,,Geospatial Bioenergy pipeline 01-10,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,feedstock_resource,Low
Timor Leste,Resources\Primary\Sugarcane,Maximum Production,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Metric Tonne,,Geospatial Bioenergy pipeline 01-10,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,feedstock_resource,Low
Timor Leste,Resources\Primary\Cassava,Maximum Production,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Metric Tonne,,Geospatial Bioenergy pipeline 01-10,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,feedstock_resource,Low
Timor Leste,Resources\Primary\Corn,Maximum Production,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Metric Tonne,,Geospatial Bioenergy pipeline 01-10,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,feedstock_resource,Low
Timor Leste,Resources\Primary\Cassava,Production Cost,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",USD/t fresh root,,FAO (2022) Food Outlook Cassava + OAE (2023) Thailand Agricultural Production Cost Report 2022,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,crop_production_cost,Low
Timor Leste,Resources\Primary\Coconut Oil,Production Cost,"Interp(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",USD/t nuts-in-shell,,PCA (2023) + APCC (2022); copra-basis $410 x ~25% copra yield + handling allowance,[Timor Leste supplement seed] zero-supply default; edit if TL actually produces this. Generated 2026-05-18.,bioenergy_leap_input.csv,crop_production_cost,Low
