ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Brunei,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,66.33,kWh/m2,,sourced: BEI 2019,"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Brunei,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,66.33,kWh/m2,,sourced: BEI 2019,"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
Brunei,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,66.33,kWh/m2,,sourced: BEI 2019,"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,AMS Target Scenario
Brunei,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,66.33,kWh/m2,,sourced: BEI 2019,"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Regional Aspiration Scenario
Cambodia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,233.04,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Cambodia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,233.04,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
Cambodia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,233.04,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,AMS Target Scenario
Cambodia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,233.04,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Regional Aspiration Scenario
Indonesia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,186.99,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Indonesia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,186.99,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
Indonesia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,186.99,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,AMS Target Scenario
Indonesia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,186.99,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Regional Aspiration Scenario
Laos,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,142.86,kWh/m2,,sourced: ERIA Lao PDR Energy Statistics 2018 (eria.org),"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Laos,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,142.86,kWh/m2,,sourced: ERIA Lao PDR Energy Statistics 2018 (eria.org),"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
Laos,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,142.86,kWh/m2,,sourced: ERIA Lao PDR Energy Statistics 2018 (eria.org),"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,AMS Target Scenario
Laos,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,142.86,kWh/m2,,sourced: ERIA Lao PDR Energy Statistics 2018 (eria.org),"B1 uncal intensity bridge (team); source_tier=sourced-split-mismatch; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Regional Aspiration Scenario
Malaysia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,95.18,kWh/m2,,sourced: journal.ump.edu.my/ijets (Malaysia commercial AC study),"B1 uncal intensity bridge (team); source_tier=sourced; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Malaysia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,95.18,kWh/m2,,sourced: journal.ump.edu.my/ijets (Malaysia commercial AC study),"B1 uncal intensity bridge (team); source_tier=sourced; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
Malaysia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,95.18,kWh/m2,,sourced: journal.ump.edu.my/ijets (Malaysia commercial AC study),"B1 uncal intensity bridge (team); source_tier=sourced; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,AMS Target Scenario
Malaysia,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,95.18,kWh/m2,,sourced: journal.ump.edu.my/ijets (Malaysia commercial AC study),"B1 uncal intensity bridge (team); source_tier=sourced; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Regional Aspiration Scenario
Myanmar,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,1008.19,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Myanmar,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,1008.19,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
Myanmar,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,1008.19,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,AMS Target Scenario
Myanmar,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,1008.19,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=True; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Regional Aspiration Scenario
Philippines,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,467.98,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Current Accounts
Philippines,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,467.98,kWh/m2,,top-down reconciliation (split x control / saturation),"B1 uncal intensity bridge (team); source_tier=reconciled; refresh_needed=False; CAL untouched (R3) | scenario made explicit 2026-07-22 (canon: invariant, authored in all 4)",comm2/end_use_intensity.csv,TEAM_AUTHORED,Baseline Simulation
