branch_path,variable,units,scale,per
Demand\Commercial,Activity Level,No data,,
Demand\Commercial,Demand Cost,2020 USD,,
Demand\Commercial,RefHH,Ref/hh,,
Demand\Commercial\Data_Center,Activity Level,No data,,
Demand\Commercial\Data_Center,Demand Cost,2020 USD,,No data
Demand\Commercial\Data_Center,RefHH,Ref/hh,,
Demand\Commercial\Data_Center\Colocation,Demand Cost,2020 USD,,
Demand\Commercial\Data_Center\Colocation,Load Shape,Percent,%,
Demand\Commercial\Data_Center\Colocation,RefHH,Ref/hh,,
Demand\Commercial\Data_Center\Colocation,Total Energy,Gigawatt-Hour,,
Demand\Commercial\Data_Center\Enterprise,Demand Cost,2020 USD,,
Demand\Commercial\Data_Center\Enterprise,Load Shape,Percent,%,
Demand\Commercial\Data_Center\Enterprise,RefHH,Ref/hh,,
Demand\Commercial\Data_Center\Enterprise,Total Energy,Gigawatt-Hour,,
Demand\Commercial\Data_Center\Hyperscale,Demand Cost,2020 USD,,
Demand\Commercial\Data_Center\Hyperscale,Load Shape,Percent,%,
Demand\Commercial\Data_Center\Hyperscale,RefHH,Ref/hh,,
Demand\Commercial\Data_Center\Hyperscale,Total Energy,Gigawatt-Hour,,
Demand\Commercial\Other Commercial,Activity Level,Square Meter,Thousand,
Demand\Commercial\Other Commercial,Demand Cost,2020 USD,,
Demand\Commercial\Other Commercial,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection,Activity Level,Saturation,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Activity Level,Saturation,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,kWh/m2,,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Best Practice,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Best Practice,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Best Practice,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Best Practice,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Best Practice,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Best Practice,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Current Sales_Average,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Current Sales_Average,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Current Sales_Average,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Current Sales_Average,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning\Current Sales_Average,Load Shape,Percent,%,
