branch_path,variable,scenario,region,expression,units,scale,per
Demand\Commercial,Activity Level,AMS Target Scenario,ALL (12 regions),Key\Commercial\Gross Floor_Area[Thousand m2],No data,,
Demand\Commercial,Activity Level,Baseline Simulation,ALL (12 regions),Key\Commercial\Gross Floor_Area[Thousand m2],No data,,
Demand\Commercial,Activity Level,Current Accounts,ALL (12 regions),Key\Commercial\Gross Floor_Area[Thousand m2],No data,,
Demand\Commercial,Activity Level,Regional Aspiration Scenario,ALL (12 regions),Key\Commercial\Gross Floor_Area[Thousand m2],No data,,
Demand\Commercial,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,
Demand\Commercial,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,
Demand\Commercial,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,
Demand\Commercial,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,2020 USD,,
Demand\Commercial,RefHH,AMS Target Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Commercial,RefHH,Baseline Simulation,ALL (12 regions),1,Ref/hh,,
Demand\Commercial,RefHH,Current Accounts,ALL (12 regions),1,Ref/hh,,
Demand\Commercial,RefHH,Regional Aspiration Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Commercial\Data_Center,Activity Level,AMS Target Scenario,ALL (12 regions),0,No data,,
Demand\Commercial\Data_Center,Activity Level,Baseline Simulation,ALL (12 regions),0,No data,,
Demand\Commercial\Data_Center,Activity Level,Current Accounts,ALL (12 regions),0,No data,,
Demand\Commercial\Data_Center,Activity Level,Regional Aspiration Scenario,ALL (12 regions),0,No data,,
Demand\Commercial\Data_Center,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,No data
Demand\Commercial\Data_Center,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,No data
Demand\Commercial\Data_Center,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,No data
Demand\Commercial\Data_Center,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,2020 USD,,No data
Demand\Commercial\Data_Center,RefHH,AMS Target Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Commercial\Data_Center,RefHH,Baseline Simulation,ALL (12 regions),1,Ref/hh,,
Demand\Commercial\Data_Center,RefHH,Current Accounts,ALL (12 regions),1,Ref/hh,,
Demand\Commercial\Data_Center,RefHH,Regional Aspiration Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Commercial\Data_Center\Colocation,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,
Demand\Commercial\Data_Center\Colocation,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,
Demand\Commercial\Data_Center\Colocation,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,
