branch_path,variable,scenario,region,expression,units,scale,per
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Base Template,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Brunei,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Cambodia,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Indonesia,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Laos,0.83,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Malaysia,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Myanmar,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Philippines,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Singapore,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Thailand,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Timor Leste,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,AMS Target Scenario,Vietnam,0.85,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Baseline Simulation,ALL (12 regions),0,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Current Accounts,ALL (12 regions),0,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Regional Aspiration Scenario,ALL (12 regions),0.8,Factor,,
Key\Cal\Commercial\Biodiesel,Activity Level,AMS Target Scenario,Base Template,1,Factor,,
Key\Cal\Commercial\Biodiesel,Activity Level,AMS Target Scenario,Brunei,1,Factor,,
