branch_path,variable,units,scale,per
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Factor,,
Key\Cal\Commercial\Biodiesel,Activity Level,Factor,,
Key\Cal\Commercial\Biomass,Activity Level,Factor,,
Key\Cal\Commercial\Charcoal,Activity Level,Factor,,
Key\Cal\Commercial\Coal,Activity Level,Factor,,
Key\Cal\Commercial\Diesel,Activity Level,Factor,,
Key\Cal\Commercial\Electricity,Activity Level,Factor,,
Key\Cal\Commercial\Kerosene,Activity Level,Factor,,
Key\Cal\Commercial\LPG,Activity Level,Factor,,
Key\Cal\Commercial\Natural Gas,Activity Level,Factor,,
Key\Cal\Commercial\Residual Fuel Oil,Activity Level,Factor,,
Key\Cal\Commercial\Solar,Activity Level,Factor,,
Key\Cal\Commercial\Wood,Activity Level,Factor,,
Key\Cal\Residential\Cook and Light Non Elec,Activity Level,Factor,,
Key\Commercial\Average Energy Intensity,Activity Level,kWh/m2,,
Key\Commercial\Commercial Energy Consumption,Activity Level,kWh,Thousand,
Key\Commercial\Energy consumption per area\Hospital,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Hotel,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Office,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Others,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Retailer,Activity Level,kWh/sqm,,
Key\Commercial\Gross Floor_Area,Activity Level,m2,Thousand,
Key\Commercial\Share_ of Buildings\Hospital,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Hotel,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Office,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Others,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Retailer,Activity Level,as nameplate,,
Key\Macroeconomic\Real GDP Service,Activity Level,2021 USD,Million,
Key\Net Zero Measures\Residential\Building Orientation\Lighting Energy Savings,Activity Level,%,,
Key\Net Zero Measures\Residential\Building Orientation\Share_Households,Activity Level,%,,
