branch_path,variable,units,scale,per
Resources\Primary\Biomass,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Biomass,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Biomass,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Biomass,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Biomass,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Biomass,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Maximum Imports,Gigajoule,,
Resources\Primary\Biomass,Maximum Production,Terawatt-hour,,
Resources\Primary\Biomass,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Biomass,Minimum Production,Gigajoule,,
Resources\Primary\Biomass,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Production Cost,U.S. Dollar,,Metric Tonne
Resources\Primary\Biomass,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Unmet Requirements,Percent,,
Resources\Primary\Coal Unspecified,Additions to Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Unspecified,Base Year Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Unspecified,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Unspecified,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Unspecified,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Unspecified,Export Load Shape,Percent,,
Resources\Primary\Coal Unspecified,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Unspecified,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Coal Unspecified,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Unspecified,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Unspecified,Maximum Imports,Gigajoule,,
Resources\Primary\Coal Unspecified,Maximum Production,Gigajoule,,
Resources\Primary\Coal Unspecified,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Unspecified,Minimum Production,Gigajoule,,
Resources\Primary\Coal Unspecified,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Unspecified,Production Cost,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Unspecified,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Unspecified,Unmet Requirements,Percent,,
Resources\Primary\Crude Oil,Additions to Reserves,Barrel of Oil Equivalent,Billion,
Resources\Primary\Crude Oil,Base Year Reserves,Barrel of Oil Equivalent,Billion,
Resources\Primary\Crude Oil,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Crude Oil,Cost of Unmet Requirements,2020 USD,,Metric Tonne
Resources\Primary\Crude Oil,Export Benefit,2020 USD,,Metric Tonne
Resources\Primary\Crude Oil,Export Load Shape,Percent,,
Resources\Primary\Crude Oil,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Crude Oil,Import Cost,2020 USD,,Barrel
Resources\Primary\Crude Oil,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Crude Oil,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Crude Oil,Maximum Imports,Gigajoule,,
Resources\Primary\Crude Oil,Maximum Production,Petajoule,,
Resources\Primary\Crude Oil,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Crude Oil,Minimum Production,Gigajoule,,
Resources\Primary\Crude Oil,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Crude Oil,Production Cost,2020 USD,,Barrel
Resources\Primary\Crude Oil,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Crude Oil,Unmet Requirements,Percent,,
Resources\Primary\Natural Gas,Additions to Reserves,Cubic Meter,Trillion,
Resources\Primary\Natural Gas,Base Year Reserves,Cubic Meter,Trillion,
Resources\Primary\Natural Gas,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Natural Gas,Cost of Unmet Requirements,U.S. Dollar,,Cubic Meter
Resources\Primary\Natural Gas,Export Benefit,U.S. Dollar,,Cubic Meter
Resources\Primary\Natural Gas,Export Load Shape,Percent,,
Resources\Primary\Natural Gas,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Natural Gas,Import Cost,2020 USD,,Million BTU
Resources\Primary\Natural Gas,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Natural Gas,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Natural Gas,Maximum Imports,Gigajoule,,
Resources\Primary\Natural Gas,Maximum Production,Gigajoule,,
Resources\Primary\Natural Gas,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Natural Gas,Minimum Production,Gigajoule,,
Resources\Primary\Natural Gas,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Natural Gas,Production Cost,U.S. Dollar,,Million BTU
