branch_path,variable,scenario,region,expression,units,scale,per
Transformation\Anthracite Coal Production,Module Costs,AMS Target Scenario,ALL (12 regions),0,U.S. Dollar,,
Transformation\Anthracite Coal Production,Module Costs,Baseline Simulation,ALL (12 regions),0,U.S. Dollar,,
Transformation\Anthracite Coal Production,Module Costs,Current Accounts,ALL (12 regions),0,U.S. Dollar,,
Transformation\Anthracite Coal Production,Module Costs,Regional Aspiration Scenario,ALL (12 regions),0,U.S. Dollar,,
Transformation\Anthracite Coal Production,Optimize,AMS Target Scenario,ALL (12 regions),No,None,,
Transformation\Anthracite Coal Production,Optimize,Baseline Simulation,ALL (12 regions),No,None,,
Transformation\Anthracite Coal Production,Use Addition Size,Regional Aspiration Scenario,ALL (12 regions),No,None,,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Export Target,AMS Target Scenario,ALL (12 regions),0,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Export Target,Baseline Simulation,ALL (12 regions),0,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Export Target,Current Accounts,ALL (12 regions),0,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Import Target,AMS Target Scenario,ALL (12 regions),0,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Import Target,Baseline Simulation,ALL (12 regions),0,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Import Target,Current Accounts,ALL (12 regions),0,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Base Template,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Brunei,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Cambodia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Indonesia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Laos,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Malaysia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Myanmar,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Philippines,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Singapore,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Thailand,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Timor Leste,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,AMS Target Scenario,Vietnam,Remainder(100),U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Base Template,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Brunei,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Cambodia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Indonesia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Laos,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Malaysia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Myanmar,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Philippines,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Singapore,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Thailand,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Timor Leste,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Baseline Simulation,Vietnam,Remainder(100),U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Base Template,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Brunei,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Cambodia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Indonesia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Laos,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Malaysia,0,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,Current Accounts,Myanmar,0,U.S. Dollar,,Kilowatt-Hour
