branch_path,variable,units,scale,per
Transformation\Anthracite Coal Production,Module Costs,U.S. Dollar,,
Transformation\Anthracite Coal Production,Optimize,None,,
Transformation\Anthracite Coal Production,Use Addition Size,None,,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Export Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Import Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Price,U.S. Dollar,,Kilowatt-Hour
Transformation\Anthracite Coal Production\Output Fuels\Coal Anthracite,Output Share,Share,%,
Transformation\Anthracite Coal Production\Processes\All Mines,Dispatch Rule,None,,
Transformation\Anthracite Coal Production\Processes\All Mines,Lifetime,Years,,
Transformation\Anthracite Coal Production\Processes\All Mines,Losses,Percent,,
Transformation\Anthracite Coal Production\Processes\All Mines,Maximum Production,Gigajoule,,
Transformation\Anthracite Coal Production\Processes\All Mines,Maximum_Share_of_Production,%,,
Transformation\Anthracite Coal Production\Processes\All Mines,Minimum Production,Gigajoule,,
Transformation\Anthracite Coal Production\Processes\All Mines,Minimum Share of Production,Percent,,
Transformation\Anthracite Coal Production\Processes\All Mines,Optimized New Capacity,Tonnes Oil Equiv/Year,Thousand,
Transformation\Anthracite Coal Production\Processes\All Mines,Process Share,Share,%,
Transformation\Anthracite Coal Production\Processes\All Mines,Variable OM Cost,U.S. Dollar,,Gigajoule
Transformation\Anthracite Coal Production\Processes\All Mines\Feedstock Fuels\Coal Anthracite,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Anthracite Coal Production\Processes\All Mines\Feedstock Fuels\Coal Anthracite,Fuel Cost,U.S. Dollar,,Gigajoule
Transformation\Anthracite Coal Production\Processes\All Mines\Feedstock Fuels\Coal Anthracite,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Anthracite Coal Production\Processes\All Mines\Feedstock Fuels\Coal Anthracite\Methane,Avg Environmental Loading,Kilogramme,,Tonnes of Coal Equivalent
Transformation\Bituminous Coal Production,Module Costs,U.S. Dollar,,
Transformation\Bituminous Coal Production,Optimize,None,,
Transformation\Bituminous Coal Production,Use Addition Size,None,,
Transformation\Bituminous Coal Production\Output Fuels\Coal Bituminous,Export Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Bituminous Coal Production\Output Fuels\Coal Bituminous,Import Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Bituminous Coal Production\Output Fuels\Coal Bituminous,Output Price,U.S. Dollar,,Kilowatt-Hour
Transformation\Bituminous Coal Production\Output Fuels\Coal Bituminous,Output Share,Share,%,
Transformation\Bituminous Coal Production\Processes\All Mines,Dispatch Rule,None,,
Transformation\Bituminous Coal Production\Processes\All Mines,Lifetime,Years,,
Transformation\Bituminous Coal Production\Processes\All Mines,Losses,Percent,,
Transformation\Bituminous Coal Production\Processes\All Mines,Maximum Production,Gigajoule,,
Transformation\Bituminous Coal Production\Processes\All Mines,Maximum_Share_of_Production,%,,
Transformation\Bituminous Coal Production\Processes\All Mines,Minimum Production,Gigajoule,,
Transformation\Bituminous Coal Production\Processes\All Mines,Minimum Share of Production,Percent,,
Transformation\Bituminous Coal Production\Processes\All Mines,Optimized New Capacity,Tonnes Oil Equiv/Year,Thousand,
Transformation\Bituminous Coal Production\Processes\All Mines,Process Share,Share,%,
Transformation\Bituminous Coal Production\Processes\All Mines,Variable OM Cost,U.S. Dollar,,Gigajoule
Transformation\Bituminous Coal Production\Processes\All Mines\Feedstock Fuels\Coal Bituminous,Feedstock Fuel Share,U.S. Dollar,,Metric Tonne
Transformation\Bituminous Coal Production\Processes\All Mines\Feedstock Fuels\Coal Bituminous,Fuel Cost,U.S. Dollar,,Metric Tonne
Transformation\Bituminous Coal Production\Processes\All Mines\Feedstock Fuels\Coal Bituminous,Fuel Source,U.S. Dollar,,Metric Tonne
Transformation\Bituminous Coal Production\Processes\All Mines\Feedstock Fuels\Coal Bituminous\Methane,Avg Environmental Loading,Kilogramme,,Tonnes of Coal Equivalent
Transformation\Crude Oil Production,Module Costs,2020 USD,,
Transformation\Crude Oil Production,Optimize,None,,
Transformation\Crude Oil Production,Use Addition Size,None,,
Transformation\Crude Oil Production\Output Fuels\Crude Oil,Export Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Crude Oil Production\Output Fuels\Crude Oil,Import Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Crude Oil Production\Output Fuels\Crude Oil,Output Price,U.S. Dollar,,Kilowatt-Hour
Transformation\Crude Oil Production\Output Fuels\Crude Oil,Output Share,Share,%,
Transformation\Crude Oil Production\Processes\Crude Oil,Dispatch Rule,None,,
Transformation\Crude Oil Production\Processes\Crude Oil,Lifetime,Years,,
Transformation\Crude Oil Production\Processes\Crude Oil,Losses,Percent,,
Transformation\Crude Oil Production\Processes\Crude Oil,Maximum Production,Gigajoule,,
Transformation\Crude Oil Production\Processes\Crude Oil,Maximum_Share_of_Production,%,,
Transformation\Crude Oil Production\Processes\Crude Oil,Minimum Production,Gigajoule,,
Transformation\Crude Oil Production\Processes\Crude Oil,Minimum Share of Production,Percent,,
Transformation\Crude Oil Production\Processes\Crude Oil,Optimized New Capacity,Tonnes Oil Equiv/Year,Thousand,
Transformation\Crude Oil Production\Processes\Crude Oil,Process Share,Share,%,
Transformation\Crude Oil Production\Processes\Crude Oil,Variable OM Cost,2020 USD,,Tonnes of Oil Equivalent
Transformation\Crude Oil Production\Processes\Crude Oil\Feedstock Fuels\Crude Oil,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Crude Oil Production\Processes\Crude Oil\Feedstock Fuels\Crude Oil,Fuel Cost,U.S. Dollar,,Gigajoule
Transformation\Crude Oil Production\Processes\Crude Oil\Feedstock Fuels\Crude Oil,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Crude Oil Production\Processes\Crude Oil\Feedstock Fuels\Crude Oil\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Tonnes of Oil Equivalent
Transformation\Crude Oil Production\Processes\Crude Oil\Feedstock Fuels\Crude Oil\Methane,Avg Environmental Loading,Kilogramme,,Tonnes of Oil Equivalent
Transformation\Crude Oil Production\Processes\Crude Oil\Feedstock Fuels\Crude Oil\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Tonnes of Oil Equivalent
Transformation\Diesel Blending,Optimize,None,,
