branch_path,variable,scenario,region,expression,units,scale,per
Demand\Industry,Activity Level,AMS Target Scenario,ALL (12 regions),0,No data,,
Demand\Industry,Activity Level,Baseline Simulation,ALL (12 regions),0,No data,,
Demand\Industry,Activity Level,Current Accounts,ALL (12 regions),0,No data,,
Demand\Industry,Activity Level,Regional Aspiration Scenario,ALL (12 regions),0,No data,,
Demand\Industry,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,
Demand\Industry,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,
Demand\Industry,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,
Demand\Industry,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,2020 USD,,
Demand\Industry,RefHH,AMS Target Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Industry,RefHH,Baseline Simulation,ALL (12 regions),1,Ref/hh,,
Demand\Industry,RefHH,Current Accounts,ALL (12 regions),1,Ref/hh,,
Demand\Industry,RefHH,Regional Aspiration Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Industry\Historical,Activity Level,AMS Target Scenario,ALL (12 regions),"Step(2005, 100, 2025, 0)",Saturation,%,
Demand\Industry\Historical,Activity Level,Baseline Simulation,ALL (12 regions),"Step(2005, 100, 2025, 0)",Saturation,%,
Demand\Industry\Historical,Activity Level,Current Accounts,ALL (12 regions),"Step(2005, 100, 2025, 0)",Saturation,%,
Demand\Industry\Historical,Activity Level,Regional Aspiration Scenario,ALL (12 regions),"Step(2005, 100, 2025, 0)",Saturation,%,
Demand\Industry\Historical,Demand Cost,AMS Target Scenario,ALL (12 regions),0,U.S. Dollar,,
Demand\Industry\Historical,Demand Cost,Baseline Simulation,ALL (12 regions),0,U.S. Dollar,,
Demand\Industry\Historical,Demand Cost,Current Accounts,ALL (12 regions),0,U.S. Dollar,,
Demand\Industry\Historical,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,U.S. Dollar,,
Demand\Industry\Historical,Final Energy Intensity,AMS Target Scenario,ALL (12 regions),Growth(0),Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical,Final Energy Intensity,Baseline Simulation,ALL (12 regions),Growth(0),Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical,Final Energy Intensity,Current Accounts,ALL (12 regions),TotalEnergy[Thousand TOE],Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical,Final Energy Intensity,Regional Aspiration Scenario,ALL (12 regions),Growth(0),Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical,RefHH,AMS Target Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Industry\Historical,RefHH,Baseline Simulation,ALL (12 regions),1,Ref/hh,,
Demand\Industry\Historical,RefHH,Current Accounts,ALL (12 regions),1,Ref/hh,,
Demand\Industry\Historical,RefHH,Regional Aspiration Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Industry\Historical,TotalEnergy,AMS Target Scenario,Base Template,0,TOE,Thousand,
