branch_path,variable,units,scale,per
Demand\Industry,Activity Level,No data,,
Demand\Industry,Demand Cost,2020 USD,,
Demand\Industry,RefHH,Ref/hh,,
Demand\Industry\Historical,Activity Level,Saturation,%,
Demand\Industry\Historical,Demand Cost,U.S. Dollar,,
Demand\Industry\Historical,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical,RefHH,Ref/hh,,
Demand\Industry\Historical,TotalEnergy,TOE,Thousand,
Demand\Industry\Historical\Bagasse,Demand Cost,2020 USD,,
Demand\Industry\Historical\Bagasse,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical\Bagasse,Fuel Share,Share,%,
Demand\Industry\Historical\Bagasse,RefHH,Ref/hh,,
Demand\Industry\Historical\Bagasse,UnscaledFuelShare,%,,
Demand\Industry\Historical\Bagasse\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Historical\Bagasse\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Historical\Bagasse\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Historical\Biodiesel,Demand Cost,2020 USD,,
Demand\Industry\Historical\Biodiesel,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,
Demand\Industry\Historical\Biodiesel,Fuel Share,Share,%,
Demand\Industry\Historical\Biodiesel,RefHH,Ref/hh,,
Demand\Industry\Historical\Biodiesel,UnscaledFuelShare,%,,
Demand\Industry\Historical\Biodiesel\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
