branch_path,variable,units,scale,per
Key\Energy Access\Electrification Rate,Activity Level,%,,
Key\Industry\Appliances_share\Chemical,Activity Level,Fraction,,
Key\Industry\Appliances_share\Construction,Activity Level,Fraction,,
Key\Industry\Appliances_share\Food Beverages and Tobacco,Activity Level,Fraction,,
Key\Industry\Appliances_share\Iron and Steel,Activity Level,Fraction,,
Key\Industry\Appliances_share\Non Metallic Minerals,Activity Level,Fraction,,
Key\Industry\Appliances_share\Other Industry,Activity Level,Fraction,,
Key\Industry\Appliances_share\Pulp and Paper,Activity Level,Fraction,,
Key\Industry\Appliances_share\Textile and Leather,Activity Level,Fraction,,
Key\Industry\Cal\Cement,Activity Level,Fraction,,
Key\Industry\Cal\Electricity,Activity Level,Fraction,,
Key\Industry\Cal\Iron and Steel,Activity Level,Fraction,,
Key\Industry\Cal\Liquid FF,Activity Level,Fraction,,
Key\Industry\Cal\Others,Activity Level,Fraction,,
Key\Industry\Cal\Total_,Activity Level,Fraction,,
Key\Industry\Cement RAS Measures\CCS Adoption,Activity Level,Share,%,
Key\Industry\Cement RAS Measures\Clinker Fraction,Activity Level,Fraction,,
Key\Industry\Intensity\Cement\Cement Kiln CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Cement Kiln CCS\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Cement Kiln Conventional\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Cement Kiln Conventional\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Biomass CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Biomass CCS\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Gas CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Gas CCS\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Chemical\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Iron and Steel\Casting\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Casting\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Coal Bituminous,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Metalurgical Coke,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Residual Fuel Oil,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Scrap,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Coal Bituminous,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Metalurgical Coke,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Residual Fuel Oil,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Scrap,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Hydrogen,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\Scrap\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\Scrap\Scrap,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Hot Rolling\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Hot Rolling\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Hot Rolling\Residual Fuel Oil,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Mining\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
