branch_path,variable,units,scale,per
Resources\Primary\Bagasse,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Bagasse,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Bagasse,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Bagasse,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Bagasse,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Bagasse,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Bagasse,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Bagasse,Maximum Imports,Gigajoule,,
Resources\Primary\Bagasse,Maximum Production,Terawatt-hour,,
Resources\Primary\Bagasse,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Bagasse,Minimum Production,Gigajoule,,
Resources\Primary\Bagasse,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Bagasse,Production Cost,U.S. Dollar,,Metric Tonne
Resources\Primary\Bagasse,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Bagasse,Unmet Requirements,Percent,,
Resources\Primary\Biomass,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Biomass,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Biomass,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Biomass,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Biomass,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Biomass,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Maximum Imports,Gigajoule,,
Resources\Primary\Biomass,Maximum Production,Terawatt-hour,,
Resources\Primary\Biomass,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Biomass,Minimum Production,Gigajoule,,
Resources\Primary\Biomass,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Production Cost,U.S. Dollar,,Metric Tonne
Resources\Primary\Biomass,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Biomass,Unmet Requirements,Percent,,
Resources\Primary\Coal Anthracite,Additions to Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Anthracite,Base Year Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Anthracite,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Anthracite,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Anthracite,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Anthracite,Export Load Shape,Percent,,
Resources\Primary\Coal Anthracite,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Anthracite,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Coal Anthracite,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Anthracite,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Anthracite,Maximum Imports,Gigajoule,,
Resources\Primary\Coal Anthracite,Maximum Production,Gigajoule,,
Resources\Primary\Coal Anthracite,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Anthracite,Minimum Production,Gigajoule,,
Resources\Primary\Coal Anthracite,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Anthracite,Production Cost,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Anthracite,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Anthracite,Unmet Requirements,Percent,,
Resources\Primary\Coal Bituminous,Additions to Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Bituminous,Base Year Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Bituminous,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Bituminous,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Bituminous,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Bituminous,Export Load Shape,Percent,,
Resources\Primary\Coal Bituminous,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Bituminous,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Coal Bituminous,Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Bituminous,Industrial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Bituminous,Maximum Imports,Gigajoule,,
Resources\Primary\Coal Bituminous,Maximum Production,Gigajoule,,
Resources\Primary\Coal Bituminous,Minimum Imports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Bituminous,Minimum Production,Gigajoule,,
Resources\Primary\Coal Bituminous,Other Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Bituminous,Production Cost,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Bituminous,Residential Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Bituminous,Unmet Requirements,Percent,,
Resources\Primary\Coal Lignite,Additions to Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Lignite,Base Year Reserves,Metric Tonne,Thousand,
Resources\Primary\Coal Lignite,Commercial Consumer Price,2011 USD / GJ,,
Resources\Primary\Coal Lignite,Cost of Unmet Requirements,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Lignite,Export Benefit,U.S. Dollar,,Metric Tonne
Resources\Primary\Coal Lignite,Export Load Shape,Percent,,
Resources\Primary\Coal Lignite,Exports,Tonnes of Oil Equivalent,Thousand,
Resources\Primary\Coal Lignite,Import Cost,2020 USD,,Metric Tonne
Resources\Primary\Coal Lignite,Imports,Tonnes of Oil Equivalent,Thousand,
