branch_path,variable,units,scale,per
Key\Annual EI Reduction\Chemical,Activity Level,%,,
Key\Annual EI Reduction\Commercial,Activity Level,%,,
Key\Annual EI Reduction\EI Improvement_RAS,Activity Level,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Factor,,
Key\Annual EI Reduction\Food and Beverages,Activity Level,%,,
Key\Annual EI Reduction\FuelEco,Activity Level,%,,
Key\Annual EI Reduction\Industry,Activity Level,%,,
Key\Annual EI Reduction\Iron and Steel,Activity Level,%,,
Key\Annual EI Reduction\Mining,Activity Level,%,,
Key\Annual EI Reduction\Non Metallic Mineral,Activity Level,%,,
Key\Annual EI Reduction\Pulp Paper,Activity Level,%,,
Key\Annual EI Reduction\Residential,Activity Level,Factor,,
Key\Annual EI Reduction\Textile,Activity Level,%,,
Key\Biofuel Blending Targets\Biodiesel,Activity Level,Volume %,,
Key\Biofuel Blending Targets\Bioethanol,Activity Level,Volume %,,
Key\Cal\Commercial\Biodiesel,Activity Level,Factor,,
Key\Cal\Commercial\Biomass,Activity Level,Factor,,
Key\Cal\Commercial\Charcoal,Activity Level,Factor,,
Key\Cal\Commercial\Coal,Activity Level,Factor,,
Key\Cal\Commercial\Diesel,Activity Level,Factor,,
Key\Cal\Commercial\Electricity,Activity Level,Factor,,
Key\Cal\Commercial\Heat,Activity Level,Factor,,
Key\Cal\Commercial\Kerosene,Activity Level,Factor,,
Key\Cal\Commercial\LPG,Activity Level,Factor,,
Key\Cal\Commercial\Natural Gas,Activity Level,Factor,,
Key\Cal\Commercial\Residual Fuel Oil,Activity Level,Factor,,
Key\Cal\Commercial\Solar,Activity Level,Factor,,
Key\Cal\Commercial\Wood,Activity Level,Factor,,
Key\Cal\Industry\Bagasse,Activity Level,Fraction,,
Key\Cal\Industry\Biodiesel,Activity Level,Fraction,,
Key\Cal\Industry\Biogas,Activity Level,Fraction,,
Key\Cal\Industry\Bitumen,Activity Level,Fraction,,
Key\Cal\Industry\Charcoal,Activity Level,Fraction,,
Key\Cal\Industry\Coal Anthracite,Activity Level,Fraction,,
Key\Cal\Industry\Coal Bituminous,Activity Level,Fraction,,
Key\Cal\Industry\Coal Lignite,Activity Level,Fraction,,
Key\Cal\Industry\Coal Sub bituminous,Activity Level,Fraction,,
Key\Cal\Industry\Coal Unspecified,Activity Level,Fraction,,
Key\Cal\Industry\Diesel,Activity Level,Fraction,,
Key\Cal\Industry\Electricity,Activity Level,Fraction,,
Key\Cal\Industry\Ethanol,Activity Level,Fraction,,
Key\Cal\Industry\Gasoline,Activity Level,Fraction,,
Key\Cal\Industry\Hard Coal Briquettes,Activity Level,Fraction,,
Key\Cal\Industry\Kerosene,Activity Level,Fraction,,
Key\Cal\Industry\LPG,Activity Level,Fraction,,
Key\Cal\Industry\Metalurgical Coke,Activity Level,Fraction,,
Key\Cal\Industry\Municipal Solid Waste,Activity Level,Fraction,,
Key\Cal\Industry\Natural Gas,Activity Level,Fraction,,
Key\Cal\Industry\Oil,Activity Level,Fraction,,
Key\Cal\Industry\Other Biomass,Activity Level,Fraction,,
Key\Cal\Industry\Petroleum Coke,Activity Level,Fraction,,
Key\Cal\Industry\Refinery Gas,Activity Level,Fraction,,
Key\Cal\Industry\Residual Fuel Oil,Activity Level,Fraction,,
Key\Cal\Industry\Solar Heating,Activity Level,Fraction,,
Key\Cal\Industry\Wood,Activity Level,Fraction,,
Key\Cal\Residential\Bagasse,Activity Level,Factor,,
Key\Cal\Residential\Biogas,Activity Level,Factor,,
Key\Cal\Residential\Biomass,Activity Level,Factor,,
Key\Cal\Residential\Charcoal,Activity Level,Factor,,
Key\Cal\Residential\Coal,Activity Level,Factor,,
Key\Cal\Residential\Cook and Light Non Elec,Activity Level,Factor,,
Key\Cal\Residential\Diesel,Activity Level,Factor,,
Key\Cal\Residential\Electricity,Activity Level,Factor,,
Key\Cal\Residential\Kerosene,Activity Level,Factor,,
Key\Cal\Residential\LPG,Activity Level,Factor,,
Key\Cal\Residential\Natural Gas,Activity Level,Factor,,
Key\Cal\Residential\Solar,Activity Level,Factor,,
Key\Cal\Residential\Wood,Activity Level,Factor,,
Key\Cal\Transformation\Biogas_eff,Activity Level,Factor,,
Key\Cal\Transformation\Coal_sub_eff,Activity Level,factor,,
Key\Cal\Transformation\Gas processing,Activity Level,Factor,,
Key\Cal\Transformation\Geothermal,Activity Level,Factor,,
Key\Cal\Transformation\Hydropower,Activity Level,Factor,,
Key\Cal\Transformation\LNG_regas,Activity Level,factor,,
Key\Cal\Transformation\Natgas_losses,Activity Level,Factor,,
Key\Cal\Transformation\Ngas_cc,Activity Level,Factor,,
Key\Cal\Transformation\Oil refining,Activity Level,Factor,,
Key\Cal\Transformation\biomass_eff,Activity Level,Factor,,
Key\Cal\Transformation\domestic_biogas,Activity Level,factor,,
Key\Cal\Transformation\oil_eff,Activity Level,factor,,
Key\Cal\Transformation\waste_eff,Activity Level,factor,,
Key\Cal\Transport\Biodiesel,Activity Level,Factor,,
Key\Cal\Transport\CNG,Activity Level,Factor,,
Key\Cal\Transport\Diesel,Activity Level,Factor,,
Key\Cal\Transport\Electricity,Activity Level,Factor,,
Key\Cal\Transport\Ethanol,Activity Level,Factor,,
Key\Cal\Transport\Gasoline,Activity Level,Factor,,
Key\Cal\Transport\LPG,Activity Level,Factor,,
Key\Cal\Transport\Natural Gas,Activity Level,Factor,,
Key\Cal\Transport\Other Oil,Activity Level,Factor,,
Key\Cal\Transport\Pandemic Correction,Activity Level,Factor,,
Key\Capacity Additions Multiplier\Biomass,Activity Level,factor,,
Key\Capacity Additions Multiplier\Biomass_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction,Activity Level,Percent,,
Key\Capacity Additions Multiplier\Geothermal,Activity Level,factor,,
Key\Capacity Additions Multiplier\Geothermal_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Hydro,Activity Level,factor,,
Key\Capacity Additions Multiplier\Hydro_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Solar,Activity Level,factor,,
Key\Capacity Additions Multiplier\Solar_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Wind,Activity Level,factor,,
Key\Capacity Additions Multiplier\Wind_EndYear,Activity Level,factor,,
Key\Commercial\Average Energy Intensity,Activity Level,kWh/m2,,
Key\Commercial\Commercial Energy Consumption,Activity Level,kWh,Thousand,
Key\Commercial\Energy consumption per area\Hospital,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Hotel,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Office,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Others,Activity Level,kWh/sqm,,
Key\Commercial\Energy consumption per area\Retailer,Activity Level,kWh/sqm,,
Key\Commercial\Gross Floor_Area,Activity Level,m2,Thousand,
Key\Commercial\Share_ of Buildings\Hospital,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Hotel,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Office,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Others,Activity Level,as nameplate,,
Key\Commercial\Share_ of Buildings\Retailer,Activity Level,as nameplate,,
Key\Demographic\Average Income,Activity Level,USD Current Price,,
Key\Demographic\Employment Rate,Activity Level,%,,
Key\Demographic\Household Size,Activity Level,people/HH,,
Key\Demographic\Households,Activity Level,household,Thousand,
Key\Demographic\Population,Activity Level,persons,Thousand,
Key\Demographic\Poverty Rate,Activity Level,%,,
Key\Demographic\Urban population,Activity Level,persons,Thousand,
Key\Demographic\Urbanization Rate,Activity Level,%,,
Key\Emission Externality Costs\Ammonia,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Black Carbon,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Carbon Dioxide,Activity Level,2020 USD/t,,
Key\Emission Externality Costs\Carbon Monoxide,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Methane,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Nitrogen Oxides,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Nitrous Oxide,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Organic Carbon,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Sulfur Dioxide,Activity Level,2020 USD/kg,,
Key\End_cap multip\RE_Fraction,Activity Level,Fraction,,
Key\End_cap multip\Total_,Activity Level,MW,,
Key\Energy Access\Clean Cooking Access,Activity Level,%,,
Key\Energy Access\Electrification Rate,Activity Level,%,,
Key\Industry\Appliances_share\Chemical,Activity Level,Fraction,,
Key\Industry\Appliances_share\Construction,Activity Level,Fraction,,
Key\Industry\Appliances_share\Food Beverages and Tobacco,Activity Level,Fraction,,
Key\Industry\Appliances_share\Iron and Steel,Activity Level,Fraction,,
Key\Industry\Appliances_share\Non Metallic Minerals,Activity Level,Fraction,,
Key\Industry\Appliances_share\Other Industry,Activity Level,Fraction,,
Key\Industry\Appliances_share\Pulp and Paper,Activity Level,Fraction,,
Key\Industry\Appliances_share\Textile and Leather,Activity Level,Fraction,,
Key\Industry\Cal\Cement,Activity Level,Fraction,,
Key\Industry\Cal\Electricity,Activity Level,Fraction,,
Key\Industry\Cal\Iron and Steel,Activity Level,Fraction,,
Key\Industry\Cal\Liquid FF,Activity Level,Fraction,,
Key\Industry\Cal\Others,Activity Level,Fraction,,
Key\Industry\Cal\Total_,Activity Level,Fraction,,
Key\Industry\Cement RAS Measures\CCS Adoption,Activity Level,Share,%,
Key\Industry\Cement RAS Measures\Clinker Fraction,Activity Level,Fraction,,
Key\Industry\Intensity\Cement\Cement Kiln CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Cement Kiln CCS\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Cement Kiln Conventional\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Cement Kiln Conventional\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Biomass CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Biomass CCS\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Gas CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Cement\Oxyfuel Gas CCS\Heat,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Chemical\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Chemical\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Construction\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Food Beverages and Tobacco\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Iron and Steel\Casting\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Casting\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Coal Bituminous,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Metalurgical Coke,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Residual Fuel Oil,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF CCS\Scrap,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Coal Bituminous,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Metalurgical Coke,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Residual Fuel Oil,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\BOF\BF\Scrap,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Hydrogen,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI H2\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI\Iron Ore,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\DRI\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\Scrap\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Crude Steel\EAF\Scrap\Scrap,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Hot Rolling\Electricity,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Hot Rolling\Natural Gas,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Iron and Steel\Hot Rolling\Residual Fuel Oil,Activity Level,GJ/Metric Tonne,,
Key\Industry\Intensity\Mining\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Mining\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Non Metallic Minerals\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Other Industry\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Other Industry\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Other Industry\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Other Industry\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Other Industry\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Other Industry\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Pulp and Paper\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Pulp and Paper\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Pulp and Paper\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Pulp and Paper\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Pulp and Paper\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Pulp and Paper\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Textile and Leather\Direct Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Textile and Leather\Direct Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Textile and Leather\Direct Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Intensity\Textile and Leather\Indirect Process Heating\Electricity,Activity Level,GJ/USD,,
Key\Industry\Intensity\Textile and Leather\Indirect Process Heating\Liquid FF,Activity Level,GJ/USD,,
Key\Industry\Intensity\Textile and Leather\Indirect Process Heating\Others,Activity Level,GJ/USD,,
Key\Industry\Steel RAS Measures\BOF\BOF_share,Activity Level,Share,%,
Key\Industry\Steel RAS Measures\BOF\CCS_uptake_share,Activity Level,Share,%,
Key\Industry\Steel RAS Measures\EAF\Hydrogen Adoption Rate,Activity Level,Share,%,
Key\Industry\Steel RAS Measures\EAF\Scrap_share,Activity Level,Share,%,
Key\Industry\Subsector_share\Chemical,Activity Level,Share,%,
