Branch Path,Variable,Region,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Existing Capacity,Indonesia,MW,1068.391948,1223.993647,1316.478037,1347.160062,1380.03366,1422.495392,1792.59732,1841.469403,2286.745581,2428.288337,2661.197782,2672.429595,2563.724275,3087.726146,3432.898929,4032.834011,3981.428399,4405.624248,5141.467854,5614.98757
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Existing Capacity,Indonesia,MW,7481.571872,8571.195673,9218.831228,9433.686626,9663.888837,9961.23336,12552.92659,12895.16055,16013.27252,17004.44651,18635.42918,18714.0816,17952.8566,21622.25683,24039.38005,24150.62428,24125.31673,28447.55458,33198.97004,36256.53401
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Existing Capacity,Indonesia,MW,366.7123423,420.1207039,451.8648287,462.396055,473.6795117,488.2539765,615.2868931,632.061632,784.8971811,833.4799845,913.4232751,917.2784561,879.9666977,1059.823869,1178.300164,2164.723311,2431.773647,2343.71034,2735.165483,2987.069184
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Existing Capacity,Indonesia,MW,833.3238377,954.6899761,1026.825906,1050.757257,1076.397991,1109.517272,1398.189196,1436.30842,1783.614719,1894.01517,2075.679767,2084.440351,1999.652428,2408.363155,2677.590857,2910.688399,3088.851228,7438.380834,8680.766628,9480.24924
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Existing Capacity,Indonesia,MW,867.1634591,959.8952137,964.9077409,1003.754827,1003.754827,951.1671505,1062.777336,1185.601798,1234.611783,1271.441328,1271.441328,1271.441328,1271.441328,1406.026432,1462.29205,1503.081009,1486.043181,1581.699662,1896.6758,2219.284324
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Existing Capacity,Indonesia,MW,5834.190965,6458.081143,6491.804936,6753.164335,6753.164335,6399.359587,7150.262002,7976.612974,8306.347364,8554.132936,8554.132936,8554.132936,8554.132936,9459.608357,9838.157938,10314.95253,10373.65996,11037.16393,13235.0801,15486.25537
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Existing Capacity,Indonesia,MW,34.97849218,38.71898299,38.92117168,40.48813405,40.48813405,38.36692193,42.86890591,47.82323654,49.80013648,51.2857179,51.2857179,51.2857179,51.2857179,56.71443375,58.98400182,99.49266955,98.36489338,127.410098,152.7822603,178.7692315
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Existing Capacity,Indonesia,MW,183.6370839,203.2746607,204.3361513,212.5627038,212.5627038,201.4263401,225.061756,251.0719918,261.4507165,269.250019,269.250019,269.250019,269.250019,297.7507772,309.6660096,318.3037874,453.0419648,651.4863131,781.2218423,914.1010753
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDSA,Existing Capacity,Indonesia,MW,798.5254245,799.4529388,829.6564123,790.6982341,807.9371185,984.600257,1091.380344,1119.154245,1130.817738,1110.569585,1110.569585,1138.9103,1138.9103,1377.987424,1377.99,1377.99,1377.99,1008.09,1007.302845,1012.819716
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDJW,Existing Capacity,Indonesia,MW,1889.378178,1891.572754,1963.036708,1870.858388,1911.647036,2329.646849,2582.297497,2648.012879,2675.609681,2627.700852,2627.700852,2694.757363,2694.757363,3260.433904,3260.44,3260.44,3260.44,2690.04,2687.939514,2702.661021
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDKA,Existing Capacity,Indonesia,MW,212.8450775,213.0923043,221.1429693,210.7587583,215.3537425,262.4428874,290.9048689,298.3079371,301.4168137,296.019716,296.019716,303.5738672,303.5738672,367.2993133,367.3,367.3,367.3,415.9,415.5752495,417.8513029
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDEast,Existing Capacity,Indonesia,MW,198.6013204,198.8320025,206.3439108,196.6546193,200.9421035,244.8800064,271.4372901,278.3449393,281.2457674,276.2098477,276.2098477,283.2584693,283.2584693,342.7193592,342.72,342.72,342.72,342.72,342.4523912,344.3279599
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDSA,Existing Capacity,Indonesia,MW,1.625746015,11.3802221,17.88320616,36.22162121,38.47598902,50.31142001,91.87632646,107.7002543,242.8431014,330.9693737,443.6877641,1004.028224,1304.373962,1277.652117,1540.155906,1480.962352,1545.670208,1330.391298,1202.060161,1291.67875
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDJW,Existing Capacity,Indonesia,MW,0.267772154,1.874405077,2.945493692,5.965963587,6.337274307,8.286655587,15.13269699,17.73901262,39.99801919,54.51305507,73.07859107,165.3707268,214.839847,210.4385654,253.6748425,204.5037747,213.4391813,245.6961835,221.9960356,238.5467641
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDKA,Existing Capacity,Indonesia,MW,0.499307497,3.495152477,5.492382463,11.12457103,11.81694409,15.45190266,28.21753099,33.0774573,74.58322513,101.6490202,136.2676733,308.3623238,400.6060551,392.3991042,473.0206213,389.9005291,436.3826135,555.0369256,501.4973995,538.8861181
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDEast,Existing Capacity,Indonesia,MW,0.607174335,4.250220342,6.67891768,13.52784417,14.36979258,18.79002174,34.31344556,40.22327575,90.69565427,123.608551,165.7059716,374.9787255,487.150136,477.1702139,575.2086298,1102.543344,1023.377998,845.3055928,763.7664036,820.7083681
Transformation\Centralized Electricity Generation\Processes\Diesel_IDSA,Existing Capacity,Indonesia,MW,838.5988109,827.350679,839.5999809,855.5638064,851.2193037,1194.578788,1430.373928,1561.506286,1551.421393,1622.520147,1640.243209,1640.243209,1641.288817,1210.52693,1249.488911,1310.55,1331.61,1059.92,1129.616426,1417.230473
Transformation\Centralized Electricity Generation\Processes\Diesel_IDJW,Existing Capacity,Indonesia,MW,125.8584037,124.170264,126.008661,128.4045404,127.7525097,179.2845129,214.6730676,234.3536455,232.8400868,243.5107145,246.1706231,246.1706231,246.3275499,181.6780384,187.525522,311.16,311.16,272.25,290.1521548,364.0284137
Transformation\Centralized Electricity Generation\Processes\Diesel_IDKA,Existing Capacity,Indonesia,MW,819.6937259,808.6991681,820.6723259,836.2762684,832.0297066,1167.648613,1398.128067,1526.304222,1516.446679,1585.942607,1603.266126,1603.266126,1604.288163,1183.237225,1221.32086,1184.58,1196.6,930.09,991.2492844,1243.633378
Transformation\Centralized Electricity Generation\Processes\Diesel_IDEast,Existing Capacity,Indonesia,MW,1423.92906,1404.829889,1425.629032,1452.735385,1445.35848,2028.378086,2428.754937,2651.415847,2634.291841,2755.016531,2785.110042,2785.110042,2786.88547,2055.457807,2121.614707,2057.3,2147.27,2089.87,2227.292135,2794.387735
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Existing Capacity,Indonesia,MW,1097.853891,1197.068026,1189.159863,1190.093264,1191.428994,1201.805843,1269.561131,1334.57415,1662.616474,1683.144869,1693.219167,1732.389841,1754.196029,1737.925877,1789.102024,1823.02,1823.02,1823.02,1707.769807,1840.825028
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Existing Capacity,Indonesia,MW,1651.097244,1800.308524,1788.415187,1789.818959,1791.827805,1807.433877,1909.333201,2007.10834,2500.461583,2531.334886,2546.485942,2605.395959,2638.190977,2613.721779,2690.687209,2647.53,2647.53,2647.53,2480.154797,2673.387833
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Existing Capacity,Indonesia,MW,166.5834646,181.637776,180.4378265,180.5794567,180.7821344,182.3566713,192.6375572,202.5023435,252.2780261,255.3929134,256.9215425,262.8651263,266.1739004,263.7051398,271.4703807,262.24,262.24,262.24,245.66135,264.8012394
