[run] Active area:     'aeo9_v0.38_yy'
[run] Active scenario: 'AMS Target Scenario'
[run] 1364 rows queued from ats_combined_canonical.csv

=== Group 'Other': 963 rows ===
  (blind mode — direct Branches(FullName) lookup)
  [region='Brunei'] 107 rows
     [OK]  Transformation\Centralized Electricity Generation\Processes\Coal Supercritical . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Coal IGCC . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Fuel Oil . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Gas Steam . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Nuclear LWR . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Nuclear SMR . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Nuclear SFR . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Geothermal ORC . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Solar CSP . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
     [OK]  Transformation\Centralized Electricity Generation\Processes\Solar Floating . 'Exogenous Capacity' = Existing Capacity[MW] + Capacity Additions[MW] - Capacity...
