ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,unit_audit
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Exogenous Capacity,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Megawatt,,ats_exo_formula.csv,Formula on Exogenous Capacity (ATS standardisation: PDP = E + Add - Ret),ats_exo_formula.csv,power_exogenous_capacity,High,passthrough — input unit preserved (no conversion)
