ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Historical Production,"Interp(2005, 6695.56419, 2006, 7491.916536, 2007, 8170.229641, 2008, 7995.425955, 2009, 8339.092861, 2010, 8403.777925, 2011, 9770.414918, 2012, 11171.59462, 2013, 12198.63502, 2014, 13098.8355, 2015, 14236.87459, 2016, 14157.55838, 2017, 14800.33871, 2018, 12104.79767, 2019, 13148.23236, 2020, 13003.46712, 2021, 12944.8627, 2022, 13482.61598, 2023, 13166.14434, 2024, 13415.63534, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Historical Production,"Interp(2005, 44451.57255, 2006, 49738.52269, 2007, 54241.81522, 2008, 53081.30081, 2009, 55362.89112, 2010, 55792.33258, 2011, 64865.37881, 2012, 74167.75262, 2013, 80986.23121, 2014, 86962.62478, 2015, 94518.01907, 2016, 93991.44205, 2017, 98258.83391, 2018, 80363.24897, 2019, 87290.56851, 2020, 82725.21826, 2021, 83671.55073, 2022, 85556.54631, 2023, 83548.31434, 2024, 85131.50773, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Historical Production,"Interp(2005, 2809.593084, 2006, 3143.758507, 2007, 3428.392296, 2008, 3355.041162, 2009, 3499.250692, 2010, 3526.393843, 2011, 4099.862147, 2012, 4687.825263, 2013, 5118.792026, 2014, 5496.534208, 2015, 5974.078248, 2016, 5940.795575, 2017, 6210.519096, 2018, 5079.415992, 2019, 5517.262123, 2020, 4973.359359, 2021, 5247.772198, 2022, 5440.353815, 2023, 5312.654732, 2024, 5413.32654, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Historical Production,"Interp(2005, 6907.27018, 2006, 7728.802265, 2007, 8428.562845, 2008, 8248.232069, 2009, 8602.765325, 2010, 8669.495656, 2011, 10079.34413, 2012, 11524.82751, 2013, 12584.34174, 2014, 13513.00551, 2015, 14687.02809, 2016, 14605.20399, 2017, 15268.30828, 2018, 12487.53737, 2019, 13563.96425, 2020, 12632.92958, 2021, 11897.78162, 2022, 10248.4439, 2023, 10007.88659, 2024, 10197.53039, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Historical Production,"Interp(2005, 4135.531404, 2006, 4122.820981, 2007, 4169.996202, 2008, 4805.761743, 2009, 4783.64072, 2010, 5294.868566, 2011, 5449.471297, 2012, 4777.163293, 2013, 5063.514439, 2014, 5350.721094, 2015, 5456.437586, 2016, 5891.769546, 2017, 5398.629609, 2018, 5372.964333, 2019, 5274.095581, 2020, 2995.883725, 2021, 2816.04704, 2022, 7350.762224, 2023, 8332.799908, 2024, 9113.462549, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Historical Production,"Interp(2005, 28744.75644, 2006, 28656.41036, 2007, 28984.31023, 2008, 33403.31321, 2009, 33249.55706, 2010, 36802.93835, 2011, 37877.5325, 2012, 33204.53453, 2013, 35194.86979, 2014, 37191.15141, 2015, 37925.95295, 2016, 40951.8062, 2017, 37524.14818, 2018, 37345.75705, 2019, 36658.55197, 2020, 30087.90471, 2021, 33310.38127, 2022, 29013.16765, 2023, 32889.23153, 2024, 35970.47608, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Historical Production,"Interp(2005, 173.659765, 2006, 173.126027, 2007, 175.107015, 2008, 201.804163, 2009, 200.875255, 2010, 222.3428, 2011, 228.834898, 2012, 200.603254, 2013, 212.627748, 2014, 224.688166, 2015, 229.127427, 2016, 247.407942, 2017, 226.699947, 2018, 225.622207, 2019, 221.470498, 2020, 308.917526, 2021, 331.819906, 2022, 289.0134, 2023, 327.624641, 2024, 358.318324, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Historical Production,"Interp(2005, 784.052396, 2006, 781.642636, 2007, 790.586552, 2008, 911.120879, 2009, 906.92697, 2010, 1003.850286, 2011, 1033.161306, 2012, 905.698919, 2013, 959.988025, 2014, 1014.439327, 2015, 1034.48204, 2016, 1117.01631, 2017, 1023.522267, 2018, 1018.656406, 2019, 999.911951, 2020, 750.334038, 2021, 1516.721783, 2022, 1821.05673, 2023, 2064.343926, 2024, 2257.743048, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDSA,Historical Production,"Interp(2005, 1459.364226, 2006, 1324.170472, 2007, 1516.263954, 2008, 1583.405633, 2009, 2354.05555, 2010, 2477.186562, 2011, 2654.713714, 2012, 2276.216722, 2013, 2386.829794, 2014, 2438.039549, 2015, 1820.108502, 2016, 1482.124117, 2017, 1620.276657, 2018, 2266.20237, 2019, 2081.155351, 2020, 1516.568622, 2021, 1761.718281, 2022, 1602.452572, 2023, 1298.606478, 2024, 1622.953031, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDJW,Historical Production,"Interp(2005, 4131.998296, 2006, 3749.214923, 2007, 4293.10241, 2008, 4483.205263, 2009, 6665.199373, 2010, 7013.828674, 2011, 7516.473507, 2012, 6444.808946, 2013, 6757.995342, 2014, 6902.989044, 2015, 5153.398374, 2016, 4196.439942, 2017, 4587.600729, 2018, 6416.454622, 2019, 5892.518269, 2020, 4137.48576, 2021, 4434.455427, 2022, 4033.564606, 2023, 3268.74768, 2024, 4085.166711, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDKA,Historical Production,"Interp(2005, 437.742266, 2006, 397.190346, 2007, 454.809572, 2008, 474.948993, 2009, 706.108586, 2010, 743.042236, 2011, 796.292231, 2012, 682.760511, 2013, 715.939354, 2014, 731.29993, 2015, 545.948986, 2016, 444.569188, 2017, 486.008607, 2018, 679.756666, 2019, 624.251056, 2020, 444.89361, 2021, 546.272597, 2022, 496.887577, 2023, 402.671154, 2024, 503.244347, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDEast,Historical Production,"Interp(2005, 382.895212, 2006, 347.424258, 2007, 397.824065, 2008, 415.440111, 2009, 617.636491, 2010, 649.942528, 2011, 696.520548, 2012, 597.21382, 2013, 626.23551, 2014, 639.671477, 2015, 477.544138, 2016, 388.866753, 2017, 425.114007, 2018, 594.586342, 2019, 546.035325, 2020, 396.062008, 2021, 469.543696, 2022, 433.095246, 2023, 350.974689, 2024, 438.63591, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDSA,Historical Production,"Interp(2005, 0, 2006, 0, 2007, 53.018333, 2008, 0, 2009, 0, 2010, 32.424435, 2011, 21.032066, 2012, 24.099242, 2013, 167.380192, 2014, 22.34657, 2015, 540.261196, 2016, 1073.949871, 2017, 35.929779, 2018, 86.93254, 2019, 2811.905887, 2020, 3588.57741, 2021, 3679.447495, 2022, 2125.899659, 2023, 2025.367087, 2024, 2114.487173, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDJW,Historical Production,"Interp(2005, 0, 2006, 0, 2007, 11.429856, 2008, 0, 2009, 0, 2010, 6.99016, 2011, 4.534158, 2012, 5.195389, 2013, 36.084339, 2014, 4.817543, 2015, 116.471178, 2016, 231.525432, 2017, 7.745853, 2018, 18.741186, 2019, 606.199362, 2020, 871.833896, 2021, 807.51705, 2022, 466.564674, 2023, 444.501099, 2024, 464.060011, FirstScenarioYear, 0)",Gigawatt-Hour,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_historical_production,High
