ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,AMS Target Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,Baseline Simulation
Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,AMS Target Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,Baseline Simulation
Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,AMS Target Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,Baseline Simulation
Laos,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,AMS Target Scenario
Laos,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,Baseline Simulation
Malaysia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,AMS Target Scenario
Malaysia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,FullCapacity,,,user directive 2026-07-07 (full dispatch in ATS/BAS),was MeritOrderDispatch,dispatch_rule_fullcapacity_delta,,Baseline Simulation
