branch_path,variable,scenario,region,expression,units,scale,per,source
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Brunei,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Brunei,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Brunei,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Brunei,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Brunei,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Brunei,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Brunei,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Brunei,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Brunei,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Brunei,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Brunei,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Brunei,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Brunei,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Brunei,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Brunei,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Brunei,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Cambodia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Cambodia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Cambodia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Cambodia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Cambodia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Cambodia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Cambodia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Cambodia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Cambodia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Cambodia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Cambodia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Cambodia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Cambodia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Cambodia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Cambodia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Cambodia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Indonesia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
