region,technology,year,total_capacity_GW
Brunei,Coal IGCC,2025,0.254
Brunei,Coal IGCC,2030,0.254
Brunei,Coal IGCC,2040,0.254
Brunei,Coal IGCC,2050,0.254
Brunei,Coal IGCC,2060,0.254
Brunei,Diesel,2025,1000000000000.0
Brunei,Diesel,2025,0.015
Brunei,Diesel,2030,1000000000000.0
Brunei,Diesel,2030,0.015
Brunei,Diesel,2040,1000000000000.0
Brunei,Diesel,2050,1000000000000.0
Brunei,Diesel,2060,1000000000000.0
Brunei,Gas Combined Cycle,2025,0.366
Brunei,Gas Combined Cycle,2030,0.521
Brunei,Gas Combined Cycle,2040,0.748
Brunei,Gas Combined Cycle,2050,1.566
Brunei,Gas Combined Cycle,2060,2.341
Brunei,Gas Turbine,2025,0.669
Brunei,Gas Turbine,2030,0.669
Brunei,Gas Turbine,2040,0.669
Brunei,Gas Turbine,2050,0.669
Brunei,Gas Turbine,2060,0.669
Brunei,Lithium Ion Batteries,2050,0.067
Brunei,Lithium Ion Batteries,2060,0.047
Brunei,Solar PV,2025,0.007
Brunei,Solar PV,2030,0.447
Brunei,Solar PV,2040,0.927
Brunei,Solar PV,2050,1.007
Brunei,Solar PV,2060,1.007
Cambodia,Biomass Other,2025,0.049
Cambodia,Biomass Other,2030,0.449
Cambodia,Biomass Other,2040,0.449
Cambodia,Biomass Other,2050,1.787
Cambodia,Biomass Other,2060,1.787
Cambodia,Coal Subcritical,2025,1.3
Cambodia,Coal Subcritical,2030,1.3
Cambodia,Coal Subcritical,2040,1.3
Cambodia,Coal Subcritical,2050,1.3
Cambodia,Coal Subcritical,2060,1.3
Cambodia,Diesel,2025,1000000000000.0
Cambodia,Diesel,2030,1000000000000.0
Cambodia,Diesel,2040,1000000000000.0
Cambodia,Diesel,2050,1000000000000.0
Cambodia,Diesel,2060,1000000000000.0
Cambodia,Fuel Oil,2025,0.4
Cambodia,Fuel Oil,2030,0.4
Cambodia,Gas Combined Cycle,2030,0.8
Cambodia,Gas Combined Cycle,2040,2.151
Cambodia,Gas Combined Cycle,2050,4.151
Cambodia,Gas Combined Cycle,2060,5.582
Cambodia,Gas Combined Cycle with CCS,2050,0.452
Cambodia,Gas Combined Cycle with CCS,2060,0.452
Cambodia,Large Hydro,2025,1.796
Cambodia,Large Hydro,2030,2.679
Cambodia,Large Hydro,2040,2.977
Cambodia,Large Hydro,2050,2.977
Cambodia,Large Hydro,2060,2.977
Cambodia,Lithium Ion Batteries,2025,0.75
Cambodia,Lithium Ion Batteries,2030,1.0
Cambodia,Lithium Ion Batteries,2040,1.0
Cambodia,Lithium Ion Batteries,2050,1.0
Cambodia,Lithium Ion Batteries,2060,1.0
Cambodia,Pumped Hydro,2030,1.0
Cambodia,Pumped Hydro,2040,3.125
Cambodia,Pumped Hydro,2050,3.125
Cambodia,Pumped Hydro,2060,3.125
Cambodia,Solar PV,2025,1.716
Cambodia,Solar PV,2030,4.766
Cambodia,Solar PV,2040,9.566
Cambodia,Solar PV,2050,9.566
Cambodia,Solar PV,2060,9.566
Cambodia,Wind Onshore,2030,0.55
Cambodia,Wind Onshore,2040,3.349
Cambodia,Wind Onshore,2050,3.349
Cambodia,Wind Onshore,2060,3.349
Indonesia,Biogas_IDJW,2025,0.006
Indonesia,Biogas_IDJW,2030,0.027
Indonesia,Biogas_IDJW,2040,0.068
Indonesia,Biogas_IDJW,2050,0.105
Indonesia,Biogas_IDJW,2060,0.126
Indonesia,Biogas_IDKA,2025,0.124
Indonesia,Biogas_IDKA,2030,0.535
Indonesia,Biogas_IDKA,2040,1.351
Indonesia,Biogas_IDKA,2050,2.084
Indonesia,Biogas_IDKA,2060,2.491
Indonesia,Biogas_IDSA,2025,0.16
Indonesia,Biogas_IDSA,2030,1.245
Indonesia,Biogas_IDSA,2040,3.4
Indonesia,Biogas_IDSA,2050,3.4
Indonesia,Biogas_IDSA,2060,3.4
Indonesia,Biomass Gasification,2030,0.116
Indonesia,Biomass Gasification,2030,0.265
Indonesia,Biomass Gasification,2040,3.552
Indonesia,Biomass Gasification,2040,3.265
Indonesia,Biomass Gasification,2050,189.899
Indonesia,Biomass Gasification,2050,3.265
Indonesia,Biomass Gasification,2060,342.514
Indonesia,Biomass Gasification,2060,3.265
Indonesia,Biomass Other_IDEast,2025,0.021
Indonesia,Biomass Other_IDEast,2030,0.027
Indonesia,Biomass Other_IDEast,2040,0.028
Indonesia,Biomass Other_IDEast,2050,0.028
Indonesia,Biomass Other_IDEast,2060,0.028
Indonesia,Biomass Other_IDJW,2025,0.171
Indonesia,Biomass Other_IDJW,2030,0.208
Indonesia,Biomass Other_IDJW,2040,0.222
Indonesia,Biomass Other_IDJW,2050,0.222
Indonesia,Biomass Other_IDJW,2060,0.222
Indonesia,Biomass Other_IDKA,2025,0.411
Indonesia,Biomass Other_IDKA,2030,0.427
Indonesia,Biomass Other_IDKA,2040,0.428
Indonesia,Biomass Other_IDKA,2050,0.428
Indonesia,Biomass Other_IDKA,2060,0.428
Indonesia,Biomass Other_IDSA,2025,2.318
Indonesia,Biomass Other_IDSA,2030,2.654
Indonesia,Biomass Other_IDSA,2040,2.712
Indonesia,Biomass Other_IDSA,2050,2.712
