region,technology,year,fixed_om_cost
Brunei,Coal IGCC,2025,17.22
Brunei,Coal IGCC,2030,16.84
Brunei,Coal IGCC,2040,16.59
Brunei,Coal IGCC,2050,16.33
Brunei,Coal IGCC,2060,16.33
Brunei,Diesel,2025,0.14
Brunei,Diesel,2030,0.14
Brunei,Gas Combined Cycle,2025,10.59
Brunei,Gas Combined Cycle,2030,14.84
Brunei,Gas Combined Cycle,2040,21.32
Brunei,Gas Combined Cycle,2050,44.64
Brunei,Gas Combined Cycle,2060,66.72
Brunei,Gas Turbine,2025,17.59
Brunei,Gas Turbine,2030,17.2
Brunei,Gas Turbine,2040,16.94
Brunei,Gas Turbine,2050,16.67
Brunei,Gas Turbine,2060,16.67
Brunei,Lithium Ion Batteries,2050,0.49
Brunei,Lithium Ion Batteries,2060,0.35
Brunei,Solar PV,2025,0.05
Brunei,Solar PV,2030,3.04
Brunei,Solar PV,2040,5.98
Brunei,Solar PV,2050,6.14
Brunei,Solar PV,2060,6.14
Cambodia,Biomass Other,2025,2.24
Cambodia,Biomass Other,2030,19.67
Cambodia,Biomass Other,2040,19.67
Cambodia,Biomass Other,2050,78.29
Cambodia,Biomass Other,2060,78.29
Cambodia,Coal Subcritical,2025,39.0
Cambodia,Coal Subcritical,2030,38.35
Cambodia,Coal Subcritical,2040,38.35
Cambodia,Coal Subcritical,2050,38.35
Cambodia,Coal Subcritical,2060,38.35
Cambodia,Fuel Oil,2025,3.65
Cambodia,Fuel Oil,2030,3.65
Cambodia,Gas Combined Cycle,2030,22.8
Cambodia,Gas Combined Cycle,2040,61.31
Cambodia,Gas Combined Cycle,2050,118.31
Cambodia,Gas Combined Cycle,2060,159.09
Cambodia,Gas Combined Cycle with CCS,2050,17.09
Cambodia,Gas Combined Cycle with CCS,2060,17.09
Cambodia,Large Hydro,2025,66.0
Cambodia,Large Hydro,2030,95.9
Cambodia,Large Hydro,2040,103.29
Cambodia,Large Hydro,2050,100.02
Cambodia,Large Hydro,2060,100.02
Cambodia,Lithium Ion Batteries,2025,10.29
Cambodia,Lithium Ion Batteries,2030,10.5
Cambodia,Lithium Ion Batteries,2040,8.93
Cambodia,Lithium Ion Batteries,2050,7.35
Cambodia,Lithium Ion Batteries,2060,7.35
Cambodia,Pumped Hydro,2030,18.7
Cambodia,Pumped Hydro,2040,58.44
Cambodia,Pumped Hydro,2050,58.44
Cambodia,Pumped Hydro,2060,58.44
Cambodia,Solar PV,2025,12.53
Cambodia,Solar PV,2030,32.41
Cambodia,Solar PV,2040,61.7
Cambodia,Solar PV,2050,58.35
Cambodia,Solar PV,2060,58.35
Cambodia,Wind Onshore,2030,19.8
Cambodia,Wind Onshore,2040,110.52
Cambodia,Wind Onshore,2050,100.47
Cambodia,Wind Onshore,2060,100.47
Indonesia,Biogas_IDJW,2025,0.68
Indonesia,Biogas_IDJW,2030,2.75
Indonesia,Biogas_IDJW,2040,6.49
Indonesia,Biogas_IDJW,2050,9.31
Indonesia,Biogas_IDJW,2060,11.12
Indonesia,Biogas_IDKA,2025,13.41
Indonesia,Biogas_IDKA,2030,54.37
Indonesia,Biogas_IDKA,2040,128.52
Indonesia,Biogas_IDKA,2050,184.43
Indonesia,Biogas_IDKA,2060,220.45
Indonesia,Biogas_IDSA,2025,17.32
Indonesia,Biogas_IDSA,2030,126.62
Indonesia,Biogas_IDSA,2040,323.33
Indonesia,Biogas_IDSA,2050,300.9
Indonesia,Biogas_IDSA,2060,300.9
Indonesia,Biomass Gasification,2030,6.71
Indonesia,Biomass Gasification,2030,31.85
Indonesia,Biomass Gasification,2040,204.96
Indonesia,Biomass Gasification,2040,378.79
Indonesia,Biomass Gasification,2050,10958.16
Indonesia,Biomass Gasification,2050,365.72
Indonesia,Biomass Gasification,2060,19764.84
Indonesia,Biomass Gasification,2060,365.72
Indonesia,Biomass Other_IDEast,2025,1.12
Indonesia,Biomass Other_IDEast,2030,1.36
Indonesia,Biomass Other_IDEast,2040,1.29
Indonesia,Biomass Other_IDEast,2050,1.2
Indonesia,Biomass Other_IDEast,2060,1.2
Indonesia,Biomass Other_IDJW,2025,9.02
Indonesia,Biomass Other_IDJW,2030,10.33
Indonesia,Biomass Other_IDJW,2040,10.33
Indonesia,Biomass Other_IDJW,2050,9.6
Indonesia,Biomass Other_IDJW,2060,9.6
Indonesia,Biomass Other_IDKA,2025,21.71
Indonesia,Biomass Other_IDKA,2030,21.21
Indonesia,Biomass Other_IDKA,2040,19.89
Indonesia,Biomass Other_IDKA,2050,18.5
Indonesia,Biomass Other_IDKA,2060,18.5
Indonesia,Biomass Other_IDSA,2025,122.31
Indonesia,Biomass Other_IDSA,2030,131.89
Indonesia,Biomass Other_IDSA,2040,125.96
Indonesia,Biomass Other_IDSA,2050,117.15
Indonesia,Biomass Other_IDSA,2060,117.15
Indonesia,CAES,2040,50.65
Indonesia,CAES,2050,118.05
Indonesia,CAES,2060,185.45
Indonesia,Coal Subcritical_IDEast,2025,501.52
Indonesia,Coal Subcritical_IDEast,2030,493.51
Indonesia,Coal Subcritical_IDEast,2040,486.65
Indonesia,Coal Subcritical_IDEast,2050,479.49
Indonesia,Coal Subcritical_IDEast,2060,479.49
Indonesia,Coal Subcritical_IDJW,2025,1956.55
Indonesia,Coal Subcritical_IDJW,2030,1912.83
Indonesia,Coal Subcritical_IDJW,2040,1885.09
Indonesia,Coal Subcritical_IDJW,2050,1857.35
Indonesia,Coal Subcritical_IDJW,2060,1857.35
Indonesia,Coal Subcritical_IDKA,2025,152.77
Indonesia,Coal Subcritical_IDKA,2030,149.35
Indonesia,Coal Subcritical_IDKA,2040,159.36
Indonesia,Coal Subcritical_IDKA,2050,157.01
Indonesia,Coal Subcritical_IDKA,2060,157.01
Indonesia,Coal Subcritical_IDSA,2025,406.12
Indonesia,Coal Subcritical_IDSA,2030,400.25
Indonesia,Coal Subcritical_IDSA,2040,406.91
Indonesia,Coal Subcritical_IDSA,2050,400.93
Indonesia,Coal Subcritical_IDSA,2060,400.93
Indonesia,Coal Supercritical,2025,309.19
Indonesia,Coal Supercritical,2030,341.95
Indonesia,Coal Supercritical,2040,437.38
Indonesia,Coal Supercritical,2050,430.06
Indonesia,Coal Supercritical,2060,430.06
Indonesia,Diesel_IDEast,2025,25.48
Indonesia,Diesel_IDEast,2030,25.48
Indonesia,Diesel_IDJW,2025,3.32
Indonesia,Diesel_IDJW,2030,3.32
Indonesia,Diesel_IDKA,2025,11.34
Indonesia,Diesel_IDKA,2030,11.34
Indonesia,Diesel_IDSA,2025,12.93
Indonesia,Diesel_IDSA,2030,12.97
Indonesia,Gas Combined Cycle with CCS,2025,84.73
Indonesia,Gas Combined Cycle with CCS,2030,451.8
Indonesia,Gas Combined Cycle with CCS,2040,1056.0
Indonesia,Gas Combined Cycle with CCS,2050,1474.2
Indonesia,Gas Combined Cycle with CCS,2060,1701.0
Indonesia,Gas Combined Cycle_IDEast,2025,24.29
Indonesia,Gas Combined Cycle_IDEast,2030,27.84
Indonesia,Gas Combined Cycle_IDEast,2040,27.42
Indonesia,Gas Combined Cycle_IDEast,2050,26.99
Indonesia,Gas Combined Cycle_IDEast,2060,26.99
Indonesia,Gas Combined Cycle_IDJW,2025,411.49
Indonesia,Gas Combined Cycle_IDJW,2030,532.19
Indonesia,Gas Combined Cycle_IDJW,2040,524.01
Indonesia,Gas Combined Cycle_IDJW,2050,515.82
Indonesia,Gas Combined Cycle_IDJW,2060,515.82
Indonesia,Gas Combined Cycle_IDKA,2025,4.75
