region,technology,fuel,year,production_PJ
Brunei,Coal IGCC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.72
Brunei,Coal IGCC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.01
Brunei,Coal IGCC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.64
Brunei,Coal IGCC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.63
Brunei,Coal IGCC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.45
Brunei,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,4.23
Brunei,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,6.38
Brunei,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,10.26
Brunei,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,23.62
Brunei,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,37.92
Brunei,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,7.61
Brunei,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,6.7
Brunei,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,5.85
Brunei,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,6.91
Brunei,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,6.13
Brunei,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.18
Brunei,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.12
Brunei,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.23
Brunei,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,1.4
Brunei,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,5.72
Brunei,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,5.72
Cambodia,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.02
Cambodia,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.26
Cambodia,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,1.19
Cambodia,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,7.23
Cambodia,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,6.2
Cambodia,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,17.59
Cambodia,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,10.75
Cambodia,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,11.26
Cambodia,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,13.09
Cambodia,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,11.79
Cambodia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2030,66.27
Cambodia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2040,61.77
Cambodia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2050,56.17
Cambodia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2060,49.15
Cambodia,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,4.29
Cambodia,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,12.42
Cambodia,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,48.69
Cambodia,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,75.81
Cambodia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.17
Cambodia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.17
Cambodia,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,4.2
Cambodia,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,17.45
Cambodia,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,28.0
Cambodia,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,36.29
Cambodia,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,38.71
Cambodia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.98
Cambodia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,2.63
Cambodia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,2.63
Cambodia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,2.63
Cambodia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,2.63
Cambodia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,8.72
Cambodia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,23.2
Cambodia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,23.0
Cambodia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,19.89
Cambodia,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,23.1
Cambodia,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,52.07
Cambodia,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,59.43
Cambodia,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,59.43
Cambodia,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.92
Cambodia,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,11.76
Cambodia,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,11.76
Cambodia,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,11.76
Indonesia,Biogas_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.18
