region,technology,year,new_capacity_GW
Brunei,Gas Combined Cycle,2050,0.818
Brunei,Gas Combined Cycle,2060,0.775
Brunei,Lithium Ion Batteries,2050,0.067
Brunei,Lithium Ion Batteries,2060,0.047
Cambodia,Biomass Other,2050,1.338
Cambodia,Gas Combined Cycle,2040,1.351
Cambodia,Gas Combined Cycle,2050,2.0
Cambodia,Gas Combined Cycle,2060,1.431
Cambodia,Gas Combined Cycle with CCS,2050,0.452
Indonesia,Biogas_IDJW,2025,0.004
Indonesia,Biogas_IDJW,2030,0.02
Indonesia,Biogas_IDJW,2040,0.041
Indonesia,Biogas_IDJW,2050,0.041
Indonesia,Biogas_IDJW,2060,0.041
Indonesia,Biogas_IDKA,2025,0.081
Indonesia,Biogas_IDKA,2030,0.407
Indonesia,Biogas_IDKA,2040,0.814
Indonesia,Biogas_IDKA,2050,0.814
Indonesia,Biogas_IDKA,2060,0.814
Indonesia,Biogas_IDSA,2025,0.048
Indonesia,Biogas_IDSA,2030,1.073
Indonesia,Biogas_IDSA,2040,2.145
Indonesia,Biogas_IDSA,2050,0.048
Indonesia,Biogas_IDSA,2060,1.073
Indonesia,Biomass Gasification,2030,0.116
Indonesia,Biomass Gasification,2030,0.265
Indonesia,Biomass Gasification,2040,3.435
Indonesia,Biomass Gasification,2040,3.0
Indonesia,Biomass Gasification,2050,186.347
Indonesia,Biomass Gasification,2060,152.732
Indonesia,Biomass Gasification,2060,0.265
Indonesia,Biomass Other_IDEast,2030,0.002
Indonesia,Biomass Other_IDEast,2060,0.002
Indonesia,Biomass Other_IDJW,2040,0.01
Indonesia,Biomass Other_IDKA,2030,0.005
Indonesia,Biomass Other_IDKA,2060,0.005
Indonesia,Biomass Other_IDSA,2040,0.016
Indonesia,CAES,2040,15.029
Indonesia,CAES,2050,20.0
Indonesia,CAES,2060,20.0
Indonesia,Gas Combined Cycle with CCS,2025,1.5
Indonesia,Gas Combined Cycle with CCS,2030,7.5
Indonesia,Gas Combined Cycle with CCS,2040,15.0
Indonesia,Gas Combined Cycle with CCS,2050,15.0
Indonesia,Gas Combined Cycle with CCS,2060,15.0
Indonesia,Geothermal Flash_IDEast,2040,0.27
Indonesia,Geothermal Flash_IDJW,2040,1.67
Indonesia,Geothermal Flash_IDSA,2040,1.052
Indonesia,Geothermal ORC,2040,0.317
Indonesia,H2 Fuel Cell,2040,0.33
Indonesia,H2 Fuel Cell,2050,66.363
Indonesia,H2 Fuel Cell,2060,121.601
Indonesia,Large Hydro_IDEast,2025,0.21
Indonesia,Large Hydro_IDEast,2030,1.048
Indonesia,Large Hydro_IDEast,2040,2.097
Indonesia,Large Hydro_IDEast,2050,2.097
Indonesia,Large Hydro_IDEast,2060,2.097
Indonesia,Large Hydro_IDJW,2030,2.211
Indonesia,Large Hydro_IDJW,2040,2.61
Indonesia,Large Hydro_IDKA,2025,0.044
Indonesia,Large Hydro_IDKA,2030,0.219
Indonesia,Large Hydro_IDKA,2040,0.438
