region,unmet_node,year,unmet_PJ,unmet_TWh
Indonesia,Unmet Load_IDEast,2040,325.05,90.29
Indonesia,Unmet Load_IDEast,2050,1349.78,374.94
Indonesia,Unmet Load_IDEast,2060,2370.31,658.42
Indonesia,Unmet Load_IDJW,2050,8.64,2.4
Indonesia,Unmet Load_IDJW,2060,25.65,7.12
Indonesia,Unmet Load_IDKA,2030,19.67,5.46
Indonesia,Unmet Load_IDKA,2040,273.17,75.88
Indonesia,Unmet Load_IDKA,2050,783.55,217.65
Indonesia,Unmet Load_IDKA,2060,1304.86,362.46
Indonesia,Unmet Load_IDSA,2040,28.58,7.94
Indonesia,Unmet Load_IDSA,2050,573.29,159.25
Indonesia,Unmet Load_IDSA,2060,1397.96,388.32
Malaysia,Unmet Load_MYPE,2040,23.28,6.47
Malaysia,Unmet Load_MYPE,2050,41.35,11.49
Malaysia,Unmet Load_MYPE,2060,37.24,10.34
Malaysia,Unmet Load_MYSR,2030,77.04,21.4
Malaysia,Unmet Load_MYSR,2040,161.08,44.74
Malaysia,Unmet Load_MYSR,2050,236.39,65.66
Malaysia,Unmet Load_MYSR,2060,249.3,69.25
