ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Endogenous Capacity,"Step(2023, 0, 2025, 200, 2041, 0)",Megawatt,,batch-1b endogenous decision (time-box): canon 2025 start-gate preserved; end = knob-anchor (KHM knobs kick 2041),"no worse-tech after policy end; the canon's 2025 availability gate is kept, permission closes when the KHM PDP additions horizon ends (2040). | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b",endogenous_decision_table.csv,medium,AMS Target Scenario
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Endogenous Capacity,"Step(2023, 200, 2046, 0)",Megawatt,,batch-1b endogenous decision (time-box): data (Coal Supercritical additions to 2045; PDP8-modeled schedule),no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); PDP8 (statutory power development plan) | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,Baseline Simulation
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Endogenous Capacity,"Step(2023, 200, 2046, 0)",Megawatt,,batch-1b endogenous decision (time-box): data (Coal Supercritical additions to 2045; PDP8-modeled schedule),no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); coal schedule ends 2045 | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,AMS Target Scenario
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Endogenous Capacity,0,Megawatt,,batch-1b endogenous decision (zero): canon window inverted (permission opens only at 2028),canon grants coal auto-entry only AFTER the 2027 schedule end - the exact fallback-to-worse pattern the objective forbids; DOE moratorium 2020 in force. Zero the whole permission. | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,Baseline Simulation
Laos,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Endogenous Capacity,"Step(2023, 100, 2032, 0)",Megawatt,,batch-1b endogenous decision (time-box): knob-anchor (canon Coal Supercritical knob kicks 2031),no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); coal schedule ends 2031 | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,medium,AMS Target Scenario
Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Endogenous Capacity,0,Megawatt,,"batch-1b endogenous decision (zero): data (no ACTIVE scheduled coal additions; the canon 2024 top-up is commented out: '0 ? InterpFSY(2024, 120)...')","no worse-tech after policy end; Myanmar has no active scheduled coal additions (the 2024 top-up is commented out), so the permission zeroes. | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b",endogenous_decision_table.csv,high,AMS Target Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Endogenous Capacity,"Step(2023, 150, 2034, 0)",Megawatt,,batch-1b endogenous decision (time-box): data (Coal Subcritical additions to 2033) + PERPRES 112/2022,no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); PERPRES 112/2022 (no new coal beyond committed pipeline) | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,Baseline Simulation
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Endogenous Capacity,"Step(2023, 150, 2034, 0)",Megawatt,,batch-1b endogenous decision (time-box): data (Coal Subcritical additions to 2033) + PERPRES 112/2022,no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); coal schedule ends 2033 | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,AMS Target Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Endogenous Capacity,"Step(2023, 150, 2034, 0)",Megawatt,,batch-1b endogenous decision (time-box): data (Coal Subcritical additions to 2033) + PERPRES 112/2022,no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); PERPRES 112/2022 (no new coal beyond committed pipeline) | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,Baseline Simulation
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Endogenous Capacity,"Step(2023, 150, 2034, 0)",Megawatt,,batch-1b endogenous decision (time-box): data (Coal Subcritical additions to 2033) + PERPRES 112/2022,no worse-tech after policy end (~960-1050 kg CO2/MWh - worst of fleet; prohibit after policy end); coal schedule ends 2033 | structural-create: Endogenous Capacity slot absent from the send-back canonical baseline (live-LEAP default row); batch-1b,endogenous_decision_table.csv,high,AMS Target Scenario
