ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Brunei,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Cambodia,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Indonesia,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Laos,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Malaysia,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Myanmar,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Philippines,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Singapore,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Thailand,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
Vietnam,Resources\Primary\Natural Gas,Maximum Production,"Interp(2025, 903.96, 2060, 903.96) ? ASEAN-total 2023 gas prod 197.2 bcm x 38.2 PJ/bcm = 7533 PJ x1.2 imports = 9040 PJ envelope, uniform split /10 AMS",Petajoule,Natural Gas,"EI Statistical Review of World Energy 2024 (2023 data), Energy Institute, https://www.energyinst.org/statistical-review; conversion 38.2 PJ/bcm per WP-F work order",WP-F PROPOSAL to fossil team (Resources column) -- NOT a batch-1 capacity injection; RAS-only; flat 2023-anchored uniform regional cap; structural-create,delta_WP-F_PROPOSAL.csv,medium,Regional Aspiration Scenario
