ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Minimum Utilization,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)",Percent,,"run-2 reversal - byte-identical restore of the original RAS incumbent-generator phaseout floor from live LEAP state (.inbox/processes_full_dataset_4scenarios.csv, 2026)","structural-create: Minimum Utilization exists on this branch in LEAP, absent from the canonical send-back CSV; write to the existing Minimum Utilization (do NOT create a new branch). WP-J run-2 reversal: byte-identical restore of the original RAS phaseout floor authored over in run-1, so the run-1 vs run-2 contractual-cost delta can be read cleanly.",.inbox/processes_full_dataset_4scenarios.csv,High,Regional Aspiration Scenario
