domain,variable,scenario,region,year,value,unit,branch_leaf,branch_path
power,Generation,AMS Target Scenario,Brunei,2010,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Brunei,2020,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Brunei,2030,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Brunei,2040,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Brunei,2050,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Brunei,2060,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Cambodia,2010,0.03208,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Cambodia,2020,4.310999999999999,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Cambodia,2030,6.4306652895691405,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Cambodia,2040,5.029358510831178,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Cambodia,2050,4.828545836641184,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Cambodia,2060,4.349764827786559,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Indonesia,2010,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Indonesia,2020,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Indonesia,2030,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Indonesia,2040,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Indonesia,2050,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Indonesia,2060,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Laos,2010,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Laos,2020,12.900651736999999,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Laos,2030,22.395358633620933,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Laos,2040,0.22797883267014288,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Laos,2050,0.14314547541742878,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Laos,2060,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Malaysia,2010,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Malaysia,2020,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Malaysia,2030,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Malaysia,2040,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Malaysia,2050,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Malaysia,2060,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Myanmar,2010,0.36591000000000007,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Myanmar,2020,0.5541150000000002,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Myanmar,2030,1.1199832084515418,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Myanmar,2040,0.7525487800980242,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Myanmar,2050,0.8065112694841199,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Myanmar,2060,0.8122434797775672,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Philippines,2010,23.301099999999998,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Philippines,2020,58.17600179599997,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Philippines,2030,44.869886787059656,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Philippines,2040,16.599257293083088,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Philippines,2050,3.7051933995775714,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Philippines,2060,17.991104987089642,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Singapore,2010,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Singapore,2020,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Singapore,2030,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Singapore,2040,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Singapore,2050,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Singapore,2060,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Thailand,2010,38.854199999999985,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Thailand,2020,45.90229320500001,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Thailand,2030,38.76059373502875,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Thailand,2040,16.851981782574423,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Thailand,2050,16.048676194761097,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Thailand,2060,14.758057220416227,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Vietnam,2010,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Vietnam,2020,123.18200000000002,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Vietnam,2030,1.77265783414296,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Vietnam,2040,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Vietnam,2050,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Vietnam,2060,0.0,TWh,Coal Subcritical,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical
power,Generation,AMS Target Scenario,Brunei,2010,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Brunei,2020,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Brunei,2030,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Brunei,2040,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Brunei,2050,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Brunei,2060,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Cambodia,2010,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
power,Generation,AMS Target Scenario,Cambodia,2020,0.0,TWh,Coal Supercritical,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical
