ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Engine,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Engine,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Steam,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Steam,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Gas Engine,Maximum Capacity,Exogenous Capacity[MW],Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: cap at existing fleet, no new build in RAS; structural-create (new variable slot on existing branch)",WP-E,high,Regional Aspiration Scenario
Cambodia,Transformation\Centralized Electricity Generation\Processes\Gas Engine,Maximum Capacity Addition,0,Megawatt,,WP-E freeze-at-fleet idiom (Maximum Capacity=Exogenous Capacity[MW]); mirrors aeo9_v0.69 Malaysia Gas Turbine freeze; tier-1/2 no-new-dirty-fossil per WP-E gate decision 2026-07-08,"WP-E(1) tier-1/2 dirty freeze: overwrite build-rate to 0, no new dirty fossil in RAS",WP-E,high,Regional Aspiration Scenario
