ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,"Add(2031, 1287.41, 2032, 1287.41, 2033, 1287.41, 2034, 1287.41, 2035, 1287.41, 2036, 1287.41, 2037, 1287.41, 2038, 1287.41, 2039, 1287.41, 2040, 1287.41, 2041, 1287.41, 2042, 1287.41, 2043, 1287.41, 2044, 1287.41, 2045, 1287.41, 2046, 1287.41, 2047, 1287.41, 2048, 1287.41, 2049, 1287.41, 2050, 1287.31, 2051, 286.09, 2052, 286.09, 2053, 286.09, 2054, 286.09, 2055, 286.09, 2056, 286.09, 2057, 286.09, 2058, 286.09, 2059, 286.09, 2060, 286.09) ? AEO-9 Power batch-1b W1a gate decision (2026-07-09): RAS subcritical phase-down extended beyond Indonesia - aggressive 30-yr life, oldest first, ~10% of fleet left at 2050 and ~0 by 2060, same shape as batch-1 delta_WP-D-coal; fleet base = aeo9 v0.71 RAS Existing Capacity(2024) + committed Capacity Additions = 28609 MW (POWER_RESULTS_v0.71.csv); 30-yr aggressive subcritical technical life per Global Energy Monitor, Global Coal Plant Tracker (Boom and Bust Coal 2025, https://globalenergymonitor.org/report/boom-and-bust-coal-2025/)",MW,,,"W1a RAS subcritical phase-down (Vietnam); RAS-only, ATS keeps PDP untouched | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b",delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Maximum Capacity Addition,"0 ? AEO-9 Power batch-1b W1a gate decision (2026-07-09): subcritical additions = 0 in RAS - build-rate zeroed so no new subcritical is ever built; committed exogenous Add() schedule retained, matching the batch-1 _ID* subcritical idiom (MCA=0 with committed additions kept)",Megawatt,,,W1a no-new-subcritical (Vietnam); RAS-only | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Maximum Capacity,"Exogenous Capacity[MW] ? AEO-9 Power batch-1b W1a (2026-07-09): freeze-at-fleet idiom, matches batch-1 _ID*/_MY* and Singapore Coal Subcritical RAS state; blocks endogenous rebuild of the retiring subcritical fleet",Megawatt,,,W1a freeze-at-fleet (Vietnam); RAS-only | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Exogenous Capacity,"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0) ? AEO-9 Power batch-1b W7 safeguard (2026-07-09): inject-team accounting-floor idiom authored on every branch where batch-1b deepens retirement, so exogenous capacity can never go negative",Megawatt,,,W7 self-safeguarding floor (Vietnam) | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,"Add(2031, 500.42, 2032, 500.42, 2033, 500.42, 2034, 500.42, 2035, 500.42, 2036, 500.42, 2037, 500.42, 2038, 500.42, 2039, 500.42, 2040, 500.42, 2041, 500.42, 2042, 500.42, 2043, 500.42, 2044, 500.42, 2045, 500.42, 2046, 500.42, 2047, 500.42, 2048, 500.42, 2049, 500.42, 2050, 500.41, 2051, 111.2, 2052, 111.2, 2053, 111.2, 2054, 111.2, 2055, 111.2, 2056, 111.2, 2057, 111.2, 2058, 111.2, 2059, 111.2, 2060, 111.25) ? AEO-9 Power batch-1b W1a gate decision (2026-07-09): RAS subcritical phase-down extended beyond Indonesia - aggressive 30-yr life, oldest first, ~10% of fleet left at 2050 and ~0 by 2060, same shape as batch-1 delta_WP-D-coal; fleet base = aeo9 v0.71 RAS Existing Capacity(2024) + committed Capacity Additions = 11120.436 MW (POWER_RESULTS_v0.71.csv); 30-yr aggressive subcritical technical life per Global Energy Monitor, Global Coal Plant Tracker (Boom and Bust Coal 2025, https://globalenergymonitor.org/report/boom-and-bust-coal-2025/)",MW,,,"W1a RAS subcritical phase-down (Philippines); RAS-only, ATS keeps PDP untouched | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b",delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Maximum Capacity Addition,"0 ? AEO-9 Power batch-1b W1a gate decision (2026-07-09): subcritical additions = 0 in RAS - build-rate zeroed so no new subcritical is ever built; committed exogenous Add() schedule retained, matching the batch-1 _ID* subcritical idiom (MCA=0 with committed additions kept)",Megawatt,,,W1a no-new-subcritical (Philippines); RAS-only | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Maximum Capacity,"Exogenous Capacity[MW] ? AEO-9 Power batch-1b W1a (2026-07-09): freeze-at-fleet idiom, matches batch-1 _ID*/_MY* and Singapore Coal Subcritical RAS state; blocks endogenous rebuild of the retiring subcritical fleet",Megawatt,,,W1a freeze-at-fleet (Philippines); RAS-only | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Exogenous Capacity,"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0) ? AEO-9 Power batch-1b W7 safeguard (2026-07-09): inject-team accounting-floor idiom authored on every branch where batch-1b deepens retirement, so exogenous capacity can never go negative",Megawatt,,,W7 self-safeguarding floor (Philippines) | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,"Add(2031, 276.3, 2032, 276.3, 2033, 276.3, 2034, 276.3, 2035, 276.3, 2036, 276.3, 2037, 276.3, 2038, 276.3, 2039, 276.3, 2040, 276.3, 2041, 276.3, 2042, 276.3, 2043, 276.3, 2044, 276.3, 2045, 276.3, 2046, 276.3, 2047, 276.3, 2048, 276.3, 2049, 276.3, 2050, 276.3, 2051, 61.4, 2052, 61.4, 2053, 61.4, 2054, 61.4, 2055, 61.4, 2056, 61.4, 2057, 61.4, 2058, 61.4, 2059, 61.4, 2060, 61.4) ? AEO-9 Power batch-1b W1a gate decision (2026-07-09): RAS subcritical phase-down extended beyond Indonesia - aggressive 30-yr life, oldest first, ~10% of fleet left at 2050 and ~0 by 2060, same shape as batch-1 delta_WP-D-coal; fleet base = aeo9 v0.71 RAS Existing Capacity(2024) + committed Capacity Additions = 6140 MW (POWER_RESULTS_v0.71.csv); 30-yr aggressive subcritical technical life per Global Energy Monitor, Global Coal Plant Tracker (Boom and Bust Coal 2025, https://globalenergymonitor.org/report/boom-and-bust-coal-2025/)",MW,,,"W1a RAS subcritical phase-down (Thailand); RAS-only, ATS keeps PDP untouched | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b",delta_coal-retire.csv,Medium,Regional Aspiration Scenario
Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Maximum Capacity Addition,"0 ? AEO-9 Power batch-1b W1a gate decision (2026-07-09): subcritical additions = 0 in RAS - build-rate zeroed so no new subcritical is ever built; committed exogenous Add() schedule retained, matching the batch-1 _ID* subcritical idiom (MCA=0 with committed additions kept)",Megawatt,,,W1a no-new-subcritical (Thailand); RAS-only | structural-create (new RAS variable slot on existing branch; slot absent from the send-back canonical baseline - live-LEAP default row); batch-1b,delta_coal-retire.csv,Medium,Regional Aspiration Scenario
