ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Maximum Capacity,"Max(Exogenous Capacity[MW], 56280) ? batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (685.2 TWh) at 0.85 CF => +55.2 GW on 1.07 existing",Megawatt,,batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (685.2 TWh) at 0.85 CF => +55.2 GW on 1.07 existing,P1 gas 60pct (IDEast),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Maximum Capacity Addition,3000 ? batch-2 P1 companion: raise Gas CC build rate to reach the ceiling by 2060,Megawatt,,batch-2 P1 companion: raise Gas CC build rate to reach the ceiling by 2060,P1 gas MCA (IDEast),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Maximum Capacity,"Max(Exogenous Capacity[MW], 51400) ? batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (601.1 TWh) at 0.85 CF => +48.4 GW on 2.96 existing",Megawatt,,batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (601.1 TWh) at 0.85 CF => +48.4 GW on 2.96 existing,P1 gas 60pct (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Maximum Capacity,"Max(Exogenous Capacity[MW], 46820) ? batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (327.0 TWh) at 0.85 CF => +26.3 GW on 20.47 existing",Megawatt,,batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (327.0 TWh) at 0.85 CF => +26.3 GW on 20.47 existing,P1 gas 60pct (IDJW),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Maximum Capacity,"Max(Exogenous Capacity[MW], 16440) ? batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (201.4 TWh) at 0.85 CF => +16.2 GW on 0.21 existing",Megawatt,,batch-2 (2026-07-21) P1: break =Exogenous lock; Gas CC to capture 60pct of node 2060 unmet (201.4 TWh) at 0.85 CF => +16.2 GW on 0.21 existing,P1 gas 60pct (IDKA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Maximum Capacity Addition,800 ? batch-2 P2a: raise build rate 442->800 MW/yr so the tech fills its existing Maximum Capacity by 2060,Megawatt,,batch-2 P2a: raise build rate 442->800 MW/yr so the tech fills its existing Maximum Capacity by 2060,P2a rate boost,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDKA,Maximum Capacity Addition,300 ? batch-2 P2a: raise build rate 125->300 MW/yr so the tech fills its existing Maximum Capacity by 2060,Megawatt,,batch-2 P2a: raise build rate 125->300 MW/yr so the tech fills its existing Maximum Capacity by 2060,P2a rate boost,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDSA,Maximum Capacity Addition,200 ? batch-2 P2a: raise build rate 125->200 MW/yr so the tech fills its existing Maximum Capacity by 2060,Megawatt,,batch-2 P2a: raise build rate 125->200 MW/yr so the tech fills its existing Maximum Capacity by 2060,P2a rate boost,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Maximum Capacity Addition,500 ? batch-2 P2a: raise build rate 238->500 MW/yr so the tech fills its existing Maximum Capacity by 2060,Megawatt,,batch-2 P2a: raise build rate 238->500 MW/yr so the tech fills its existing Maximum Capacity by 2060,P2a rate boost,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Maximum Capacity Addition,400 ? batch-2 P2a: raise build rate 238->400 MW/yr so the tech fills its existing Maximum Capacity by 2060,Megawatt,,batch-2 P2a: raise build rate 238->400 MW/yr so the tech fills its existing Maximum Capacity by 2060,P2a rate boost,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Maximum Capacity,"65960 ? batch-2 P2b (user 2026-07-21): raise Large Hydro potential to 2x today Maximum Capacity (33.0 -> 66.0 GW), bounded firm-RE headroom",Megawatt,,"batch-2 P2b (user 2026-07-21): raise Large Hydro potential to 2x today Maximum Capacity (33.0 -> 66.0 GW), bounded firm-RE headroom",P2b hydro 2x (IDEast),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Maximum Capacity Addition,2000 ? batch-2 P2b companion: build rate to reach the 2x hydro ceiling by 2060,Megawatt,,batch-2 P2b companion: build rate to reach the 2x hydro ceiling by 2060,P2b hydro MCA (IDEast),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Maximum Capacity,"31200 ? batch-2 P2b (user 2026-07-21): raise Large Hydro potential to 2x today Maximum Capacity (15.6 -> 31.2 GW), bounded firm-RE headroom",Megawatt,,"batch-2 P2b (user 2026-07-21): raise Large Hydro potential to 2x today Maximum Capacity (15.6 -> 31.2 GW), bounded firm-RE headroom",P2b hydro 2x (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Maximum Capacity Addition,1000 ? batch-2 P2b companion: build rate to reach the 2x hydro ceiling by 2060,Megawatt,,batch-2 P2b companion: build rate to reach the 2x hydro ceiling by 2060,P2b hydro MCA (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Maximum Capacity,"24220 ? batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",Megawatt,Natural Gas,"batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",P4 CCS create (IDSA) - LEAP team creates branch + pastes params,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Maximum Capacity Addition,1500 ? batch-2 P4: build rate for Gas Combined Cycle with CCS_IDSA,Megawatt,Natural Gas,batch-2 P4: build rate for Gas Combined Cycle with CCS_IDSA,P4 CCS MCA (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Process Efficiency,"Interp(2022, 55, 2050, 58) ? batch-2 P4 template param (copy national Gas CC with CCS)",,Natural Gas,batch-2 P4 template param (copy national Gas CC with CCS),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Maximum Availability,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Capacity Credit,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Capital Cost,"Interp(2022, 2390, 2030, 2150, 2050, 1720) ? batch-2 P4 template param (2024 Tech Data IDN)",USD/kW,Natural Gas,batch-2 P4 template param (2024 Tech Data IDN),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Fixed OM Cost,"Interp(2022, 59, 2030, 50.2, 2050, 37.8) ? batch-2 P4 template param (national template)",USD/kW,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Variable OM Cost,"Interp(2022, 4.96, 2030, 4.36, 2050, 3.62) ? batch-2 P4 template param (national template)",USD/MWh,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Maximum Capacity,"24220 ? batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",Megawatt,Coal,"batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",P4 CCS create (IDSA) - LEAP team creates branch + pastes params,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Maximum Capacity Addition,1500 ? batch-2 P4: build rate for Coal Ultrasupercritical CCS_IDSA,Megawatt,Coal,batch-2 P4: build rate for Coal Ultrasupercritical CCS_IDSA,P4 CCS MCA (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Process Efficiency,"Interp(2022, 29.7, 2023, 30.4) ? batch-2 P4 template param (Coal USC eff x 70.8pct capture (Handayani 2022))",,Coal,batch-2 P4 template param (Coal USC eff x 70.8pct capture (Handayani 2022)),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Maximum Availability,85 ? batch-2 P4 template param (firm baseload),,Coal,batch-2 P4 template param (firm baseload),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Capacity Credit,85 ? batch-2 P4 template param (national template),,Coal,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Capital Cost,"Interp(2022, 4100, 2030, 3950, 2050, 3800) ? batch-2 P4 template param (USC base + CCS adder ~2350 USD/kW)",USD/kW,Coal,batch-2 P4 template param (USC base + CCS adder ~2350 USD/kW),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Fixed OM Cost,"Interp(2022, 95, 2030, 92, 2050, 89) ? batch-2 P4 template param (USC base 64.5 + CCS adder)",USD/kW,Coal,batch-2 P4 template param (USC base 64.5 + CCS adder),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Variable OM Cost,"Interp(2022, 8.5, 2030, 8.2, 2050, 7.9) ? batch-2 P4 template param (USC base + CCS adder)",USD/MWh,Coal,batch-2 P4 template param (USC base + CCS adder),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Maximum Capacity,"13170 ? batch-2 P4: node CCS at IDJW, 50/50 of the P1 gas addition (26.3 GW) => 13.2 GW each; clean-firm for the RE-exhausted node",Megawatt,Natural Gas,"batch-2 P4: node CCS at IDJW, 50/50 of the P1 gas addition (26.3 GW) => 13.2 GW each; clean-firm for the RE-exhausted node",P4 CCS create (IDJW) - LEAP team creates branch + pastes params,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Maximum Capacity Addition,1000 ? batch-2 P4: build rate for Gas Combined Cycle with CCS_IDJW,Megawatt,Natural Gas,batch-2 P4: build rate for Gas Combined Cycle with CCS_IDJW,P4 CCS MCA (IDJW),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Process Efficiency,"Interp(2022, 55, 2050, 58) ? batch-2 P4 template param (copy national Gas CC with CCS)",,Natural Gas,batch-2 P4 template param (copy national Gas CC with CCS),P4 param (IDJW),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Maximum Availability,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDJW),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Credit,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDJW),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capital Cost,"Interp(2022, 2390, 2030, 2150, 2050, 1720) ? batch-2 P4 template param (2024 Tech Data IDN)",USD/kW,Natural Gas,batch-2 P4 template param (2024 Tech Data IDN),P4 param (IDJW),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
