ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Maximum Capacity,"24220 ? batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",Megawatt,Natural Gas,"batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",P4 CCS create (IDSA) - LEAP team creates branch + pastes params,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Maximum Capacity Addition,1500 ? batch-2 P4: build rate for Gas Combined Cycle with CCS_IDSA,Megawatt,Natural Gas,batch-2 P4: build rate for Gas Combined Cycle with CCS_IDSA,P4 CCS MCA (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Process Efficiency,"Interp(2022, 55, 2050, 58) ? batch-2 P4 template param (copy national Gas CC with CCS)",,Natural Gas,batch-2 P4 template param (copy national Gas CC with CCS),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Maximum Availability,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Capacity Credit,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Capital Cost,"Interp(2022, 2390, 2030, 2150, 2050, 1720) ? batch-2 P4 template param (2024 Tech Data IDN)",USD/kW,Natural Gas,batch-2 P4 template param (2024 Tech Data IDN),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Fixed OM Cost,"Interp(2022, 59, 2030, 50.2, 2050, 37.8) ? batch-2 P4 template param (national template)",USD/kW,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS_IDSA,Variable OM Cost,"Interp(2022, 4.96, 2030, 4.36, 2050, 3.62) ? batch-2 P4 template param (national template)",USD/MWh,Natural Gas,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Maximum Capacity,"24220 ? batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",Megawatt,Coal,"batch-2 P4: node CCS at IDSA, 50/50 of the P1 gas addition (48.4 GW) => 24.2 GW each; clean-firm for the RE-exhausted node",P4 CCS create (IDSA) - LEAP team creates branch + pastes params,batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Maximum Capacity Addition,1500 ? batch-2 P4: build rate for Coal Ultrasupercritical CCS_IDSA,Megawatt,Coal,batch-2 P4: build rate for Coal Ultrasupercritical CCS_IDSA,P4 CCS MCA (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Process Efficiency,"Interp(2022, 29.7, 2023, 30.4) ? batch-2 P4 template param (Coal USC eff x 70.8pct capture (Handayani 2022))",,Coal,batch-2 P4 template param (Coal USC eff x 70.8pct capture (Handayani 2022)),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Maximum Availability,85 ? batch-2 P4 template param (firm baseload),,Coal,batch-2 P4 template param (firm baseload),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Capacity Credit,85 ? batch-2 P4 template param (national template),,Coal,batch-2 P4 template param (national template),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Capital Cost,"Interp(2022, 4100, 2030, 3950, 2050, 3800) ? batch-2 P4 template param (USC base + CCS adder ~2350 USD/kW)",USD/kW,Coal,batch-2 P4 template param (USC base + CCS adder ~2350 USD/kW),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Fixed OM Cost,"Interp(2022, 95, 2030, 92, 2050, 89) ? batch-2 P4 template param (USC base 64.5 + CCS adder)",USD/kW,Coal,batch-2 P4 template param (USC base 64.5 + CCS adder),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS_IDSA,Variable OM Cost,"Interp(2022, 8.5, 2030, 8.2, 2050, 7.9) ? batch-2 P4 template param (USC base + CCS adder)",USD/MWh,Coal,batch-2 P4 template param (USC base + CCS adder),P4 param (IDSA),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Maximum Capacity,"13170 ? batch-2 P4: node CCS at IDJW, 50/50 of the P1 gas addition (26.3 GW) => 13.2 GW each; clean-firm for the RE-exhausted node",Megawatt,Natural Gas,"batch-2 P4: node CCS at IDJW, 50/50 of the P1 gas addition (26.3 GW) => 13.2 GW each; clean-firm for the RE-exhausted node",P4 CCS create (IDJW) - LEAP team creates branch + pastes params | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Maximum Capacity Addition,1000 ? batch-2 P4: build rate for Gas Combined Cycle with CCS_IDJW,Megawatt,Natural Gas,batch-2 P4: build rate for Gas Combined Cycle with CCS_IDJW,P4 CCS MCA (IDJW) | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Process Efficiency,"Interp(2022, 55, 2050, 58) ? batch-2 P4 template param (copy national Gas CC with CCS)",,Natural Gas,batch-2 P4 template param (copy national Gas CC with CCS),P4 param (IDJW) | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Maximum Availability,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDJW) | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Credit,85 ? batch-2 P4 template param (national template),,Natural Gas,batch-2 P4 template param (national template),P4 param (IDJW) | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capital Cost,"Interp(2022, 2390, 2030, 2150, 2050, 1720) ? batch-2 P4 template param (2024 Tech Data IDN)",USD/kW,Natural Gas,batch-2 P4 template param (2024 Tech Data IDN),P4 param (IDJW) | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Fixed OM Cost,"Interp(2022, 59, 2030, 50.2, 2050, 37.8) ? batch-2 P4 template param (national template)",USD/kW,Natural Gas,batch-2 P4 template param (national template),P4 param (IDJW) | RETARGET 2026-07-22: IDJW node -> non-nodal base (user ruling),batch2_unmet_nuclear_20260721.csv,Medium,Regional Aspiration Scenario
