branch_path,variable,scenario,region,scale,units,per,expression
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Annual Storage Carryover,Current Accounts,Indonesia,,Yes/No,,No
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,"Add(2026, 0.06, 2029, 0.24, 2031, 0.07, 2032, 0.07, 2033, 0.09)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Additions,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Additions,Current Accounts,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Additions,Regional Aspiration Scenario,Indonesia,,MW,,"Interp(2005,0,2024,0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Credit,AMS Target Scenario,Indonesia,,Percent,,Maximum Availability
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Credit,Baseline Simulation,Indonesia,,Percent,,Maximum Availability
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Credit,Current Accounts,Indonesia,,Percent,,Maximum Availability
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Credit,Regional Aspiration Scenario,Indonesia,,Percent,,Maximum Availability
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Retirement,AMS Target Scenario,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Retirement,Current Accounts,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capacity Retirement,Regional Aspiration Scenario,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capital Cost,AMS Target Scenario,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2022, 2450, 2030, 2080, 2050, 1840) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
