branch_path,variable,scenario,region,expression,units,scale,per
Transformation\Centralized Electricity Generation,ASEANRenewableCapacityTarget__NEMOcc,AMS Target Scenario,ALL (12 regions),0 ? Must be same value in all regions,share of nameplate,,
Transformation\Centralized Electricity Generation,ASEANRenewableCapacityTarget__NEMOcc,Baseline Simulation,ALL (12 regions),0 ? Must be same value in all regions,share of nameplate,,
Transformation\Centralized Electricity Generation,ASEANRenewableCapacityTarget__NEMOcc,Regional Aspiration Scenario,ALL (12 regions),"InterpFSY(2025, 35, 2040, 63, 2050, 71) ? RAS assumption to try to increase RE capacity",share of nameplate,,
Transformation\Centralized Electricity Generation,Module Costs,AMS Target Scenario,ALL (12 regions),0,U.S. Dollar,,
Transformation\Centralized Electricity Generation,Module Costs,Baseline Simulation,ALL (12 regions),0,U.S. Dollar,,
Transformation\Centralized Electricity Generation,Module Costs,Current Accounts,ALL (12 regions),0,U.S. Dollar,,
Transformation\Centralized Electricity Generation,Module Costs,Regional Aspiration Scenario,ALL (12 regions),0,U.S. Dollar,,
Transformation\Centralized Electricity Generation,Optimize,AMS Target Scenario,ALL (12 regions),No,None,,
Transformation\Centralized Electricity Generation,Optimize,Baseline Simulation,ALL (12 regions),No,None,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Base Template,0,percent,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Brunei,"Interp(2023, 21.00, 2024, 22.00, 2025, 23.00, 2026, 24.00, 2027, 25.00) ? assumed value",percent,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Cambodia,25 ? AEO6 assumption,percent,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Indonesia,"Interp(2023, 17, 2024, 20, 2025, 23, 2026, 26, 2027, 29, 2028, 32, 2029, 34, 2030, 36, 2031, 37, 2032, 38, 2033, 39, 2034, 40, 2035, 41, 2036, 42) ? _x000D_
_x000D_
_x000D_
RUPTL 2021 - 2030",percent,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Laos,"Interp(2023, 35, 2024, 30, 2025, 25, 2026, 20, 2027, 15, 2028, 10, 2029, 5, 2030, 0, 2031, 5, 2032, 10, 2033, 15, 2034, 20, 2035, 25)",percent,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Malaysia,"Interp(2023, 3, 2024, 6, 2025, 9, 2027, 12, 2028, 15, 2029, 18, 2030, 21, 2031, 22) ? assumption",percent,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,AMS Target Scenario,Myanmar,30 ? Myanmar PDP Draft_Part 3,percent,,
