branch_path,variable,units,scale,per
Key\Annual EI Reduction\Chemical,Activity Level,%,,
Key\Annual EI Reduction\Commercial,Activity Level,%,,
Key\Annual EI Reduction\EI Improvement_RAS,Activity Level,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Factor,,
Key\Annual EI Reduction\Food and Beverages,Activity Level,%,,
Key\Annual EI Reduction\FuelEco,Activity Level,%,,
Key\Annual EI Reduction\Industry,Activity Level,%,,
Key\Annual EI Reduction\Iron and Steel,Activity Level,%,,
Key\Annual EI Reduction\Mining,Activity Level,%,,
Key\Annual EI Reduction\Non Metallic Mineral,Activity Level,%,,
Key\Annual EI Reduction\Pulp Paper,Activity Level,%,,
Key\Annual EI Reduction\Residential,Activity Level,Factor,,
Key\Annual EI Reduction\Textile,Activity Level,%,,
Key\Cal\Transformation\Biogas_eff,Activity Level,Factor,,
Key\Cal\Transformation\Coal_sub_eff,Activity Level,factor,,
Key\Cal\Transformation\Gas processing,Activity Level,Factor,,
Key\Cal\Transformation\Geothermal,Activity Level,Factor,,
Key\Cal\Transformation\Hydropower,Activity Level,Factor,,
Key\Cal\Transformation\LNG_regas,Activity Level,factor,,
Key\Cal\Transformation\Natgas_losses,Activity Level,Factor,,
Key\Cal\Transformation\Ngas_cc,Activity Level,Factor,,
Key\Cal\Transformation\Oil refining,Activity Level,Factor,,
Key\Cal\Transformation\biomass_eff,Activity Level,Factor,,
Key\Cal\Transformation\domestic_biogas,Activity Level,factor,,
Key\Cal\Transformation\oil_eff,Activity Level,factor,,
Key\Cal\Transformation\waste_eff,Activity Level,factor,,
Key\Capacity Additions Multiplier\Biomass,Activity Level,factor,,
Key\Capacity Additions Multiplier\Biomass_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction,Activity Level,Percent,,
Key\Capacity Additions Multiplier\Geothermal,Activity Level,factor,,
Key\Capacity Additions Multiplier\Geothermal_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Hydro,Activity Level,factor,,
Key\Capacity Additions Multiplier\Hydro_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Solar,Activity Level,factor,,
Key\Capacity Additions Multiplier\Solar_EndYear,Activity Level,factor,,
Key\Capacity Additions Multiplier\Wind,Activity Level,factor,,
Key\Capacity Additions Multiplier\Wind_EndYear,Activity Level,factor,,
Key\Emission Externality Costs\Ammonia,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Black Carbon,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Carbon Dioxide,Activity Level,2020 USD/t,,
Key\Emission Externality Costs\Carbon Monoxide,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Methane,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Nitrogen Oxides,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Nitrous Oxide,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Organic Carbon,Activity Level,2020 USD/kg,,
Key\Emission Externality Costs\Sulfur Dioxide,Activity Level,2020 USD/kg,,
Key\End_cap multip\RE_Fraction,Activity Level,Fraction,,
Key\End_cap multip\Total_,Activity Level,MW,,
Key\Job creations\Geothermal_Declining Factor_CAPEX,Activity Level,Factor,,
Key\Job creations\Geothermal_Declining Factor_OPEX,Activity Level,Factor,,
Key\Job creations\Geothermal_EF_Construction,Activity Level,Job-Years,,
Key\Job creations\Geothermal_EF_Manufacturing,Activity Level,Job-Years,,
Key\Job creations\Geothermal_EF_OM,Activity Level,Jobs/MW,,
Key\Job creations\Hydro_Declining Factor_CAPEX,Activity Level,Factor,,
Key\Job creations\Hydro_Declining Factor_OPEX,Activity Level,Factor,,
Key\Job creations\Hydro_EF_Construction,Activity Level,Job-Years,,
Key\Job creations\Hydro_EF_Manufacturing,Activity Level,Job-Years,,
Key\Job creations\Hydro_EF_OM,Activity Level,Jobs/MW,,
Key\Job creations\Local Manufacturing,Activity Level,Fraction,,
Key\Job creations\Regionality Factor,Activity Level,Factor,,
Key\Job creations\Solar_Declining Factor_CAPEX,Activity Level,Factor,,
Key\Job creations\Solar_Declining Factor_OPEX,Activity Level,Factor,,
Key\Job creations\Solar_EF_Construction,Activity Level,Job-Years,,
Key\Job creations\Solar_EF_Manufacturing,Activity Level,Job-Years,,
Key\Job creations\Solar_EF_OM,Activity Level,Jobs/MW,,
Key\Job creations\Wind_Declining Factor_CAPEX,Activity Level,Factor,,
Key\Job creations\Wind_Declining Factor_OPEX,Activity Level,Factor,,
Key\Job creations\Wind_EF_Construction,Activity Level,Job-Years,,
Key\Job creations\Wind_EF_Manufacturing,Activity Level,Job-Years,,
Key\Job creations\Wind_EF_OM,Activity Level,Jobs/MW,,
Key\Modeling Assumptions\BECCS Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Batteries Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Biogas Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Biomass Combustion Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Coal Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Coal and Gas CCS Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Gas Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Geothermal Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout,Activity Level,years,,
Key\Modeling Assumptions\Large Hydro Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Nuclear Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Oil Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Small Hydro Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Solar PV Lead Time,Activity Level,years,,
Key\Modeling Assumptions\Tidal and Wave Lead time,Activity Level,years,,
Key\Modeling Assumptions\Wind Lead Time,Activity Level,years,,
Key\Region Group RE Targets\ASEAN All Regions Electricity,Activity Level,fraction,,
Key\Region Group RE Targets\ASEAN All Regions Electricity,Fuel_RE Target,ID,,
Key\Region Group RE Targets\ASEAN All Regions Electricity,Region Group Set,index,,
Key\Region Group RE Targets\ASEAN All Regions Electricity,Region Group Set Element,index,,
Key\Transmission\Demand Distribution\Brunei,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Brunei,Fuel_,ID,,
Key\Transmission\Demand Distribution\Brunei,Node_,ID,,
Key\Transmission\Demand Distribution\Cambodia,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Cambodia,Fuel_,ID,,
Key\Transmission\Demand Distribution\Cambodia,Node_,ID,,
Key\Transmission\Demand Distribution\Indonesia,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Indonesia,Fuel_,ID,,
Key\Transmission\Demand Distribution\Indonesia,Node_,ID,,
Key\Transmission\Demand Distribution\Laos,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Laos,Fuel_,ID,,
Key\Transmission\Demand Distribution\Laos,Node_,ID,,
Key\Transmission\Demand Distribution\Malaysia,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Malaysia,Fuel_,ID,,
Key\Transmission\Demand Distribution\Malaysia,Node_,ID,,
Key\Transmission\Demand Distribution\Myanmar,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Myanmar,Fuel_,ID,,
Key\Transmission\Demand Distribution\Myanmar,Node_,ID,,
Key\Transmission\Demand Distribution\Philippines,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Philippines,Fuel_,ID,,
Key\Transmission\Demand Distribution\Philippines,Node_,ID,,
Key\Transmission\Demand Distribution\Singapore,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Singapore,Fuel_,ID,,
Key\Transmission\Demand Distribution\Singapore,Node_,ID,,
Key\Transmission\Demand Distribution\Thailand,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Thailand,Fuel_,ID,,
Key\Transmission\Demand Distribution\Thailand,Node_,ID,,
Key\Transmission\Demand Distribution\Vietnam,Activity Level,fraction,,
Key\Transmission\Demand Distribution\Vietnam,Fuel_,ID,,
Key\Transmission\Demand Distribution\Vietnam,Node_,ID,,
Key\Transmission\Lines\Laos_Cambodia_E,!Construction Year,year,,
Key\Transmission\Lines\Laos_Cambodia_E,!Reactance,per unit,,
Key\Transmission\Lines\Laos_Cambodia_E,Activity Level,NA,,
Key\Transmission\Lines\Laos_Cambodia_E,Capital Cost_,million $,,
Key\Transmission\Lines\Laos_Cambodia_E,Efficiency_,fraction,,
Key\Transmission\Lines\Laos_Cambodia_E,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Laos_Cambodia_E,From Node,ID,,
Key\Transmission\Lines\Laos_Cambodia_E,Fuel__,ID,,
Key\Transmission\Lines\Laos_Cambodia_E,Interest Rate_,ID,,
Key\Transmission\Lines\Laos_Cambodia_E,Lifetime_,years,,
Key\Transmission\Lines\Laos_Cambodia_E,Maximum Flow,MW,,
Key\Transmission\Lines\Laos_Cambodia_E,To Node,ID,,
Key\Transmission\Lines\Laos_Cambodia_E,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Laos_Cambodia_F,!Construction Year,year,,
Key\Transmission\Lines\Laos_Cambodia_F,!Reactance,per unit,,
Key\Transmission\Lines\Laos_Cambodia_F,Activity Level,NA,,
Key\Transmission\Lines\Laos_Cambodia_F,Capital Cost_,million $,,
Key\Transmission\Lines\Laos_Cambodia_F,Efficiency_,fraction,,
Key\Transmission\Lines\Laos_Cambodia_F,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Laos_Cambodia_F,From Node,ID,,
Key\Transmission\Lines\Laos_Cambodia_F,Fuel__,ID,,
Key\Transmission\Lines\Laos_Cambodia_F,Interest Rate_,ID,,
Key\Transmission\Lines\Laos_Cambodia_F,Lifetime_,years,,
Key\Transmission\Lines\Laos_Cambodia_F,Maximum Flow,MW,,
Key\Transmission\Lines\Laos_Cambodia_F,To Node,ID,,
Key\Transmission\Lines\Laos_Cambodia_F,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Laos_Myanmar_F,!Construction Year,year,,
Key\Transmission\Lines\Laos_Myanmar_F,!Reactance,per unit,,
Key\Transmission\Lines\Laos_Myanmar_F,Activity Level,NA,,
Key\Transmission\Lines\Laos_Myanmar_F,Capital Cost_,million $,,
Key\Transmission\Lines\Laos_Myanmar_F,Efficiency_,fraction,,
Key\Transmission\Lines\Laos_Myanmar_F,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Laos_Myanmar_F,From Node,ID,,
Key\Transmission\Lines\Laos_Myanmar_F,Fuel__,ID,,
Key\Transmission\Lines\Laos_Myanmar_F,Interest Rate_,ID,,
Key\Transmission\Lines\Laos_Myanmar_F,Lifetime_,years,,
Key\Transmission\Lines\Laos_Myanmar_F,Maximum Flow,MW,,
Key\Transmission\Lines\Laos_Myanmar_F,To Node,ID,,
Key\Transmission\Lines\Laos_Myanmar_F,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Laos_Vietnam_E,!Construction Year,year,,
Key\Transmission\Lines\Laos_Vietnam_E,!Reactance,per unit,,
Key\Transmission\Lines\Laos_Vietnam_E,Activity Level,NA,,
Key\Transmission\Lines\Laos_Vietnam_E,Capital Cost_,million $,,
Key\Transmission\Lines\Laos_Vietnam_E,Efficiency_,fraction,,
Key\Transmission\Lines\Laos_Vietnam_E,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Laos_Vietnam_E,From Node,ID,,
Key\Transmission\Lines\Laos_Vietnam_E,Fuel__,ID,,
Key\Transmission\Lines\Laos_Vietnam_E,Interest Rate_,ID,,
Key\Transmission\Lines\Laos_Vietnam_E,Lifetime_,years,,
Key\Transmission\Lines\Laos_Vietnam_E,Maximum Flow,MW,,
Key\Transmission\Lines\Laos_Vietnam_E,To Node,ID,,
Key\Transmission\Lines\Laos_Vietnam_E,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Laos_Vietnam_F,!Construction Year,year,,
Key\Transmission\Lines\Laos_Vietnam_F,!Reactance,per unit,,
Key\Transmission\Lines\Laos_Vietnam_F,Activity Level,NA,,
Key\Transmission\Lines\Laos_Vietnam_F,Capital Cost_,million $,,
Key\Transmission\Lines\Laos_Vietnam_F,Efficiency_,fraction,,
Key\Transmission\Lines\Laos_Vietnam_F,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Laos_Vietnam_F,From Node,ID,,
Key\Transmission\Lines\Laos_Vietnam_F,Fuel__,ID,,
Key\Transmission\Lines\Laos_Vietnam_F,Interest Rate_,ID,,
Key\Transmission\Lines\Laos_Vietnam_F,Lifetime_,years,,
Key\Transmission\Lines\Laos_Vietnam_F,Maximum Flow,MW,,
Key\Transmission\Lines\Laos_Vietnam_F,To Node,ID,,
Key\Transmission\Lines\Laos_Vietnam_F,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,!Construction Year,year,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,!Reactance,per unit,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Activity Level,NA,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Capital Cost_,million $,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Efficiency_,fraction,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Fixed OM Cost_,million $,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,From Node,ID,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Fuel__,ID,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Interest Rate_,ID,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Lifetime_,years,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Maximum Flow,MW,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,To Node,ID,,
Key\Transmission\Lines\P. Malaysia_Sumatra_F,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,!Construction Year,year,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,!Reactance,per unit,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Activity Level,NA,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Capital Cost_,million $,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Efficiency_,fraction,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Fixed OM Cost_,million $,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,From Node,ID,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Fuel__,ID,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Interest Rate_,ID,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Lifetime_,years,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Maximum Flow,MW,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,To Node,ID,,
Key\Transmission\Lines\P.Malaysia_Singapore_E,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Philippines_Sabah_F,!Construction Year,year,,
Key\Transmission\Lines\Philippines_Sabah_F,!Reactance,per unit,,
Key\Transmission\Lines\Philippines_Sabah_F,Activity Level,NA,,
Key\Transmission\Lines\Philippines_Sabah_F,Capital Cost_,million $,,
Key\Transmission\Lines\Philippines_Sabah_F,Efficiency_,fraction,,
Key\Transmission\Lines\Philippines_Sabah_F,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Philippines_Sabah_F,From Node,ID,,
Key\Transmission\Lines\Philippines_Sabah_F,Fuel__,ID,,
Key\Transmission\Lines\Philippines_Sabah_F,Interest Rate_,ID,,
Key\Transmission\Lines\Philippines_Sabah_F,Lifetime_,years,,
Key\Transmission\Lines\Philippines_Sabah_F,Maximum Flow,MW,,
Key\Transmission\Lines\Philippines_Sabah_F,To Node,ID,,
Key\Transmission\Lines\Philippines_Sabah_F,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Sabah_Kalimantan_F,!Construction Year,year,,
Key\Transmission\Lines\Sabah_Kalimantan_F,!Reactance,per unit,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Activity Level,NA,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Capital Cost_,million $,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Efficiency_,fraction,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Sabah_Kalimantan_F,From Node,ID,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Fuel__,ID,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Interest Rate_,ID,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Lifetime_,years,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Maximum Flow,MW,,
Key\Transmission\Lines\Sabah_Kalimantan_F,To Node,ID,,
Key\Transmission\Lines\Sabah_Kalimantan_F,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Sarawak_Brunei_C,!Construction Year,year,,
Key\Transmission\Lines\Sarawak_Brunei_C,!Reactance,per unit,,
Key\Transmission\Lines\Sarawak_Brunei_C,Activity Level,NA,,
Key\Transmission\Lines\Sarawak_Brunei_C,Capital Cost_,million $,,
Key\Transmission\Lines\Sarawak_Brunei_C,Efficiency_,fraction,,
Key\Transmission\Lines\Sarawak_Brunei_C,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Sarawak_Brunei_C,From Node,ID,,
Key\Transmission\Lines\Sarawak_Brunei_C,Fuel__,ID,,
Key\Transmission\Lines\Sarawak_Brunei_C,Interest Rate_,ID,,
Key\Transmission\Lines\Sarawak_Brunei_C,Lifetime_,years,,
Key\Transmission\Lines\Sarawak_Brunei_C,Maximum Flow,MW,,
Key\Transmission\Lines\Sarawak_Brunei_C,To Node,ID,,
Key\Transmission\Lines\Sarawak_Brunei_C,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,!Construction Year,year,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,!Reactance,per unit,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Activity Level,NA,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Capital Cost_,million $,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Efficiency_,fraction,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Fixed OM Cost_,million $,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,From Node,ID,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Fuel__,ID,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Interest Rate_,ID,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Lifetime_,years,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Maximum Flow,MW,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,To Node,ID,,
Key\Transmission\Lines\Sarawak_Kalimantan_E,Variable OM Cost_,million $/PJ,,
Key\Transmission\Lines\Sarawak_Kalimantan_F,!Construction Year,year,,
Key\Transmission\Lines\Sarawak_Kalimantan_F,!Reactance,per unit,,
