node,feedstock_fuel,pollutant,region,branch,variable,unit,CA,BAS,ATS,RAS
Bioenergy with CCS,Biomass,Ammonia,Base Template,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Laos,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Myanmar,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Philippines,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Singapore,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Thailand,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Ammonia,Vietnam,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,0.6 ?d,0.6 ?d,0.6 ?d,0.6 ?d
Bioenergy with CCS,Biomass,Carbon Dioxide Biogenic,Base Template,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results
Bioenergy with CCS,Biomass,Carbon Dioxide Biogenic,Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results
Bioenergy with CCS,Biomass,Carbon Dioxide Biogenic,Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results
Bioenergy with CCS,Biomass,Carbon Dioxide Biogenic,Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results,91.7 ?a. Net emission results after sequestration are viewed through LEAP's results
