node,feedstock_fuel,region,branch,variable,unit,CA,BAS,ATS,RAS
Bioenergy with CCS,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
