node,region,variable,units,CA,BAS,ATS,RAS
Bioenergy with CCS,Brunei,Annual Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Brunei,Capacity Additions,MW,0,0,0,0
Bioenergy with CCS,Brunei,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Bioenergy with CCS,Brunei,Capacity Retirement,MW,0,0,0,0
Bioenergy with CCS,Brunei,Capital Cost,U.S. Dollar,"Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Brunei,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Bioenergy with CCS,Brunei,Dispatchable,Yes/No,Yes,,,
Bioenergy with CCS,Brunei,Endogenous Capacity,Megawatt,0,0,0,
Bioenergy with CCS,Brunei,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Bioenergy with CCS,Brunei,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
