branch_path,variable,units,scale,per
Transformation\Centralized Electricity Generation,ASEANRenewableCapacityTarget__NEMOcc,share of nameplate,,
Transformation\Centralized Electricity Generation,Module Costs,U.S. Dollar,,
Transformation\Centralized Electricity Generation,Optimize,None,,
Transformation\Centralized Electricity Generation,PRM for Simulated Scenarios,percent,,
Transformation\Centralized Electricity Generation,Peak Load Ratio,Percent,,
Transformation\Centralized Electricity Generation,Planning Reserve Margin,Percent,,
Transformation\Centralized Electricity Generation,Renewable Target,Percent,,
Transformation\Centralized Electricity Generation,RenewableCapacityTarget__NEMOcc,share of nameplate,,
Transformation\Centralized Electricity Generation,Use Addition Size,None,,
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Export Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Import Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Output Price,U.S. Dollar,,Kilowatt-Hour
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Output Share,Share,%,
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Shortfall Rule,None,,
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Surplus Rule,None,,
Transformation\Centralized Electricity Generation\Output Fuels\Electricity,Usage Rule,None,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Annual Storage Carryover,Yes/No,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Additions,MW,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Credit,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,MW,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,U.S. Dollar,Thousand,Megawatt
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatch Rule,None,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Dispatchable,Yes/No,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Endogenous Capacity,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Existing Capacity,MW,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Exogenous Capacity,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,First Simulation Year,Years,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,U.S. Dollar,Thousand,Megawatt
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Full Load Hours,Hours,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Historical Capacity Factor,percentage,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Historical Production,Gigawatt-Hour,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Hourly Storage Carryover,Yes/No,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Interest Rate,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Lifetime,Years,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Maximum Availability,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Maximum Capacity,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Maximum Capacity Addition,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Maximum Production,Gigajoule,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Maximum_Share_of_Production,%,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Merit Order,Merit Order,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Minimum Capacity,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Minimum Capacity Addition,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Minimum Charge,Share,%,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Minimum Production,Gigajoule,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Minimum Share of Production,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Minimum Utilization,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Node,ID,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Optimized New Capacity,Megawatt,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Share,Share,%,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Real Investment Cost,USD,Million,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Renewable Qualified,Percent,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Salvage Value,U.S. Dollar,Thousand,Megawatt
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Seasonal Storage Carryover,Yes/No,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Starting Charge,Share,%,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Stranded Cost,U.S. Dollar,,
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,U.S. Dollar,,Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,,Metric Tonne
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,,Metric Tonne
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,Metric Tonne
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
