Country,season,hour,hours,value_pct
Brunei,Wet,1,153,0.57599
Brunei,Wet,2,153,0.45268
Brunei,Wet,3,153,0.34235
Brunei,Wet,4,153,0.24935
Brunei,Wet,5,153,0.17479
Brunei,Wet,6,153,0.12459
Brunei,Wet,7,153,0.08547
Brunei,Wet,8,153,0.19579
Brunei,Wet,9,153,0.90696
Brunei,Wet,10,153,1.83364
Brunei,Wet,11,153,2.62178
Brunei,Wet,12,153,3.2409
Brunei,Wet,13,153,3.59176
Brunei,Wet,14,153,3.60266
Brunei,Wet,15,153,3.27955
Brunei,Wet,16,153,2.89791
Brunei,Wet,17,153,2.52637
Brunei,Wet,18,153,2.07738
Brunei,Wet,19,153,1.49626
Brunei,Wet,20,153,1.08992
Brunei,Wet,21,153,1.16962
Brunei,Wet,22,153,1.0362
Brunei,Wet,23,153,0.8526
Brunei,Wet,24,153,0.69641
Brunei,Dry,1,212,1.31459
Brunei,Dry,2,212,1.10685
Brunei,Dry,3,212,0.88329
Brunei,Dry,4,212,0.70911
Brunei,Dry,5,212,0.56863
Brunei,Dry,6,212,0.44682
Brunei,Dry,7,212,0.34648
Brunei,Dry,8,212,0.77433
Brunei,Dry,9,212,2.01115
Brunei,Dry,10,212,3.30489
Brunei,Dry,11,212,4.42021
Brunei,Dry,12,212,5.26822
Brunei,Dry,13,212,5.77869
Brunei,Dry,14,212,5.91571
Brunei,Dry,15,212,5.50009
Brunei,Dry,16,212,5.07585
Brunei,Dry,17,212,4.55911
Brunei,Dry,18,212,3.8776
Brunei,Dry,19,212,2.9929
Brunei,Dry,20,212,2.18298
Brunei,Dry,21,212,2.41674
Brunei,Dry,22,212,2.07951
Brunei,Dry,23,212,1.79166
Brunei,Dry,24,212,1.55367
Cambodia,Wet,1,153,0.74637
Cambodia,Wet,2,153,0.59296
Cambodia,Wet,3,153,0.44957
Cambodia,Wet,4,153,0.33844
Cambodia,Wet,5,153,0.25441
Cambodia,Wet,6,153,0.19885
Cambodia,Wet,7,153,0.15594
Cambodia,Wet,8,153,0.36438
Cambodia,Wet,9,153,0.7897
Cambodia,Wet,10,153,1.33869
Cambodia,Wet,11,153,1.91425
Cambodia,Wet,12,153,2.44575
Cambodia,Wet,13,153,2.88393
Cambodia,Wet,14,153,3.18874
Cambodia,Wet,15,153,3.33571
Cambodia,Wet,16,153,3.35068
Cambodia,Wet,17,153,3.18969
Cambodia,Wet,18,153,2.78725
Cambodia,Wet,19,153,2.07462
Cambodia,Wet,20,153,1.79311
Cambodia,Wet,21,153,1.62621
Cambodia,Wet,22,153,1.36484
Cambodia,Wet,23,153,1.13225
Cambodia,Wet,24,153,0.93035
Cambodia,Dry,1,212,1.53893
Cambodia,Dry,2,212,1.36358
Cambodia,Dry,3,212,1.21411
Cambodia,Dry,4,212,1.08856
Cambodia,Dry,5,212,0.98475
Cambodia,Dry,6,212,0.89703
Cambodia,Dry,7,212,0.89033
Cambodia,Dry,8,212,1.60047
Cambodia,Dry,9,212,2.40142
Cambodia,Dry,10,212,3.20887
Cambodia,Dry,11,212,3.91344
Cambodia,Dry,12,212,4.46999
Cambodia,Dry,13,212,4.83068
Cambodia,Dry,14,212,4.89201
Cambodia,Dry,15,212,4.58874
Cambodia,Dry,16,212,4.16888
Cambodia,Dry,17,212,3.72367
Cambodia,Dry,18,212,3.28495
Cambodia,Dry,19,212,2.74005
Cambodia,Dry,20,212,2.70603
Cambodia,Dry,21,212,2.41534
Cambodia,Dry,22,212,2.15866
Cambodia,Dry,23,212,1.9392
Cambodia,Dry,24,212,1.73365
Indonesia,Wet,1,153,0.4138
Indonesia,Wet,2,153,0.30856
Indonesia,Wet,3,153,0.22731
Indonesia,Wet,4,153,0.16369
Indonesia,Wet,5,153,0.10842
Indonesia,Wet,6,153,0.07144
Indonesia,Wet,7,153,0.09238
Indonesia,Wet,8,153,0.69717
Indonesia,Wet,9,153,1.61251
Indonesia,Wet,10,153,2.42208
Indonesia,Wet,11,153,3.05842
Indonesia,Wet,12,153,3.50336
Indonesia,Wet,13,153,3.61377
Indonesia,Wet,14,153,3.37188
Indonesia,Wet,15,153,3.1003
Indonesia,Wet,16,153,2.83786
Indonesia,Wet,17,153,2.49538
Indonesia,Wet,18,153,2.03665
Indonesia,Wet,19,153,1.52159
Indonesia,Wet,20,153,1.2846
Indonesia,Wet,21,153,1.11044
Indonesia,Wet,22,153,0.90288
Indonesia,Wet,23,153,0.71348
Indonesia,Wet,24,153,0.55853
Indonesia,Dry,1,212,0.7805
Indonesia,Dry,2,212,0.56656
Indonesia,Dry,3,212,0.38889
Indonesia,Dry,4,212,0.2711
Indonesia,Dry,5,212,0.18194
Indonesia,Dry,6,212,0.11961
Indonesia,Dry,7,212,0.10859
Indonesia,Dry,8,212,1.0805
Indonesia,Dry,9,212,2.78146
Indonesia,Dry,10,212,4.21586
Indonesia,Dry,11,212,5.31347
Indonesia,Dry,12,212,6.07181
Indonesia,Dry,13,212,6.36286
Indonesia,Dry,14,212,6.01622
Indonesia,Dry,15,212,5.47947
Indonesia,Dry,16,212,5.04367
Indonesia,Dry,17,212,4.46286
Indonesia,Dry,18,212,3.65747
Indonesia,Dry,19,212,2.6393
Indonesia,Dry,20,212,2.28631
Indonesia,Dry,21,212,2.00264
Indonesia,Dry,22,212,1.62412
Indonesia,Dry,23,212,1.29885
Indonesia,Dry,24,212,1.01946
Laos,Wet,1,153,0.3592
Laos,Wet,2,153,0.27026
Laos,Wet,3,153,0.18432
Laos,Wet,4,153,0.1298
Laos,Wet,5,153,0.08963
Laos,Wet,6,153,0.06135
Laos,Wet,7,153,0.04659
Laos,Wet,8,153,0.10562
Laos,Wet,9,153,0.29403
Laos,Wet,10,153,0.6602
Laos,Wet,11,153,1.18801
Laos,Wet,12,153,1.81788
Laos,Wet,13,153,2.40662
Laos,Wet,14,153,2.85655
Laos,Wet,15,153,3.12189
Laos,Wet,16,153,3.20086
Laos,Wet,17,153,3.04169
Laos,Wet,18,153,2.4524
Laos,Wet,19,153,1.41263
Laos,Wet,20,153,1.1503
Laos,Wet,21,153,0.99372
Laos,Wet,22,153,0.73111
Laos,Wet,23,153,0.60473
Laos,Wet,24,153,0.46386
Laos,Dry,1,212,1.68918
Laos,Dry,2,212,1.41827
Laos,Dry,3,212,1.18837
Laos,Dry,4,212,0.99361
Laos,Dry,5,212,0.83598
Laos,Dry,6,212,0.71815
Laos,Dry,7,212,0.66806
Laos,Dry,8,212,1.346
Laos,Dry,9,212,2.21217
Laos,Dry,10,212,3.114
Laos,Dry,11,212,3.98551
Laos,Dry,12,212,4.74882
Laos,Dry,13,212,5.30039
Laos,Dry,14,212,5.63342
Laos,Dry,15,212,5.72586
Laos,Dry,16,212,5.60643
Laos,Dry,17,212,5.29438
Laos,Dry,18,212,4.69979
Laos,Dry,19,212,3.79716
Laos,Dry,20,212,3.42592
Laos,Dry,21,212,3.02076
Laos,Dry,22,212,2.64205
Laos,Dry,23,212,2.30741
Laos,Dry,24,212,1.98507
Malaysia,Wet,1,153,0.81645
Malaysia,Wet,2,153,0.65261
Malaysia,Wet,3,153,0.50381
Malaysia,Wet,4,153,0.37044
