Country,Size_group,fleh_hours,unit_capacity_kw
Brunei,Small,3583.7,0.2184
Brunei,Medium,3583.7,0.3172
Brunei,Large,3583.7,0.5203
Cambodia,Small,4333.6,0.1806
Cambodia,Medium,4333.6,0.2623
Cambodia,Large,4333.6,0.4303
Indonesia,Small,3331.8,0.2349
Indonesia,Medium,3331.8,0.3411
Indonesia,Large,3331.8,0.5597
Laos,Small,3702.5,0.2114
Laos,Medium,3702.5,0.307
Laos,Large,3702.5,0.5036
Malaysia,Small,3978.9,0.1967
Malaysia,Medium,3978.9,0.2857
Malaysia,Large,3978.9,0.4686
Myanmar,Small,3658.2,0.2139
Myanmar,Medium,3658.2,0.3107
Myanmar,Large,3658.2,0.5097
Philippines,Small,4490.9,0.1743
Philippines,Medium,4490.9,0.2531
Philippines,Large,4490.9,0.4152
Singapore,Small,4321.7,0.1811
Singapore,Medium,4321.7,0.263
Singapore,Large,4321.7,0.4315
Thailand,Small,4610.4,0.1697
Thailand,Medium,4610.4,0.2465
Thailand,Large,4610.4,0.4045
Vietnam,Small,3697.5,0.2117
Vietnam,Medium,3697.5,0.3074
Vietnam,Large,3697.5,0.5043
