Country,Year,Size_group,Efficiency_level,device_thousand
Brunei Darussalam,2005,Large,High_eff,37.0969
Brunei Darussalam,2006,Large,High_eff,37.713
Brunei Darussalam,2007,Large,High_eff,38.3139
Brunei Darussalam,2008,Large,High_eff,38.9026
Brunei Darussalam,2009,Large,High_eff,39.4832
Brunei Darussalam,2010,Large,High_eff,40.0639
Brunei Darussalam,2011,Large,High_eff,40.6162
Brunei Darussalam,2012,Large,High_eff,41.1342
Brunei Darussalam,2013,Large,High_eff,41.647
Brunei Darussalam,2014,Large,High_eff,42.1488
Brunei Darussalam,2015,Large,High_eff,42.2679
Brunei Darussalam,2016,Large,High_eff,42.1718
Brunei Darussalam,2017,Large,High_eff,42.5965
Brunei Darussalam,2018,Large,High_eff,42.8038
Brunei Darussalam,2019,Large,High_eff,43.7445
Brunei Darussalam,2020,Large,High_eff,44.1119
Brunei Darussalam,2021,Large,High_eff,44.0904
Brunei Darussalam,2022,Large,High_eff,43.8674
Brunei Darussalam,2023,Large,High_eff,44.407
Brunei Darussalam,2024,Large,High_eff,45.3259
Brunei Darussalam,2025,Large,High_eff,46.04
Brunei Darussalam,2026,Large,High_eff,43.2197
Brunei Darussalam,2027,Large,High_eff,40.3796
Brunei Darussalam,2028,Large,High_eff,37.5252
Brunei Darussalam,2029,Large,High_eff,34.6652
Brunei Darussalam,2030,Large,High_eff,31.8115
Brunei Darussalam,2031,Large,High_eff,28.9791
Brunei Darussalam,2032,Large,High_eff,26.1853
Brunei Darussalam,2033,Large,High_eff,23.4503
Brunei Darussalam,2034,Large,High_eff,20.7956
Brunei Darussalam,2035,Large,High_eff,18.2443
Brunei Darussalam,2036,Large,High_eff,15.8194
Brunei Darussalam,2037,Large,High_eff,13.543
Brunei Darussalam,2038,Large,High_eff,11.4352
Brunei Darussalam,2039,Large,High_eff,9.5125
Brunei Darussalam,2040,Large,High_eff,7.7872
Brunei Darussalam,2041,Large,High_eff,6.266
Brunei Darussalam,2042,Large,High_eff,4.9502
Brunei Darussalam,2043,Large,High_eff,3.8348
Brunei Darussalam,2044,Large,High_eff,2.9095
Brunei Darussalam,2045,Large,High_eff,2.1593
Brunei Darussalam,2046,Large,High_eff,1.5656
Brunei Darussalam,2047,Large,High_eff,1.1075
Brunei Darussalam,2048,Large,High_eff,0.7635
Brunei Darussalam,2049,Large,High_eff,0.5122
Brunei Darussalam,2050,Large,High_eff,0.3339
Brunei Darussalam,2051,Large,High_eff,0.2113
Brunei Darussalam,2052,Large,High_eff,0.1297
Brunei Darussalam,2053,Large,High_eff,0.077
Brunei Darussalam,2054,Large,High_eff,0.0442
Brunei Darussalam,2055,Large,High_eff,0.0245
Brunei Darussalam,2056,Large,High_eff,0.0131
Brunei Darussalam,2057,Large,High_eff,0.0067
Brunei Darussalam,2058,Large,High_eff,0.0033
Brunei Darussalam,2059,Large,High_eff,0.0016
Brunei Darussalam,2060,Large,High_eff,0.0007
Brunei Darussalam,2005,Large,Low_eff,27.1781
Brunei Darussalam,2006,Large,Low_eff,27.6294
Brunei Darussalam,2007,Large,Low_eff,28.0696
Brunei Darussalam,2008,Large,Low_eff,28.501
Brunei Darussalam,2009,Large,Low_eff,28.9264
Brunei Darussalam,2010,Large,Low_eff,29.3518
Brunei Darussalam,2011,Large,Low_eff,29.7564
Brunei Darussalam,2012,Large,Low_eff,30.1359
Brunei Darussalam,2013,Large,Low_eff,30.5116
Brunei Darussalam,2014,Large,Low_eff,30.8792
Brunei Darussalam,2015,Large,Low_eff,30.9665
Brunei Darussalam,2016,Large,Low_eff,30.8961
Brunei Darussalam,2017,Large,Low_eff,31.2072
Brunei Darussalam,2018,Large,Low_eff,31.3591
Brunei Darussalam,2019,Large,Low_eff,32.0482
Brunei Darussalam,2020,Large,Low_eff,32.3175
Brunei Darussalam,2021,Large,Low_eff,32.3017
Brunei Darussalam,2022,Large,Low_eff,32.1383
Brunei Darussalam,2023,Large,Low_eff,32.5336
Brunei Darussalam,2024,Large,Low_eff,33.2069
Brunei Darussalam,2025,Large,Low_eff,33.73
Brunei Darussalam,2026,Large,Low_eff,31.6638
Brunei Darussalam,2027,Large,Low_eff,29.583
Brunei Darussalam,2028,Large,Low_eff,27.4918
Brunei Darussalam,2029,Large,Low_eff,25.3965
Brunei Darussalam,2030,Large,Low_eff,23.3059
Brunei Darussalam,2031,Large,Low_eff,21.2308
Brunei Darussalam,2032,Large,Low_eff,19.184
Brunei Darussalam,2033,Large,Low_eff,17.1802
Brunei Darussalam,2034,Large,Low_eff,15.2354
Brunei Darussalam,2035,Large,Low_eff,13.3662
Brunei Darussalam,2036,Large,Low_eff,11.5897
Brunei Darussalam,2037,Large,Low_eff,9.9219
Brunei Darussalam,2038,Large,Low_eff,8.3777
Brunei Darussalam,2039,Large,Low_eff,6.9691
Brunei Darussalam,2040,Large,Low_eff,5.705
Brunei Darussalam,2041,Large,Low_eff,4.5906
Brunei Darussalam,2042,Large,Low_eff,3.6266
Brunei Darussalam,2043,Large,Low_eff,2.8094
Brunei Darussalam,2044,Large,Low_eff,2.1316
Brunei Darussalam,2045,Large,Low_eff,1.5819
Brunei Darussalam,2046,Large,Low_eff,1.147
Brunei Darussalam,2047,Large,Low_eff,0.8114
Brunei Darussalam,2048,Large,Low_eff,0.5593
Brunei Darussalam,2049,Large,Low_eff,0.3752
Brunei Darussalam,2050,Large,Low_eff,0.2447
Brunei Darussalam,2051,Large,Low_eff,0.1548
Brunei Darussalam,2052,Large,Low_eff,0.095
Brunei Darussalam,2053,Large,Low_eff,0.0564
Brunei Darussalam,2054,Large,Low_eff,0.0324
Brunei Darussalam,2055,Large,Low_eff,0.018
Brunei Darussalam,2056,Large,Low_eff,0.0096
Brunei Darussalam,2057,Large,Low_eff,0.0049
Brunei Darussalam,2058,Large,Low_eff,0.0024
Brunei Darussalam,2059,Large,Low_eff,0.0012
Brunei Darussalam,2060,Large,Low_eff,0.0005
Brunei Darussalam,2005,Large,Mid_eff,38.8373
Brunei Darussalam,2006,Large,Mid_eff,39.4823
Brunei Darussalam,2007,Large,Mid_eff,40.1114
Brunei Darussalam,2008,Large,Mid_eff,40.7277
Brunei Darussalam,2009,Large,Mid_eff,41.3356
Brunei Darussalam,2010,Large,Mid_eff,41.9435
Brunei Darussalam,2011,Large,Mid_eff,42.5218
Brunei Darussalam,2012,Large,Mid_eff,43.064
Brunei Darussalam,2013,Large,Mid_eff,43.6009
Brunei Darussalam,2014,Large,Mid_eff,44.1262
Brunei Darussalam,2015,Large,Mid_eff,44.251
Brunei Darussalam,2016,Large,Mid_eff,44.1503
Brunei Darussalam,2017,Large,Mid_eff,44.595
Brunei Darussalam,2018,Large,Mid_eff,44.8119
Brunei Darussalam,2019,Large,Mid_eff,45.7968
Brunei Darussalam,2020,Large,Mid_eff,46.1815
Brunei Darussalam,2021,Large,Mid_eff,46.1589
Brunei Darussalam,2022,Large,Mid_eff,45.9255
Brunei Darussalam,2023,Large,Mid_eff,46.4903
Brunei Darussalam,2024,Large,Mid_eff,47.4524
Brunei Darussalam,2025,Large,Mid_eff,48.2
Brunei Darussalam,2026,Large,Mid_eff,45.2474
Brunei Darussalam,2027,Large,Mid_eff,42.274
Brunei Darussalam,2028,Large,Mid_eff,39.2857
Brunei Darussalam,2029,Large,Mid_eff,36.2915
Brunei Darussalam,2030,Large,Mid_eff,33.304
Brunei Darussalam,2031,Large,Mid_eff,30.3386
Brunei Darussalam,2032,Large,Mid_eff,27.4138
Brunei Darussalam,2033,Large,Mid_eff,24.5504
Brunei Darussalam,2034,Large,Mid_eff,21.7713
Brunei Darussalam,2035,Large,Mid_eff,19.1003
Brunei Darussalam,2036,Large,Mid_eff,16.5616
Brunei Darussalam,2037,Large,Mid_eff,14.1784
Brunei Darussalam,2038,Large,Mid_eff,11.9717
Brunei Darussalam,2039,Large,Mid_eff,9.9588
Brunei Darussalam,2040,Large,Mid_eff,8.1525
Brunei Darussalam,2041,Large,Mid_eff,6.56
Brunei Darussalam,2042,Large,Mid_eff,5.1824
Brunei Darussalam,2043,Large,Mid_eff,4.0147
Brunei Darussalam,2044,Large,Mid_eff,3.046
Brunei Darussalam,2045,Large,Mid_eff,2.2606
Brunei Darussalam,2046,Large,Mid_eff,1.639
Brunei Darussalam,2047,Large,Mid_eff,1.1595
Brunei Darussalam,2048,Large,Mid_eff,0.7993
Brunei Darussalam,2049,Large,Mid_eff,0.5362
Brunei Darussalam,2050,Large,Mid_eff,0.3496
Brunei Darussalam,2051,Large,Mid_eff,0.2213
