Country,Year,Size_group,Efficiency_level,device_thousand
Brunei Darussalam,2005,Large,High_eff,3.1297
Brunei Darussalam,2006,Large,High_eff,3.282
Brunei Darussalam,2007,Large,High_eff,3.4366
Brunei Darussalam,2008,Large,High_eff,3.5937
Brunei Darussalam,2009,Large,High_eff,3.7533
Brunei Darussalam,2010,Large,High_eff,3.9163
Brunei Darussalam,2011,Large,High_eff,4.0796
Brunei Darussalam,2012,Large,High_eff,4.2424
Brunei Darussalam,2013,Large,High_eff,4.4074
Brunei Darussalam,2014,Large,High_eff,4.5738
Brunei Darussalam,2015,Large,High_eff,4.7406
Brunei Darussalam,2016,Large,High_eff,4.9071
Brunei Darussalam,2017,Large,High_eff,5.0727
Brunei Darussalam,2018,Large,High_eff,5.2364
Brunei Darussalam,2019,Large,High_eff,5.3993
Brunei Darussalam,2020,Large,High_eff,5.5623
Brunei Darussalam,2021,Large,High_eff,5.7261
Brunei Darussalam,2022,Large,High_eff,5.8909
Brunei Darussalam,2023,Large,High_eff,6.0554
Brunei Darussalam,2024,Large,High_eff,6.2185
Brunei Darussalam,2025,Large,High_eff,6.3802
Brunei Darussalam,2026,Large,High_eff,5.933
Brunei Darussalam,2027,Large,High_eff,5.4738
Brunei Darussalam,2028,Large,High_eff,5.0043
Brunei Darussalam,2029,Large,High_eff,4.5272
Brunei Darussalam,2030,Large,High_eff,4.0467
Brunei Darussalam,2031,Large,High_eff,3.5684
Brunei Darussalam,2032,Large,High_eff,3.0989
Brunei Darussalam,2033,Large,High_eff,2.6456
Brunei Darussalam,2034,Large,High_eff,2.2163
Brunei Darussalam,2035,Large,High_eff,1.8182
Brunei Darussalam,2036,Large,High_eff,1.4577
Brunei Darussalam,2037,Large,High_eff,1.1398
Brunei Darussalam,2038,Large,High_eff,0.8672
Brunei Darussalam,2039,Large,High_eff,0.6406
Brunei Darussalam,2040,Large,High_eff,0.4584
Brunei Darussalam,2041,Large,High_eff,0.317
Brunei Darussalam,2042,Large,High_eff,0.2114
Brunei Darussalam,2043,Large,High_eff,0.1355
Brunei Darussalam,2044,Large,High_eff,0.0834
Brunei Darussalam,2045,Large,High_eff,0.0491
Brunei Darussalam,2046,Large,High_eff,0.0276
Brunei Darussalam,2047,Large,High_eff,0.0148
Brunei Darussalam,2048,Large,High_eff,0.0075
Brunei Darussalam,2049,Large,High_eff,0.0036
Brunei Darussalam,2050,Large,High_eff,0.0016
Brunei Darussalam,2051,Large,High_eff,0.0007
Brunei Darussalam,2052,Large,High_eff,0.0003
Brunei Darussalam,2053,Large,High_eff,0.0001
Brunei Darussalam,2054,Large,High_eff,0.0
Brunei Darussalam,2055,Large,High_eff,0.0
Brunei Darussalam,2056,Large,High_eff,0.0
Brunei Darussalam,2057,Large,High_eff,0.0
Brunei Darussalam,2058,Large,High_eff,0.0
Brunei Darussalam,2059,Large,High_eff,0.0
Brunei Darussalam,2060,Large,High_eff,0.0
Brunei Darussalam,2005,Large,Low_eff,1.9978
Brunei Darussalam,2006,Large,Low_eff,2.095
Brunei Darussalam,2007,Large,Low_eff,2.1937
Brunei Darussalam,2008,Large,Low_eff,2.2939
Brunei Darussalam,2009,Large,Low_eff,2.3958
Brunei Darussalam,2010,Large,Low_eff,2.4999
Brunei Darussalam,2011,Large,Low_eff,2.6041
Brunei Darussalam,2012,Large,Low_eff,2.708
Brunei Darussalam,2013,Large,Low_eff,2.8134
Brunei Darussalam,2014,Large,Low_eff,2.9196
Brunei Darussalam,2015,Large,Low_eff,3.0261
Brunei Darussalam,2016,Large,Low_eff,3.1324
Brunei Darussalam,2017,Large,Low_eff,3.238
Brunei Darussalam,2018,Large,Low_eff,3.3426
Brunei Darussalam,2019,Large,Low_eff,3.4465
Brunei Darussalam,2020,Large,Low_eff,3.5505
Brunei Darussalam,2021,Large,Low_eff,3.6551
Brunei Darussalam,2022,Large,Low_eff,3.7603
Brunei Darussalam,2023,Large,Low_eff,3.8653
Brunei Darussalam,2024,Large,Low_eff,3.9694
Brunei Darussalam,2025,Large,Low_eff,4.0727
Brunei Darussalam,2026,Large,Low_eff,3.7872
Brunei Darussalam,2027,Large,Low_eff,3.4941
Brunei Darussalam,2028,Large,Low_eff,3.1944
Brunei Darussalam,2029,Large,Low_eff,2.8899
Brunei Darussalam,2030,Large,Low_eff,2.5831
Brunei Darussalam,2031,Large,Low_eff,2.2778
Brunei Darussalam,2032,Large,Low_eff,1.9781
Brunei Darussalam,2033,Large,Low_eff,1.6888
Brunei Darussalam,2034,Large,Low_eff,1.4147
Brunei Darussalam,2035,Large,Low_eff,1.1606
Brunei Darussalam,2036,Large,Low_eff,0.9305
Brunei Darussalam,2037,Large,Low_eff,0.7276
Brunei Darussalam,2038,Large,Low_eff,0.5536
Brunei Darussalam,2039,Large,Low_eff,0.409
Brunei Darussalam,2040,Large,Low_eff,0.2926
Brunei Darussalam,2041,Large,Low_eff,0.2024
Brunei Darussalam,2042,Large,Low_eff,0.1349
Brunei Darussalam,2043,Large,Low_eff,0.0865
Brunei Darussalam,2044,Large,Low_eff,0.0532
Brunei Darussalam,2045,Large,Low_eff,0.0313
Brunei Darussalam,2046,Large,Low_eff,0.0176
Brunei Darussalam,2047,Large,Low_eff,0.0094
Brunei Darussalam,2048,Large,Low_eff,0.0048
Brunei Darussalam,2049,Large,Low_eff,0.0023
Brunei Darussalam,2050,Large,Low_eff,0.0011
Brunei Darussalam,2051,Large,Low_eff,0.0005
Brunei Darussalam,2052,Large,Low_eff,0.0002
Brunei Darussalam,2053,Large,Low_eff,0.0001
Brunei Darussalam,2054,Large,Low_eff,0.0
Brunei Darussalam,2055,Large,Low_eff,0.0
Brunei Darussalam,2056,Large,Low_eff,0.0
Brunei Darussalam,2057,Large,Low_eff,0.0
Brunei Darussalam,2058,Large,Low_eff,0.0
Brunei Darussalam,2059,Large,Low_eff,0.0
Brunei Darussalam,2060,Large,Low_eff,0.0
Brunei Darussalam,2005,Large,Mid_eff,2.5004
Brunei Darussalam,2006,Large,Mid_eff,2.6221
Brunei Darussalam,2007,Large,Mid_eff,2.7456
Brunei Darussalam,2008,Large,Mid_eff,2.871
Brunei Darussalam,2009,Large,Mid_eff,2.9986
Brunei Darussalam,2010,Large,Mid_eff,3.1288
Brunei Darussalam,2011,Large,Mid_eff,3.2593
Brunei Darussalam,2012,Large,Mid_eff,3.3894
Brunei Darussalam,2013,Large,Mid_eff,3.5212
Brunei Darussalam,2014,Large,Mid_eff,3.6541
Brunei Darussalam,2015,Large,Mid_eff,3.7874
Brunei Darussalam,2016,Large,Mid_eff,3.9204
Brunei Darussalam,2017,Large,Mid_eff,4.0527
Brunei Darussalam,2018,Large,Mid_eff,4.1835
Brunei Darussalam,2019,Large,Mid_eff,4.3136
Brunei Darussalam,2020,Large,Mid_eff,4.4438
Brunei Darussalam,2021,Large,Mid_eff,4.5747
Brunei Darussalam,2022,Large,Mid_eff,4.7064
Brunei Darussalam,2023,Large,Mid_eff,4.8378
Brunei Darussalam,2024,Large,Mid_eff,4.9681
Brunei Darussalam,2025,Large,Mid_eff,5.0973
Brunei Darussalam,2026,Large,Mid_eff,4.74
Brunei Darussalam,2027,Large,Mid_eff,4.3732
Brunei Darussalam,2028,Large,Mid_eff,3.9981
Brunei Darussalam,2029,Large,Mid_eff,3.6169
Brunei Darussalam,2030,Large,Mid_eff,3.233
Brunei Darussalam,2031,Large,Mid_eff,2.8509
Brunei Darussalam,2032,Large,Mid_eff,2.4758
Brunei Darussalam,2033,Large,Mid_eff,2.1137
Brunei Darussalam,2034,Large,Mid_eff,1.7706
Brunei Darussalam,2035,Large,Mid_eff,1.4526
Brunei Darussalam,2036,Large,Mid_eff,1.1646
Brunei Darussalam,2037,Large,Mid_eff,0.9106
Brunei Darussalam,2038,Large,Mid_eff,0.6928
Brunei Darussalam,2039,Large,Mid_eff,0.5118
Brunei Darussalam,2040,Large,Mid_eff,0.3662
Brunei Darussalam,2041,Large,Mid_eff,0.2533
Brunei Darussalam,2042,Large,Mid_eff,0.1689
Brunei Darussalam,2043,Large,Mid_eff,0.1083
Brunei Darussalam,2044,Large,Mid_eff,0.0666
Brunei Darussalam,2045,Large,Mid_eff,0.0392
Brunei Darussalam,2046,Large,Mid_eff,0.022
Brunei Darussalam,2047,Large,Mid_eff,0.0118
Brunei Darussalam,2048,Large,Mid_eff,0.006
Brunei Darussalam,2049,Large,Mid_eff,0.0029
Brunei Darussalam,2050,Large,Mid_eff,0.0013
Brunei Darussalam,2051,Large,Mid_eff,0.0006
Brunei Darussalam,2052,Large,Mid_eff,0.0002
Brunei Darussalam,2053,Large,Mid_eff,0.0001
Brunei Darussalam,2054,Large,Mid_eff,0.0
Brunei Darussalam,2055,Large,Mid_eff,0.0
Brunei Darussalam,2056,Large,Mid_eff,0.0
