Country,Tech,watts,source
Brunei Darussalam,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Brunei Darussalam,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Brunei Darussalam,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Brunei Darussalam,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Brunei Darussalam,LED,7.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Cambodia,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Cambodia,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Cambodia,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Cambodia,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Cambodia,LED,8.25,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Indonesia,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Indonesia,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Indonesia,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Indonesia,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Indonesia,LED,12.46,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Lao PDR,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Lao PDR,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Lao PDR,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Lao PDR,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Lao PDR,LED,12.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Malaysia,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Malaysia,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Malaysia,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Malaysia,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Malaysia,LED,10.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Myanmar,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Myanmar,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Myanmar,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Myanmar,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Myanmar,LED,13.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Philippines,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Philippines,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Philippines,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Philippines,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Philippines,LED,9.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Singapore,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Singapore,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Singapore,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Singapore,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Singapore,LED,9.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Thailand,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Thailand,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Thailand,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Thailand,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Thailand,LED,9.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
Viet Nam,Incandescent,60.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Viet Nam,CFL,14.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Viet Nam,Fluorescent,32.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Viet Nam,Halogen,42.0,"US DOE Lighting Facts / ENERGY STAR typical residential lamp wattages + UNEP U4E lamp-class conventions (60W-incandescent-equivalent, ~800 lm)"
Viet Nam,LED,12.0,"Median residential LED-lamp wattage per AMS from lighting_catalogue_v1.csv (Stage 3 classified detail, Size_group=Lamp)"
