Country,Year,Scenario,Tech,share_percent,source
Brunei Darussalam,2025,BAS,Incandescent,4.0,projected
Brunei Darussalam,2025,BAS,CFL,10.0,projected
Brunei Darussalam,2025,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2025,BAS,Halogen,4.0,projected
Brunei Darussalam,2025,BAS,LED,72.0,projected
Brunei Darussalam,2026,BAS,Incandescent,4.0,projected
Brunei Darussalam,2026,BAS,CFL,10.0,projected
Brunei Darussalam,2026,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2026,BAS,Halogen,4.0,projected
Brunei Darussalam,2026,BAS,LED,72.0,projected
Brunei Darussalam,2027,BAS,Incandescent,4.0,projected
Brunei Darussalam,2027,BAS,CFL,10.0,projected
Brunei Darussalam,2027,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2027,BAS,Halogen,4.0,projected
Brunei Darussalam,2027,BAS,LED,72.0,projected
Brunei Darussalam,2028,BAS,Incandescent,4.0,projected
Brunei Darussalam,2028,BAS,CFL,10.0,projected
Brunei Darussalam,2028,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2028,BAS,Halogen,4.0,projected
Brunei Darussalam,2028,BAS,LED,72.0,projected
Brunei Darussalam,2029,BAS,Incandescent,4.0,projected
Brunei Darussalam,2029,BAS,CFL,10.0,projected
Brunei Darussalam,2029,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2029,BAS,Halogen,4.0,projected
Brunei Darussalam,2029,BAS,LED,72.0,projected
Brunei Darussalam,2030,BAS,Incandescent,4.0,projected
Brunei Darussalam,2030,BAS,CFL,10.0,projected
Brunei Darussalam,2030,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2030,BAS,Halogen,4.0,projected
Brunei Darussalam,2030,BAS,LED,72.0,projected
Brunei Darussalam,2031,BAS,Incandescent,4.0,projected
Brunei Darussalam,2031,BAS,CFL,10.0,projected
Brunei Darussalam,2031,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2031,BAS,Halogen,4.0,projected
Brunei Darussalam,2031,BAS,LED,72.0,projected
Brunei Darussalam,2032,BAS,Incandescent,4.0,projected
Brunei Darussalam,2032,BAS,CFL,10.0,projected
Brunei Darussalam,2032,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2032,BAS,Halogen,4.0,projected
Brunei Darussalam,2032,BAS,LED,72.0,projected
Brunei Darussalam,2033,BAS,Incandescent,4.0,projected
Brunei Darussalam,2033,BAS,CFL,10.0,projected
Brunei Darussalam,2033,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2033,BAS,Halogen,4.0,projected
Brunei Darussalam,2033,BAS,LED,72.0,projected
Brunei Darussalam,2034,BAS,Incandescent,4.0,projected
Brunei Darussalam,2034,BAS,CFL,10.0,projected
Brunei Darussalam,2034,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2034,BAS,Halogen,4.0,projected
Brunei Darussalam,2034,BAS,LED,72.0,projected
Brunei Darussalam,2035,BAS,Incandescent,4.0,projected
Brunei Darussalam,2035,BAS,CFL,10.0,projected
Brunei Darussalam,2035,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2035,BAS,Halogen,4.0,projected
Brunei Darussalam,2035,BAS,LED,72.0,projected
Brunei Darussalam,2036,BAS,Incandescent,4.0,projected
Brunei Darussalam,2036,BAS,CFL,10.0,projected
Brunei Darussalam,2036,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2036,BAS,Halogen,4.0,projected
Brunei Darussalam,2036,BAS,LED,72.0,projected
Brunei Darussalam,2037,BAS,Incandescent,4.0,projected
Brunei Darussalam,2037,BAS,CFL,10.0,projected
Brunei Darussalam,2037,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2037,BAS,Halogen,4.0,projected
Brunei Darussalam,2037,BAS,LED,72.0,projected
Brunei Darussalam,2038,BAS,Incandescent,4.0,projected
Brunei Darussalam,2038,BAS,CFL,10.0,projected
Brunei Darussalam,2038,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2038,BAS,Halogen,4.0,projected
Brunei Darussalam,2038,BAS,LED,72.0,projected
Brunei Darussalam,2039,BAS,Incandescent,4.0,projected
Brunei Darussalam,2039,BAS,CFL,10.0,projected
Brunei Darussalam,2039,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2039,BAS,Halogen,4.0,projected
Brunei Darussalam,2039,BAS,LED,72.0,projected
Brunei Darussalam,2040,BAS,Incandescent,4.0,projected
Brunei Darussalam,2040,BAS,CFL,10.0,projected
Brunei Darussalam,2040,BAS,Fluorescent,10.0,projected
