ams,branch,variable,expression,unit,scenario,source,note
Brunei,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 3129.7, 2006, 3282, 2007, 3436.6, 2008, 3593.7, 2009, 3753.3, 2010, 3916.3, 2011, 4079.6, 2012, 4242.4, 2013, 4407.4, 2014, 4573.8, 2015, 4740.6, 2016, 4907.1, 2017, 5072.7, 2018, 5236.4, 2019, 5399.3, 2020, 5562.3, 2021, 5726.1, 2022, 5890.9, 2023, 6055.4, 2024, 6218.5, 2025, 6380.2)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 1997.8, 2006, 2095, 2007, 2193.7, 2008, 2293.9, 2009, 2395.8, 2010, 2499.9, 2011, 2604.1, 2012, 2708, 2013, 2813.4, 2014, 2919.6, 2015, 3026.1, 2016, 3132.4, 2017, 3238, 2018, 3342.6, 2019, 3446.5, 2020, 3550.5, 2021, 3655.1, 2022, 3760.3, 2023, 3865.3, 2024, 3969.4, 2025, 4072.7)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 2500.4, 2006, 2622.1, 2007, 2745.6, 2008, 2871, 2009, 2998.6, 2010, 3128.8, 2011, 3259.3, 2012, 3389.4, 2013, 3521.2, 2014, 3654.1, 2015, 3787.4, 2016, 3920.4, 2017, 4052.7, 2018, 4183.5, 2019, 4313.6, 2020, 4443.8, 2021, 4574.7, 2022, 4706.4, 2023, 4837.8, 2024, 4968.1, 2025, 5097.3)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
