Country,Year,Size_group,Efficiency_level,device_thousand
Brunei Darussalam,2005,Large,High_eff,3.1297
Brunei Darussalam,2005,Large,Low_eff,1.9978
Brunei Darussalam,2005,Large,Mid_eff,2.5004
Brunei Darussalam,2005,Medium,High_eff,0.0
Brunei Darussalam,2005,Medium,Low_eff,0.0
Brunei Darussalam,2005,Medium,Mid_eff,19.5935
Brunei Darussalam,2005,Small,High_eff,0.0
Brunei Darussalam,2005,Small,Low_eff,15.015
Brunei Darussalam,2005,Small,Mid_eff,0.0
Brunei Darussalam,2006,Large,High_eff,3.282
Brunei Darussalam,2006,Large,Low_eff,2.095
Brunei Darussalam,2006,Large,Mid_eff,2.6221
Brunei Darussalam,2006,Medium,High_eff,0.0
Brunei Darussalam,2006,Medium,Low_eff,0.0
Brunei Darussalam,2006,Medium,Mid_eff,20.5469
Brunei Darussalam,2006,Small,High_eff,0.0
Brunei Darussalam,2006,Small,Low_eff,15.7457
Brunei Darussalam,2006,Small,Mid_eff,0.0
Brunei Darussalam,2007,Large,High_eff,3.4366
Brunei Darussalam,2007,Large,Low_eff,2.1937
Brunei Darussalam,2007,Large,Mid_eff,2.7456
Brunei Darussalam,2007,Medium,High_eff,0.0
Brunei Darussalam,2007,Medium,Low_eff,0.0
Brunei Darussalam,2007,Medium,Mid_eff,21.5148
Brunei Darussalam,2007,Small,High_eff,0.0
Brunei Darussalam,2007,Small,Low_eff,16.4874
Brunei Darussalam,2007,Small,Mid_eff,0.0
Brunei Darussalam,2008,Large,High_eff,3.5937
Brunei Darussalam,2008,Large,Low_eff,2.2939
Brunei Darussalam,2008,Large,Mid_eff,2.871
Brunei Darussalam,2008,Medium,High_eff,0.0
Brunei Darussalam,2008,Medium,Low_eff,0.0
Brunei Darussalam,2008,Medium,Mid_eff,22.4979
Brunei Darussalam,2008,Small,High_eff,0.0
Brunei Darussalam,2008,Small,Low_eff,17.2408
Brunei Darussalam,2008,Small,Mid_eff,0.0
Brunei Darussalam,2009,Large,High_eff,3.7533
Brunei Darussalam,2009,Large,Low_eff,2.3958
Brunei Darussalam,2009,Large,Mid_eff,2.9986
Brunei Darussalam,2009,Medium,High_eff,0.0
Brunei Darussalam,2009,Medium,Low_eff,0.0
Brunei Darussalam,2009,Medium,Mid_eff,23.4975
Brunei Darussalam,2009,Small,High_eff,0.0
Brunei Darussalam,2009,Small,Low_eff,18.0068
Brunei Darussalam,2009,Small,Mid_eff,0.0
Brunei Darussalam,2010,Large,High_eff,3.9163
Brunei Darussalam,2010,Large,Low_eff,2.4999
Brunei Darussalam,2010,Large,Mid_eff,3.1288
Brunei Darussalam,2010,Medium,High_eff,0.0
Brunei Darussalam,2010,Medium,Low_eff,0.0
Brunei Darussalam,2010,Medium,Mid_eff,24.5178
Brunei Darussalam,2010,Small,High_eff,0.0
Brunei Darussalam,2010,Small,Low_eff,18.7887
Brunei Darussalam,2010,Small,Mid_eff,0.0
Brunei Darussalam,2011,Large,High_eff,4.0796
Brunei Darussalam,2011,Large,Low_eff,2.6041
Brunei Darussalam,2011,Large,Mid_eff,3.2593
Brunei Darussalam,2011,Medium,High_eff,0.0
Brunei Darussalam,2011,Medium,Low_eff,0.0
Brunei Darussalam,2011,Medium,Mid_eff,25.5404
Brunei Darussalam,2011,Small,High_eff,0.0
Brunei Darussalam,2011,Small,Low_eff,19.5723
Brunei Darussalam,2011,Small,Mid_eff,0.0
Brunei Darussalam,2012,Large,High_eff,4.2424
Brunei Darussalam,2012,Large,Low_eff,2.708
Brunei Darussalam,2012,Large,Mid_eff,3.3894
Brunei Darussalam,2012,Medium,High_eff,0.0
Brunei Darussalam,2012,Medium,Low_eff,0.0
Brunei Darussalam,2012,Medium,Mid_eff,26.5595
Brunei Darussalam,2012,Small,High_eff,0.0
Brunei Darussalam,2012,Small,Low_eff,20.3533
Brunei Darussalam,2012,Small,Mid_eff,0.0
Brunei Darussalam,2013,Large,High_eff,4.4074
Brunei Darussalam,2013,Large,Low_eff,2.8134
Brunei Darussalam,2013,Large,Mid_eff,3.5212
Brunei Darussalam,2013,Medium,High_eff,0.0
Brunei Darussalam,2013,Medium,Low_eff,0.0
Brunei Darussalam,2013,Medium,Mid_eff,27.5923
Brunei Darussalam,2013,Small,High_eff,0.0
Brunei Darussalam,2013,Small,Low_eff,21.1448
Brunei Darussalam,2013,Small,Mid_eff,0.0
Brunei Darussalam,2014,Large,High_eff,4.5738
Brunei Darussalam,2014,Large,Low_eff,2.9196
Brunei Darussalam,2014,Large,Mid_eff,3.6541
Brunei Darussalam,2014,Medium,High_eff,0.0
Brunei Darussalam,2014,Medium,Low_eff,0.0
Brunei Darussalam,2014,Medium,Mid_eff,28.634
Brunei Darussalam,2014,Small,High_eff,0.0
Brunei Darussalam,2014,Small,Low_eff,21.9431
Brunei Darussalam,2014,Small,Mid_eff,0.0
Brunei Darussalam,2015,Large,High_eff,4.7406
