Country,Year,Scenario,Size_group,Efficiency_level,ownership_parent_pct,size_share_pct,eff_share_pct,leaf_ownership_pct,efficiency_pct,useful_energy_intensity_toe,kwh_unit,price_usd,crf,annualized_capital_usd,tariff_usd_per_kwh,om_electricity_usd,demand_cost_usd_per_hh,unit_capacity_kw,device_thousand,source
Brunei Darussalam,2014,ATS,Large,High_eff,98.25,18.060000000000002,41.02990033222591,7.28,100.0,0.0428804815133276,498.7,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,,projected
Brunei Darussalam,2014,ATS,Large,Low_eff,98.25,18.060000000000002,26.190476190476193,4.64,65.60978818576503,0.0428804815133276,760.1,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,,projected
Brunei Darussalam,2014,ATS,Large,Mid_eff,98.25,18.060000000000002,32.77962347729789,5.81,82.4297520661157,0.0428804815133276,605.0,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,,projected
Brunei Darussalam,2014,ATS,Medium,High_eff,98.25,46.39,41.0864410433283,18.73,100.0,0.03911435941530524,454.9,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,,projected
Brunei Darussalam,2014,ATS,Medium,Low_eff,98.25,46.39,26.277214917007974,11.98,68.52967761373908,0.03911435941530524,663.8,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,,projected
Brunei Darussalam,2014,ATS,Medium,Mid_eff,98.25,46.39,32.636344039663726,14.88,90.72596729158356,0.03911435941530524,501.4,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,,projected
Brunei Darussalam,2014,ATS,Small,High_eff,98.25,35.55,40.9282700421941,14.29,100.0,0.026242476354256233,305.2,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,,projected
Brunei Darussalam,2014,ATS,Small,Low_eff,98.25,35.55,46.63853727144866,16.29,58.85075202468183,0.026242476354256233,518.6,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,,projected
Brunei Darussalam,2014,ATS,Small,Mid_eff,98.25,35.55,12.433192686357245,4.34,86.33663366336634,0.026242476354256233,353.5,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,,projected
Brunei Darussalam,2015,ATS,Large,High_eff,98.27,18.060000000000002,41.02990033222591,7.28,100.0,0.0428804815133276,498.7,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,,projected
Brunei Darussalam,2015,ATS,Large,Low_eff,98.27,18.060000000000002,26.190476190476193,4.65,65.60978818576503,0.0428804815133276,760.1,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,,projected
Brunei Darussalam,2015,ATS,Large,Mid_eff,98.27,18.060000000000002,32.77962347729789,5.82,82.4297520661157,0.0428804815133276,605.0,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,,projected
Brunei Darussalam,2015,ATS,Medium,High_eff,98.27,46.39,41.0864410433283,18.73,100.0,0.03911435941530524,454.9,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,,projected
Brunei Darussalam,2015,ATS,Medium,Low_eff,98.27,46.39,26.277214917007974,11.98,68.52967761373908,0.03911435941530524,663.8,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,,projected
Brunei Darussalam,2015,ATS,Medium,Mid_eff,98.27,46.39,32.636344039663726,14.88,90.72596729158356,0.03911435941530524,501.4,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,,projected
Brunei Darussalam,2015,ATS,Small,High_eff,98.27,35.55,40.9282700421941,14.3,100.0,0.026242476354256233,305.2,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,,projected
Brunei Darussalam,2015,ATS,Small,Low_eff,98.27,35.55,46.63853727144866,16.3,58.85075202468183,0.026242476354256233,518.6,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,,projected
Brunei Darussalam,2015,ATS,Small,Mid_eff,98.27,35.55,12.433192686357245,4.35,86.33663366336634,0.026242476354256233,353.5,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,,projected
Brunei Darussalam,2016,ATS,Large,High_eff,98.29,18.060000000000002,41.02990033222591,7.28,100.0,0.0428804815133276,498.7,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,,projected
Brunei Darussalam,2016,ATS,Large,Low_eff,98.29,18.060000000000002,26.190476190476193,4.65,65.60978818576503,0.0428804815133276,760.1,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,,projected
Brunei Darussalam,2016,ATS,Large,Mid_eff,98.29,18.060000000000002,32.77962347729789,5.82,82.4297520661157,0.0428804815133276,605.0,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,,projected
Brunei Darussalam,2016,ATS,Medium,High_eff,98.29,46.39,41.0864410433283,18.74,100.0,0.03911435941530524,454.9,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,,projected
Brunei Darussalam,2016,ATS,Medium,Low_eff,98.29,46.39,26.277214917007974,11.98,68.52967761373908,0.03911435941530524,663.8,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,,projected
Brunei Darussalam,2016,ATS,Medium,Mid_eff,98.29,46.39,32.636344039663726,14.88,90.72596729158356,0.03911435941530524,501.4,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,,projected
Brunei Darussalam,2016,ATS,Small,High_eff,98.29,35.55,40.9282700421941,14.3,100.0,0.026242476354256233,305.2,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,,projected
Brunei Darussalam,2016,ATS,Small,Low_eff,98.29,35.55,46.63853727144866,16.3,58.85075202468183,0.026242476354256233,518.6,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,,projected
Brunei Darussalam,2016,ATS,Small,Mid_eff,98.29,35.55,12.433192686357245,4.35,86.33663366336634,0.026242476354256233,353.5,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,,projected
Brunei Darussalam,2017,ATS,Large,High_eff,98.3,18.060000000000002,41.02990033222591,7.28,100.0,0.0428804815133276,498.7,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,,projected
Brunei Darussalam,2017,ATS,Large,Low_eff,98.3,18.060000000000002,26.190476190476193,4.65,65.60978818576503,0.0428804815133276,760.1,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,,projected
Brunei Darussalam,2017,ATS,Large,Mid_eff,98.3,18.060000000000002,32.77962347729789,5.82,82.4297520661157,0.0428804815133276,605.0,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,,projected
Brunei Darussalam,2017,ATS,Medium,High_eff,98.3,46.39,41.0864410433283,18.74,100.0,0.03911435941530524,454.9,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,,projected
Brunei Darussalam,2017,ATS,Medium,Low_eff,98.3,46.39,26.277214917007974,11.99,68.52967761373908,0.03911435941530524,663.8,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,,projected
