domain,scenario,sector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,branch_leaf,branch_path
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Brunei,2010,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Brunei,2020,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Brunei,2030,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Brunei,2040,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Brunei,2050,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Brunei,2060,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Cambodia,2010,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Cambodia,2020,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Cambodia,2030,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Cambodia,2040,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Cambodia,2050,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Cambodia,2060,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Indonesia,2010,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Indonesia,2020,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
demand,AMS Target Scenario,Residential,Historical,Coal,thermal,Indonesia,2030,0.0,PJ,0.0,True,Coal,Demand\Residential\Historical\Coal
