branch_path,variable,scenario,region,expression,units,scale,per
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Base Template,0,USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Brunei,"Interp(2005, 17689, 2006, 20105.5, 2007, 22117.3, 2008, 26276.6, 2009, 21015.5, 2010, 24906.5, 2011, 31018, 2012, 33074.5, 2013, 33009.3, 2014, 31081.5, 2015, 25218, 2016, 23292.7, 2017, 23827.9, 2018, 23571.7, 2019, 23965.7, 2020, 22157.4, 2021, 22736) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Cambodia,"Interp(2005, 419.5, 2006, 476.71, 2007, 561.05, 2008, 659.23, 2009, 643.04, 2010, 687.87, 2011, 768.89, 2012, 823.9, 2013, 872.22, 2014, 933.42, 2015, 993.64, 2016, 1084.88, 2017, 1181.82, 2018, 1285.94, 2019, 1390.36, 2020, 1331.14, 2021, 1343.73) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Indonesia,"Interp(2005, 865.57, 2006, 1113.11, 2007, 1305.28, 2008, 1522.69, 2009, 1652.48, 2010, 2298.91, 2011, 2645.08, 2012, 2728.13, 2013, 2691.46, 2014, 2593.31, 2015, 2534.72, 2016, 2782.52, 2017, 2937.32, 2018, 2925.86, 2019, 3080.81, 2020, 2933.53, 2021, 3189.24) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Laos,"Interp(2005, 370.34, 2006, 425.7, 2007, 525.25, 2008, 639.1, 2009, 704.16, 2010, 778.21, 2011, 941.35, 2012, 1153.61, 2013, 1362.19, 2014, 1523.37, 2015, 1643.22, 2016, 1787.31, 2017, 1846.32, 2018, 1953.82, 2019, 1950.78, 2020, 1928.63, 2021, 1837.88) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Malaysia,"Interp(2005, 3829.41, 2006, 4322.18, 2007, 5168.78, 2008, 5932.69, 2009, 5252.04, 2010, 6407.03, 2011, 7517.54, 2012, 7701.61, 2013, 7818.13, 2014, 7891.91, 2015, 7018.85, 2016, 6925.2, 2017, 7086.47, 2018, 7668.78, 2019, 7839.05, 2020, 7321.93, 2021, 7704.95) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Myanmar,"Interp(2005, 157.67, 2006, 183.88, 2007, 252.15, 2008, 380, 2009, 513.18, 2010, 670, 2011, 967.2, 2012, 1039.89, 2013, 1068.56, 2014, 1073.68, 2015, 1071.21, 2016, 1017.94, 2017, 1028.97, 2018, 1131.09, 2019, 1150, 2020, 1313.23, 2021, 1049.62) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Philippines,"Interp(2005, 1193.17, 2006, 1381.09, 2007, 1632.71, 2008, 1905.93, 2009, 1864.37, 2010, 2139.74, 2011, 2348.51, 2012, 2621.08, 2013, 2814.87, 2014, 2886.67, 2015, 2957.76, 2016, 3034.56, 2017, 3086.41, 2018, 3200.76, 2019, 3391.15, 2020, 3130.21, 2021, 3196.29) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Singapore,"Interp(2005, 23539.9, 2006, 27931.8, 2007, 32959.4, 2008, 32449.6, 2009, 30670.1, 2010, 40278.7, 2011, 44678.1, 2012, 45310.4, 2013, 45715.9, 2014, 47257.6, 2015, 43257.9, 2016, 44514.7, 2017, 47208.5, 2018, 48006.3, 2019, 46216.4, 2020, 40860.5, 2021, 50690) ? AMS Socioeconomic Data AEO9",USD Current Price,,
Key\Demographic\Average Income,Activity Level,AMS Target Scenario,Thailand,"Interp(2005, 2254.58, 2006, 2653.92, 2007, 3157.45, 2008, 3397.77, 2009, 3291.45, 2010, 3939.99, 2011, 4297.93, 2012, 4432.88, 2013, 4545.14, 2014, 4414.58, 2015, 4349.37, 2016, 4506.62, 2017, 4972.56, 2018, 5459.5, 2019, 5929.27, 2020, 5441.48, 2021, 5393.01) ? AMS Socioeconomic Data AEO9",USD Current Price,,
