branch_path,variable,units,scale,per
Key\Cal\Residential\Bagasse,Activity Level,Factor,,
Key\Cal\Residential\Biogas,Activity Level,Factor,,
Key\Cal\Residential\Biomass,Activity Level,Factor,,
Key\Cal\Residential\Charcoal,Activity Level,Factor,,
Key\Cal\Residential\Coal,Activity Level,Factor,,
Key\Cal\Residential\Cook and Light Non Elec,Activity Level,Factor,,
Key\Cal\Residential\Diesel,Activity Level,Factor,,
Key\Cal\Residential\Electricity,Activity Level,Factor,,
Key\Cal\Residential\Kerosene,Activity Level,Factor,,
Key\Cal\Residential\LPG,Activity Level,Factor,,
Key\Cal\Residential\Natural Gas,Activity Level,Factor,,
Key\Cal\Residential\Solar,Activity Level,Factor,,
Key\Cal\Residential\Wood,Activity Level,Factor,,
Key\Demographic\Average Income,Activity Level,USD Current Price,,
Key\Demographic\Employment Rate,Activity Level,%,,
Key\Demographic\Household Size,Activity Level,people/HH,,
Key\Demographic\Households,Activity Level,household,Thousand,
Key\Demographic\Population,Activity Level,persons,Thousand,
Key\Demographic\Poverty Rate,Activity Level,%,,
Key\Demographic\Urban population,Activity Level,persons,Thousand,
Key\Demographic\Urbanization Rate,Activity Level,%,,
Key\Energy Access\Clean Cooking Access,Activity Level,%,,
Key\Energy Access\Electrification Rate,Activity Level,%,,
Key\Lighting_data\Bulbs per household,Activity Level,Lamp,,
Key\Lighting_data\Operating hours,Activity Level,hours,,
Key\Macroeconomic\Agriculture Fraction in GDP,Activity Level,fraction,,
Key\Macroeconomic\Construction Fraction in Industry,Activity Level,fraction,,
Key\Macroeconomic\Elasticity,Activity Level,fraction,,
Key\Macroeconomic\Gross Fixed Capital Formation,Activity Level,2021 USD,Million,
Key\Macroeconomic\Industry Fraction in GDP,Activity Level,fraction,,
Key\Macroeconomic\Manufacturing Fraction in Industry,Activity Level,fraction,,
Key\Macroeconomic\Mining Fraction in Industry,Activity Level,fraction,,
Key\Macroeconomic\Real GDP Agriculture,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Industry,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Manufacturing,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP PPP,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Per Capita,Activity Level,2021 USD / person,,
Key\Macroeconomic\Real GDP Per Capita_Growth,Activity Level,%,,
Key\Macroeconomic\Real GDP Service,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Service Per Capita,Activity Level,2021 USD / person,,
Key\Macroeconomic\Services Fraction in GDP,Activity Level,fraction,,
Key\Macroeconomic\Utilities Fraction in Industry,Activity Level,fraction,,
Key\Net Zero Measures\Residential\Building Orientation\Cooling Energy Savings,Activity Level,%,,
Key\Net Zero Measures\Residential\Building Orientation\Lighting Energy Savings,Activity Level,%,,
Key\Net Zero Measures\Residential\Building Orientation\Share_Households,Activity Level,%,,
Key\Net Zero Measures\Residential\Gamification\Energy Savings,Activity Level,%,,
Key\Net Zero Measures\Residential\Gamification\Share_Households,Activity Level,%,,
Key\Net Zero Measures\Residential\Programmable Thermostats\Energy Savings,Activity Level,%,,
Key\Net Zero Measures\Residential\Programmable Thermostats\Share_Households,Activity Level,%,,
Key\Net Zero Measures\Residential\Reflective Coatings Cool Roofs\Energy Savings,Activity Level,%,,
Key\Net Zero Measures\Residential\Reflective Coatings Cool Roofs\Share_Households,Activity Level,%,,
Key\Residential end use data_\AC\Historical AC,Activity Level,pcnt of HH,,
Key\Residential end use data_\AC\a,Activity Level,coeff,,
Key\Residential end use data_\AC\b,Activity Level,coeff,,
Key\Residential end use data_\AC\c,Activity Level,coeff,,
Key\Residential end use data_\AC\number of appliances,Activity Level,# of units,,
Key\Residential end use data_\AC\year_,Activity Level,yr,,
Key\Residential end use data_\Computer\Historical PC,Activity Level,pcnt of HH,,
Key\Residential end use data_\Computer\a,Activity Level,coeff,,
Key\Residential end use data_\Computer\b,Activity Level,coeff,,
Key\Residential end use data_\Computer\c,Activity Level,coeff,,
Key\Residential end use data_\Computer\number of appliances,Activity Level,# of units,,
Key\Residential end use data_\Computer\year_,Activity Level,yr,,
Key\Residential end use data_\Fan\Historical Fan,Activity Level,pcnt of HH,,
Key\Residential end use data_\Fan\a,Activity Level,coeff,,
Key\Residential end use data_\Fan\b,Activity Level,coeff,,
Key\Residential end use data_\Fan\c,Activity Level,coeff,,
Key\Residential end use data_\Fan\number of appliances,Activity Level,# of units,,
Key\Residential end use data_\Fan\year_,Activity Level,yr,,
Key\Residential end use data_\Iron\Historical Iron,Activity Level,pcnt of HH,,
Key\Residential end use data_\Iron\a,Activity Level,coeff,,
Key\Residential end use data_\Iron\b,Activity Level,coeff,,
Key\Residential end use data_\Iron\c,Activity Level,coeff,,
Key\Residential end use data_\Iron\number of appliances,Activity Level,# of units,,
Key\Residential end use data_\Iron\year_,Activity Level,yr,,
Key\Residential end use data_\Refrigeration\Historical Ref,Activity Level,pcnt of HH,,
Key\Residential end use data_\Refrigeration\a,Activity Level,coeff,,
Key\Residential end use data_\Refrigeration\b,Activity Level,coeff,,
Key\Residential end use data_\Refrigeration\c,Activity Level,coeff,,
Key\Residential end use data_\Refrigeration\number of appliances,Activity Level,# of units,,
Key\Residential end use data_\Refrigeration\year_,Activity Level,yr,,
Key\Residential end use data_\Rice Cooker\Historical RC,Activity Level,pcnt of HH,,
Key\Residential end use data_\Rice Cooker\a,Activity Level,coeff,,
Key\Residential end use data_\Rice Cooker\b,Activity Level,coeff,,
Key\Residential end use data_\Rice Cooker\c,Activity Level,coeff,,
Key\Residential end use data_\Rice Cooker\number of appliances,Activity Level,# of units,,
Key\Residential end use data_\Rice Cooker\year_,Activity Level,yr,,
Key\Residential end use data_\Television\Historical TV,Activity Level,pcnt of HH,,
Key\Residential end use data_\Television\a,Activity Level,coeff,,
Key\Residential end use data_\Television\b,Activity Level,coeff,,
Key\Residential end use data_\Television\c,Activity Level,coeff,,
Key\Residential end use data_\Television\number of appliances,Activity Level,# of units,,
